use_case_id,use_case_name,category,ai_type,value,description,improved_description,benefits,enterprise_architect,primary_pattern_ids,primary_pattern_names,2025_architecture_alignment
11,Fincrime,Compliance & Financial Crime,,High,"Name screening, OCDD, ECDD and TM narrative writing","AI-powered AML/KYC platform that automates name screening, generates due diligence narratives, and detects suspicious patterns using advanced ML—reducing investigation time, improving accuracy, and ensuring regulatory compliance.",Reduced investigation time; Improved detection accuracy reducing false positives; Enhanced regulatory compliance and audit readiness; Lower operational costs; Faster filing and response times.,Michael Lomas,"PT-009,PT-004,PT-005,PT-002,PT-001,PT-017,PT-018","Real-Time ML Scoring,ML Model Explainability,Self-Reflective RAG,MLOps Level 2+,Enterprise AI Governance,Observability and Monitoring,Security and Privacy","MANDATORY Tier 1 REGULATORY: Real-Time Scoring for transaction monitoring. MANDATORY Explainability (PT-004) for SAR justification. Self-Reflective RAG for narrative generation. Network analysis for fraud ring detection. Full audit trail and governance."
12,QA/QC,Quality Assurance & Compliance,,Medium,"Automate data validation, detecting errors, and ensuring compliance with regulatory standards. Prioritizes high-risk cases, generates audit-ready reports, and provides real-time feedback to analysts, reducing manual effort and improving accuracy","Automated quality assurance platform that validates data, detects errors, and ensures regulatory compliance using ML—prioritizing high-risk cases, generating audit-ready reports, and providing real-time feedback to reduce manual effort.",Reduced manual QA effort; Improved data quality and accuracy; Faster identification of high-risk issues; Enhanced regulatory compliance; Lower operational risk and audit findings.,"Brian Stapleton
Michael Lomas","PT-002,PT-014,PT-017,PT-001","MLOps Level 2+,Batch Prediction Pattern,Observability and Monitoring,Enterprise AI Governance","2025 MLOps Level 2+ for continuous quality model improvement. Batch Prediction (PT-014) for large-scale data validation. Anomaly detection with behavioral analysis. Full observability for quality metrics. Governance for audit compliance."
13,Fraud Ops,Fraud Detection & Prevention,,High,"AI can support case officers y Summarising customer history, Highlighting suspicious patterns, Automatically pulling evidence from multiple systems","AI-powered fraud investigation platform that assists case officers by automatically summarizing customer history, highlighting suspicious patterns, and gathering evidence from multiple systems—reducing investigation time and preventing fraud losses.",Reduced fraud investigation time; Prevented fraud losses; Improved detection accuracy; Enhanced case officer productivit; Better customer experience with faster resolution.,Michael Lomas,"PT-009,PT-015,PT-005,PT-004,PT-001,PT-017,PT-018","Real-Time ML Scoring,Event-Driven Architecture,Self-Reflective RAG,ML Model Explainability,Enterprise AI Governance,Observability and Monitoring,Security and Privacy","2025 Real-Time Scoring (PT-009) for <100ms fraud detection. Event-Driven for real-time transaction streaming. Self-Reflective RAG for case summarization. Explainability for fraud decision justification. Graph analytics for network detection."
14,Onboarding,Customer Onboarding & KYC,,High,"AI streamlines onboarding by automating ID verification, KYC checks, and risk assessment for faster, safer customer activation","Automated KYC/onboarding platform that verifies identity, processes documents, and assesses risk using AI—reducing onboarding time from days to hours, improving conversion rates, and ensuring compliance.",Reduced onboarding time from days to hours; Improved customer experience and conversion rates; Enhanced compliance with automated checks; Lower operational costs; Reduced abandonment rates.,Brett Allport,"PT-011,PT-009,PT-004,PT-001,PT-017,PT-018","Intelligent Document Processing,Real-Time ML Scoring,ML Model Explainability,Enterprise AI Governance,Observability and Monitoring,Security and Privacy","2025 Intelligent Document Processing (PT-011) for ID verification with liveness detection. Real-Time Scoring for risk assessment. MANDATORY Explainability for KYC decisions. Biometric authentication. Full governance and security controls."
15,"Risk functions- Risk Functions - Operational Risk, Market Risk, Liquidity Risk,Model Risk, Compliance Risk Assessment, Tech Risk, Risk Assurance, Enterprise Risk",Risk Management,,High,"AI reduces Operational Risk by identifying anomalies, streamlining investigations, and improving the accuracy of risk assessments","Enterprise risk management platform that predicts risk events, detects anomalies, and generates risk reports using AI—enabling faster assessment, improved compliance, better capital optimization, and comprehensive enterprise-wide risk visibility.",Improved risk detection reducing losses; Faster risk assessment and response times; Enhanced regulatory compliance and capital optimization; Reduced manual effort; Better enterprise-wide risk visibility and management.,GAP,"PT-009,PT-004,PT-002,PT-014,PT-001,PT-017","Real-Time ML Scoring,ML Model Explainability,MLOps Level 2+,Batch Prediction Pattern,Enterprise AI Governance,Observability and Monitoring","REGULATORY: Real-Time Scoring for risk event detection. Explainability (PT-004) for risk decision audit. MLOps Level 2+ for model risk management. Batch Prediction for portfolio risk calculation. Scenario analysis with LLM narratives."
16,IT Ops - IT Operations  -,IT Operations & Service Management,,High,"Evolution of the Ticketing Process and Smart Routing - Incident / Service / Problem  Management, Security , Analytics, Identity and Access Management, Helpdesk, BCM","AIOps platform that transforms IT service management through intelligent ticket routing, automated classification, and AI-generated responses—reducing resolution time, improving SLA compliance, and lowering support costs.",Reduced mean time to resolution (MTTR); Automated resolution of tickets; Improved SLA compliance and user satisfaction; Lower IT support costs; Better workload distribution and resource optimization.,John Marshall,"PT-007,PT-009,PT-015,PT-017,PT-001","Agentic AI Pattern,Real-Time ML Scoring,Event-Driven Architecture,Observability and Monitoring,Enterprise AI Governance","2025 Agentic AI (PT-007) for autonomous incident remediation with self-healing. Real-Time Scoring for anomaly detection. Event-Driven for log streaming. AIOps with root cause analysis. Full infrastructure observability with OpenTelemetry."
17,FrontLine - CIB,Customer & Relationship Management,,High,"GenAI-driven RM solutions provide banks with a competitive edge by deepening banker-customer relationships, thereby optimizing customer interactions, improving engagement, and streamlining service delivery.","Corporate and Investment Banking relationship platform that synthesizes corporate intelligence, identifies deal opportunities, and generates client briefings using AI—increasing wallet share, improving win rates, and enhancing relationship manager productivity.",Increased wallet share with corporate clients; Enhanced deal win rates; Improved relationship manager productivity; Better market intelligence and competitive positioning; Reduced client attrition and increased loyalty.,"Shawn Cawood, Dan Barratt","PT-005,PT-007,PT-003,PT-001,PT-017","Self-Reflective RAG,Agentic AI Pattern,Feature Store Dual-Store,Enterprise AI Governance,Observability and Monitoring","2025 Self-Reflective RAG for market intelligence synthesis and deal precedent retrieval. Agentic AI for autonomous pitch material generation. Feature Store for real-time CIB client features. Full governance and observability."
18,Procurement,Procurement & Supply Chain,,Medium,"Multi-Agent System for the End-to-end Procurement process optimization, from
planning to goods receipt and invoicing, enhancing operational efficiency and realtime decision-making","Multi-agent procurement platform that optimizes end-to-end procurement through AI workflow automation, spend analysis, contract intelligence, and automated invoice matching—reducing cycle time, cutting costs, and improving supplier management.",Cost savings through optimized sourcing; Reduced procurement cycle time; Improved supplier performance and risk management; Enhanced spend visibility and control; Lower invoice processing costs.,Brian Stapleton,"PT-008,PT-007,PT-011,PT-001,PT-017","Multi-Agent Orchestration,Agentic AI Pattern,Intelligent Document Processing,Enterprise AI Governance,Observability and Monitoring","2025 Multi-Agent Orchestration (PT-008) for end-to-end procurement automation with specialized agents. Agentic AI for vendor matching and contract analysis. IDP for invoice processing. Full governance and observability."
19,Payment disputes,Payments & Dispute Resolution,,Medium,"Automate and orchestrate the end-to-end lifecycle of card payment disputes across
two recurrent scenarios: Commercial Dispute and Fraud","Automated dispute resolution platform that manages card payment disputes end-to-end using AI classification, automated evidence gathering, and response generation—reducing resolution time, improving win rates, and enhancing customer satisfaction.",Reduced dispute resolution time; Improved win rates on chargebacks; Enhanced customer satisfaction with faster resolutions; Lower operational costs; Better compliance with card scheme requirements.,GAP - normally Paul Gallen,"PT-007,PT-011,PT-005,PT-001,PT-017","Agentic AI Pattern,Intelligent Document Processing,Self-Reflective RAG,Enterprise AI Governance,Observability and Monitoring","2025 Agentic AI (PT-007) for autonomous dispute workflow orchestration. IDP for evidence document processing. Self-Reflective RAG for dispute response generation. Outcome prediction with ML. Full governance and observability."
20,Controls testing - IT and business,Audit & Controls Testing,,Medium,,"Continuous controls monitoring platform that automates IT and business control testing through AI-powered test execution, anomaly detection, and evidence collection—enabling continuous monitoring, earlier deficiency detection, and reduced audit costs.",Reduced testing effort; Continuous controls monitoring vs periodic testing; Improved control effectiveness and compliance; Earlier detection of control deficiencies; Lower audit costs and faster audit cycles.,tbc - not clear what the scope of this actually is,"PT-007,PT-014,PT-002,PT-001,PT-017","Agentic AI Pattern,Batch Prediction Pattern,MLOps Level 2+,Enterprise AI Governance,Observability and Monitoring","2025 Agentic AI (PT-007) for autonomous control test execution. Batch Prediction for large-scale control testing. MLOps Level 2+ for test model management. GenAI for findings documentation. Full governance for audit compliance."
21,Wholesale underwriting transformation - CIB,Lending & Credit Operations,,High,"End-to-end transformation of CIB Risk Underwring process, including: Data Collection
+ Rating Calculation + Financial Program + Deal Approval + Continuous monitoring.","End-to-end CIB underwriting platform that automates financial spreading, credit rating calculation, and credit memo generation using AI—reducing underwriting time, improving risk-adjusted pricing, and enabling continuous covenant monitoring.",Reduced underwriting time; Improved risk-adjusted pricing and profitability; Enhanced portfolio quality with continuous monitoring; Faster deal turnaround improving competitiveness; Lower credit losses through better risk assessment.,"Shawn Cawood, Lee Mauger","PT-011,PT-009,PT-004,PT-002,PT-003,PT-001,PT-017","Intelligent Document Processing,Real-Time ML Scoring,ML Model Explainability,MLOps Level 2+,Feature Store Dual-Store,Enterprise AI Governance,Observability and Monitoring","REGULATORY: IDP (PT-011) for financial document extraction. Real-Time Scoring for credit assessment. MANDATORY Explainability for credit decisions. MLOps Level 2+ for model governance. Feature Store for wholesale credit features."
22,Learning content prouction,Learning & Development,,Medium,"AI accelerates content creation by generating lessons, quizzes, and summaries tailored to specific roles and needs","AI-powered learning content platform that automatically generates personalized lessons, quizzes, assessments, and visual content from source materials—reducing content creation time, improving training effectiveness, and accelerating time-to-competency.",Reduced content creation time; Improved training personalization and effectiveness; Enhanced learning engagement and completion rates; Lower training development costs; Faster time-to-competency for new roles.,Hugh Walcott,"PT-007,PT-006,PT-005,PT-001,PT-017","Agentic AI Pattern,Multi-Model Routing,Self-Reflective RAG,Enterprise AI Governance,Observability and Monitoring","2025 Agentic AI (PT-007) for autonomous content generation workflow. Multi-Model Routing for text/video/assessment generation. Self-Reflective RAG for source material synthesis. Adaptive learning with personalization. Full governance."
23,Collection Management,Collections & Recovery,,Medium,"AI optimises collections by predicting payment likelihood, prioritising accounts, and recommending the best recovery actions","AI-driven collections platform that predicts payment likelihood, prioritizes accounts, and optimizes contact strategies using ML—improving recovery rates, reducing costs, and enhancing customer treatment through personalized approaches.",Improved recovery rates; Reduced collection costs; Better customer treatment and satisfaction; Optimized collector productivity; Lower write-offs through early intervention and targeted strategies.,Paul Furkert,"PT-009,PT-003,PT-006,PT-001,PT-017","Real-Time ML Scoring,Feature Store Dual-Store,Multi-Model Routing,Enterprise AI Governance,Observability and Monitoring","2025 Real-Time Scoring (PT-009) for payment prediction. Feature Store for debtor behavioral features. Multi-Model Routing for communication channel optimization. Personalized messaging with GenAI. Full governance and observability."
24,Front-end app personalisation,Marketing & Personalization,,High,"Use of GenAI in the mobile app to drive hyper personalisation across 3 main areas in
order to create an 'Uber' like experinece:1) automation of process using GenAI to
determine message and campaign strategy for different micro segements 2) use of GenAI to automate creation of message content, including varients of each message for different subsegments and personas 3) to identify the right images assocuated to each message within the image library, however over time extended to include generation of personalised and bespoke images","Mobile-first personalization platform that creates an Uber-like experience through AI-generated campaign strategies, personalized message variants for micro-segments, and intelligent image selection/generation—driving app engagement and product adoption.",Increased app engagement; Higher product adoption through personalized recommendations; Improved NPS and customer satisfaction scores; Reduced marketing campaign costs; Enhanced brand differentiation with Uber-like experience.,"Corina Elama
Sarah Amundsen
Brett Allport","PT-006,PT-010,PT-003,PT-015,PT-009,PT-001,PT-017","Multi-Model Routing,Champion/Challenger Testing,Feature Store Dual-Store,Event-Driven Architecture,Real-Time ML Scoring,Enterprise AI Governance,Observability and Monitoring","2025 Multi-Model Routing (PT-006) for optimal model per personalization task. Champion/Challenger (PT-010) for continuous optimization. Feature Store for real-time user features (<10ms). Event-Driven for real-time triggers. Real-Time Scoring for recommendations."
