step_id,scenario_id,use_case_id,use_case_name,sequence_step,from_component,to_component,action_description,message_type,interface_id,solution_interface_id,is_sync,notes,primary_pattern_id,primary_pattern_name,pattern_step_context
23,SCN-002,2,Finance,11,NLG,Report Engine,Generate summary text,Summary Text,21,10,Sync,,PT-007,Agentic AI Pattern,Summarization step
24,SCN-002,2,Finance,12,Report Engine,BI Connector,Send report data for visualization,Report Data,22,11,Sync,,PT-007,Agentic AI Pattern,Data formatting step
25,SCN-002,2,Finance,13,BI Connector,Data API,Request visualization data,BI Data Request,23,12,Sync,,PT-007,Agentic AI Pattern,Visualization preparation step
26,SCN-002,2,Finance,14,Data API,Visualization Service,Deliver formatted visualization data,Visualization Data,24,13,Sync,,PT-007,Agentic AI Pattern,Result delivery step
27,SCN-003,3,Analytics and Reporting,1,Analytics Dashboard,Insight Templates,User submits natural language query,NL Query,103,18,Sync,,PT-005,Self-Reflective RAG,Initial query step
28,SCN-003,3,Analytics and Reporting,2,LLM API,Query Translation,Interpret natural language question,NL Understanding,25,1,Sync,,PT-005,Self-Reflective RAG,Query understanding step
29,SCN-003,3,Analytics and Reporting,3,Query Translation,SQL Generation,Translate to structured query,Query Structure,26,2,Sync,,PT-005,Self-Reflective RAG,Query translation step
30,SCN-003,3,Analytics and Reporting,4,SQL Generation,Data Virtualization,Execute generated SQL,SQL Query,27,3,Sync,,PT-005,Self-Reflective RAG,Data retrieval step
31,SCN-003,3,Analytics and Reporting,5,Metadata Management,Data Virtualization,Provide business metadata context,Metadata Context,28,4,Sync,,PT-005,Self-Reflective RAG,Context enrichment step
32,SCN-003,3,Analytics and Reporting,6,Business Glossary,Query Translation,Supply business terminology,Business Terms,29,5,Sync,,PT-005,Self-Reflective RAG,Semantic understanding step
33,SCN-003,3,Analytics and Reporting,7,Feature Engineering,ML Model Registry,Register feature definitions,Feature Metadata,30,6,Sync,,PT-005,Self-Reflective RAG,Feature registration step
34,SCN-003,3,Analytics and Reporting,8,ML Model Registry,Model Serving,Deploy prediction model,Model Deployment,31,7,Sync,,PT-005,Self-Reflective RAG,Model deployment step
35,SCN-003,3,Analytics and Reporting,9,Feature Engineering,Model Serving,Provide computed features,Feature Values,32,8,Sync,,PT-005,Self-Reflective RAG,Feature computation step
36,SCN-003,3,Analytics and Reporting,10,AutoML Framework,Model Training,Configure training parameters,Training Config,33,9,Sync,,PT-005,Self-Reflective RAG,Model configuration step
37,SCN-003,3,Analytics and Reporting,11,Model Training,Experiment Tracking,Log training metrics,Training Metrics,34,10,Sync,,PT-005,Self-Reflective RAG,Experiment tracking step
38,SCN-003,3,Analytics and Reporting,12,Experiment Tracking,ML Model Registry,Register successful model,Model Registration,35,11,Sync,,PT-005,Self-Reflective RAG,Model registration step
39,SCN-003,3,Analytics and Reporting,13,Model Serving,Analytics Engine,Deliver predictions,Prediction Results,36,12,Sync,,PT-005,Self-Reflective RAG,Prediction delivery step
40,SCN-003,3,Analytics and Reporting,14,Analytics Engine,LLM API,Request insight generation,Insight Request,37,13,Sync,,PT-005,Self-Reflective RAG,LLM synthesis step
41,SCN-003,3,Analytics and Reporting,15,Insight Templates,LLM API,Provide template context,Template Context,38,14,Sync,,PT-005,Self-Reflective RAG,Template contextualization step
42,SCN-003,3,Analytics and Reporting,16,ETL/ELT Connector,Data Pipeline,Ingest source data,Data Ingestion,39,15,Sync,,PT-005,Self-Reflective RAG,Data ingestion step
43,SCN-003,3,Analytics and Reporting,17,Data Pipeline,Orchestration,Report pipeline status,Pipeline Status,40,16,Sync,,PT-005,Self-Reflective RAG,Pipeline orchestration step
44,SCN-003,3,Analytics and Reporting,18,Orchestration,Data Pipeline,Control workflow execution,Workflow Control,41,17,Sync,,PT-005,Self-Reflective RAG,Workflow control step
45,SCN-004,4,Credit Risk,1,Credit Decision Interface,Credit Templates,Credit officer initiates assessment,Assessment Request,104,19,Sync,,PT-009,Real-Time ML Scoring,Request initiation step
46,SCN-004,4,Credit Risk,2,ML Model Serving,Risk Models,Serve credit risk models,Model Inference,42,1,Sync,,PT-009,Real-Time ML Scoring,Real-time inference step
47,SCN-004,4,Credit Risk,3,Risk Models,Score Calculation,Calculate credit score,Risk Score Input,43,2,Sync,,PT-009,Real-Time ML Scoring,Score calculation step
48,SCN-004,4,Credit Risk,4,Data Enrichment,External Data Sources,Request alternative data,Enrichment Request,44,3,Sync,,PT-009,Real-Time ML Scoring,Data enrichment step
49,SCN-004,4,Credit Risk,5,External Data Sources,Analytics Platform,Deliver alternative data,Alternative Data,45,4,Sync,,PT-009,Real-Time ML Scoring,External data integration
50,SCN-004,4,Credit Risk,6,Analytics Platform,Risk Models,Provide enhanced features,Enhanced Features,46,5,Sync,,PT-009,Real-Time ML Scoring,Feature retrieval step
51,SCN-004,4,Credit Risk,7,Score Calculation,LLM API,Request narrative generation,Decision Context,47,6,Sync,,PT-009,Real-Time ML Scoring,Explanation generation step
52,SCN-004,4,Credit Risk,8,LLM API,Document Generation,Generate credit narrative,Credit Narrative,48,7,Sync,,PT-009,Real-Time ML Scoring,Narrative generation step
53,SCN-004,4,Credit Risk,9,Credit Templates,Document Generation,Provide document templates,Document Templates,49,8,Sync,,PT-009,Real-Time ML Scoring,Template application step
54,SCN-004,4,Credit Risk,10,Stream Processing,Event Processing,Stream loan events,Loan Events,50,9,Sync,,PT-009,Real-Time ML Scoring,Event streaming step
55,SCN-004,4,Credit Risk,11,Event Processing,Real-time Analytics,Process credit events,Processed Events,51,10,Sync,,PT-009,Real-Time ML Scoring,Real-time processing step
56,SCN-004,4,Credit Risk,12,Real-time Analytics,ML Model Serving,Feed monitoring data,Monitoring Data,52,11,Sync,,PT-009,Real-Time ML Scoring,Model monitoring step
57,SCN-004,4,Credit Risk,13,Risk Models,ML Ensemble Framework,Send model predictions,Model Predictions,53,12,Sync,,PT-009,Real-Time ML Scoring,Ensemble prediction step
58,SCN-004,4,Credit Risk,14,ML Ensemble Framework,Model Combination,Combine ensemble predictions,Ensemble Input,54,13,Sync,,PT-009,Real-Time ML Scoring,Model combination step
59,SCN-004,4,Credit Risk,15,Model Combination,Risk Aggregation,Deliver combined predictions,Combined Predictions,55,14,Sync,,PT-009,Real-Time ML Scoring,Risk aggregation step
60,SCN-004,4,Credit Risk,16,Risk Aggregation,Real-time Analytics,Send portfolio risk metrics,Portfolio Risk,56,15,Sync,,PT-009,Real-Time ML Scoring,Portfolio scoring step
61,SCN-004,4,Credit Risk,17,Score Calculation,XAI Framework,Request score explanation,Explanation Request,57,16,Sync,,PT-009,Real-Time ML Scoring,Explainability request step
62,SCN-004,4,Credit Risk,18,XAI Framework,Model Interpretation,Analyze model interpretation,Interpretation,58,17,Sync,,PT-009,Real-Time ML Scoring,Model interpretation step
63,SCN-004,4,Credit Risk,19,Model Interpretation,Compliance Reporting,Provide explanation results,Explanation Results,59,18,Sync,,PT-009,Real-Time ML Scoring,Compliance reporting step
64,SCN-005,5,Lending Ops,1,OCR Service,Document Processing,Extract text from documents,Text Extraction,60,1,Sync,,PT-011,Intelligent Document Processing,Document extraction step
65,SCN-005,5,Lending Ops,2,Document Processing,Text Extraction,Identify document structure,Document Structure,61,2,Sync,,PT-011,Intelligent Document Processing,Structure identification step
66,SCN-005,5,Lending Ops,3,Text Extraction,NLP Framework,Send extracted text for NLP,Extracted Text,62,3,Sync,,PT-011,Intelligent Document Processing,Text processing step
67,SCN-005,5,Lending Ops,4,NLP Framework,Classification Models,Request document classification,Classification Request,63,4,Sync,,PT-011,Intelligent Document Processing,Classification step
68,SCN-005,5,Lending Ops,5,Classification Models,NER Service,Provide classification for NER,Classification Results,64,5,Sync,,PT-011,Intelligent Document Processing,Entity recognition step
69,SCN-005,5,Lending Ops,6,NER Service,Validation Framework,Deliver extracted entities,Extracted Entities,65,6,Sync,,PT-011,Intelligent Document Processing,Entity extraction step
70,SCN-005,5,Lending Ops,7,Validation Framework,Data Quality ML,Request ML quality assessment,Validation Request,66,7,Sync,,PT-011,Intelligent Document Processing,Validation step
71,SCN-005,5,Lending Ops,8,Data Quality ML,Rule Engine,Provide quality assessment,Quality Assessment,67,8,Sync,,PT-011,Intelligent Document Processing,Quality assessment step
72,SCN-005,5,Lending Ops,9,Rule Engine,LLM API,Send validated data for summarization,Validated Data,68,9,Sync,,PT-011,Intelligent Document Processing,Data validation step
73,SCN-005,5,Lending Ops,10,LLM API,Summarization,Request document summary,Summarization Request,69,10,Sync,,PT-011,Intelligent Document Processing,Summarization step
74,SCN-005,5,Lending Ops,11,Summarization,Compliance Templates,Deliver summary output,Summary Output,70,11,Sync,,PT-011,Intelligent Document Processing,Summary delivery step
75,SCN-005,5,Lending Ops,12,Compliance Templates,RPA Platform,Provide template data for RPA,Template Data,71,12,Sync,,PT-011,Intelligent Document Processing,Template application step
76,SCN-005,5,Lending Ops,13,RPA Platform,Workflow Engine,Trigger RPA tasks,RPA Tasks,72,13,Sync,,PT-011,Intelligent Document Processing,Automation trigger step
77,SCN-005,5,Lending Ops,14,Workflow Engine,Process Automation,Orchestrate process workflow,Workflow Orchestration,73,14,Sync,,PT-011,Intelligent Document Processing,Workflow orchestration step
78,SCN-005,5,Lending Ops,15,Process Automation,Workflow Routing,Report automation status,Automation Status,74,15,Sync,,PT-011,Intelligent Document Processing,Process automation step
79,SCN-005,5,Lending Ops,16,Workflow Routing,Human Task Management,Route exception cases,Exception Cases,75,16,Sync,,PT-011,Intelligent Document Processing,Exception routing step
80,SCN-005,5,Lending Ops,17,Human Task Management,Exception Queue,Assign human task,Task Assignment,76,17,Sync,,PT-011,Intelligent Document Processing,Human-in-loop step
81,SCN-005,5,Lending Ops,18,Exception Queue,Workflow Engine,Update workflow with resolution,Resolution Update,77,18,Sync,,PT-011,Intelligent Document Processing,Resolution update step
82,SCN-006,6,HyperPersonalization,1,Customer Portal,Personalization Engine,Customer accesses portal,Customer Interaction,105,24,Sync,,PT-006,Multi-Model Routing,Request initiation step
83,SCN-006,6,HyperPersonalization,2,CDP,Customer 360,Sync customer data,Customer Data Sync,78,1,Sync,,PT-006,Multi-Model Routing,Data synchronization step
84,SCN-006,6,HyperPersonalization,3,Customer 360,Data Integration,Request customer profile,Profile Request,79,2,Sync,,PT-006,Multi-Model Routing,Profile retrieval step
85,SCN-006,6,HyperPersonalization,4,Data Integration,Recommendation Engine,Provide customer context,Customer Context,80,3,Sync,,PT-006,Multi-Model Routing,Context provision step
86,SCN-006,6,HyperPersonalization,5,Recommendation Engine,Collaborative Filtering,Request CF recommendations,Recommendation Request,81,4,Sync,,PT-006,Multi-Model Routing,Model routing step
87,SCN-006,6,HyperPersonalization,6,Collaborative Filtering,Deep Learning,Provide CF results for enhancement,CF Results,82,5,Sync,,PT-006,Multi-Model Routing,Model chaining step
88,SCN-006,6,HyperPersonalization,7,Deep Learning,Recommendation Engine,Deliver DL recommendations,DL Recommendations,83,6,Sync,,PT-006,Multi-Model Routing,Deep learning inference step
89,SCN-006,6,HyperPersonalization,8,Recommendation Engine,LLM API,Send personalization context,Personalization Context,84,7,Sync,,PT-006,Multi-Model Routing,LLM routing step
90,SCN-006,6,HyperPersonalization,9,LLM API,Content Generation,Request content generation,Generation Request,85,8,Sync,,PT-006,Multi-Model Routing,Content generation step
91,SCN-006,6,HyperPersonalization,10,Content Generation,Personalization Engine,Deliver generated content,Generated Content,86,9,Sync,,PT-006,Multi-Model Routing,Content delivery step
92,SCN-006,6,HyperPersonalization,11,Personalization Engine,Decisioning Engine,Send personalized offers,Personalized Offers,87,10,Sync,,PT-006,Multi-Model Routing,Decision routing step
93,SCN-006,6,HyperPersonalization,12,Decisioning Engine,Event Processing,Request real-time decision,Decision Request,88,11,Sync,,PT-006,Multi-Model Routing,Real-time decision step
94,SCN-006,6,HyperPersonalization,13,Event Processing,Context Evaluation,Provide event context,Event Context,89,12,Sync,,PT-006,Multi-Model Routing,Context evaluation step
95,SCN-006,6,HyperPersonalization,14,Context Evaluation,Multi-Armed Bandit,Send context for optimization,Context Score,90,13,Sync,,PT-006,Multi-Model Routing,Optimization routing step
96,SCN-006,6,HyperPersonalization,15,Multi-Armed Bandit,Offer Optimization,Provide bandit selection,Bandit Selection,91,14,Sync,,PT-006,Multi-Model Routing,Bandit model execution step
97,SCN-006,6,HyperPersonalization,16,Offer Optimization,Experiment Design,Deliver optimization results,Optimization Results,92,15,Sync,,PT-006,Multi-Model Routing,Optimization delivery step
98,SCN-006,6,HyperPersonalization,17,Experiment Design,Journey Orchestration,Assign experiment,Experiment Assignment,93,16,Sync,,PT-006,Multi-Model Routing,Experiment assignment step
99,SCN-006,6,HyperPersonalization,18,Journey Orchestration,Campaign Management,Execute journey,Journey Execution,94,17,Sync,,PT-006,Multi-Model Routing,Journey orchestration step
100,SCN-006,6,HyperPersonalization,19,Campaign Management,Channel Coordination,Distribute campaign,Campaign Distribution,95,18,Sync,,PT-006,Multi-Model Routing,Campaign distribution step
101,SCN-006,6,HyperPersonalization,20,Channel Coordination,Personalization Engine,Report delivery feedback,Delivery Feedback,96,19,Sync,,PT-006,Multi-Model Routing,Feedback collection step
102,SCN-006,6,HyperPersonalization,21,Personalization Engine,A/B Testing,Send test variants,Test Variants,97,20,Sync,,PT-006,Multi-Model Routing,A/B test routing step
103,SCN-006,6,HyperPersonalization,22,A/B Testing,Experiment Management,Manage test execution,Test Execution,98,21,Sync,,PT-006,Multi-Model Routing,Test management step
104,SCN-006,6,HyperPersonalization,23,Experiment Management,Statistical Analysis,Provide test results,Test Results,99,22,Sync,,PT-006,Multi-Model Routing,Statistical analysis step
105,SCN-006,6,HyperPersonalization,24,Statistical Analysis,Offer Optimization,Feed analysis insights,Analysis Insights,100,23,Sync,,PT-006,Multi-Model Routing,Insight feedback step
106,SCN-007,7,Contact Centre,1,Agent Interface,Context Retrieval,User initiates request via Agent Interface,Request,106,1,Sync,,PT-013,Conversational AI Pattern,Conversation initiation step
107,SCN-007,7,Contact Centre,2,Context Retrieval,LLM API,Request AI processing: LLM API,AI Request,124,2,Sync,,PT-013,Conversational AI Pattern,Context retrieval step
108,SCN-007,7,Contact Centre,3,Documentation,NLP Framework,Request AI processing: NLP Framework,AI Request,125,3,Sync,,PT-013,Conversational AI Pattern,NLP processing step
109,SCN-007,7,Contact Centre,4,Documentation,Emotion Detection,Request AI processing: Emotion Detection,AI Request,126,4,Sync,,PT-013,Conversational AI Pattern,Emotion detection step
110,SCN-007,7,Contact Centre,5,LLM API,NLP Framework,LLM API to NLP Framework,Processing,127,5,Sync,,PT-013,Conversational AI Pattern,Language understanding step
111,SCN-007,7,Contact Centre,6,NLP Framework,Emotion Detection,NLP Framework to Emotion Detection,Processing,128,6,Sync,,PT-013,Conversational AI Pattern,Sentiment analysis step
112,SCN-007,7,Contact Centre,7,Emotion Detection,Sentiment Scoring,Emotion Detection to Sentiment Scoring,Processing,129,7,Sync,,PT-013,Conversational AI Pattern,Sentiment scoring step
113,SCN-007,7,Contact Centre,8,Knowledge Management,LLM API,Provide data from Knowledge Management,Data,130,8,Sync,,PT-013,Conversational AI Pattern,Knowledge retrieval step
114,SCN-007,7,Contact Centre,9,Call Summarization,Documentation,Return results to Documentation,Response,131,9,Sync,,PT-013,Conversational AI Pattern,Conversation summarization step
115,SCN-007,7,Contact Centre,10,Documentation,Agent Interface,Display results in Agent Interface,UI Update,132,10,Sync,,PT-013,Conversational AI Pattern,Response presentation step
116,SCN-008,8,Security AI,1,Security Dashboard,Event Correlation,User initiates request via Security Dashboard,Request,107,1,Sync,,PT-009,Real-Time ML Scoring,Security event initiation
117,SCN-008,8,Security AI,2,Event Correlation,ML Ensemble,Request AI processing: ML Ensemble,AI Request,133,2,Sync,,PT-009,Real-Time ML Scoring,Real-time inference step
118,SCN-008,8,Security AI,3,Playbook Engine,Behavioral Baselines,Request AI processing: Behavioral Baselines,AI Request,134,3,Sync,,PT-009,Real-Time ML Scoring,Baseline comparison step
119,SCN-008,8,Security AI,4,Automation Engine,Anomaly Scoring,Request AI processing: Anomaly Scoring,AI Request,135,4,Sync,,PT-009,Real-Time ML Scoring,Anomaly scoring step
120,SCN-008,8,Security AI,5,ML Ensemble,Behavioral Baselines,ML Ensemble to Behavioral Baselines,Processing,136,5,Sync,,PT-009,Real-Time ML Scoring,Ensemble processing step
121,SCN-008,8,Security AI,6,Behavioral Baselines,Anomaly Scoring,Behavioral Baselines to Anomaly Scoring,Processing,137,6,Sync,,PT-009,Real-Time ML Scoring,Behavior analysis step
122,SCN-008,8,Security AI,7,Anomaly Scoring,User & Entity Behavior Analytics (UEBA),Anomaly Scoring to User & Entity Behavior Analytics (UEBA),Processing,138,7,Sync,,PT-009,Real-Time ML Scoring,UEBA scoring step
123,SCN-008,8,Security AI,8,Threat Intelligence,ML Ensemble,Provide data from Threat Intelligence,Data,139,8,Sync,,PT-009,Real-Time ML Scoring,Threat intelligence enrichment
124,SCN-008,8,Security AI,9,Intelligence Feeds,Event Correlation,External integration via Intelligence Feeds,Integration,140,9,Sync,,PT-009,Real-Time ML Scoring,External feed integration
125,SCN-008,8,Security AI,10,Peer Group Analysis,Orchestration,Return results to Orchestration,Response,141,10,Sync,,PT-009,Real-Time ML Scoring,Peer analysis step
126,SCN-008,8,Security AI,11,Orchestration,Security Dashboard,Display results in Security Dashboard,UI Update,142,11,Sync,,PT-009,Real-Time ML Scoring,Result presentation step
127,SCN-009,9,Data Products,1,Lineage Graph,Quality Rules,User initiates request via Lineage Graph,Request,108,1,Sync,,PT-012,Data Mesh Pattern,Data product discovery step
128,SCN-009,9,Data Products,2,Quality Rules,API Spec Generation,Request AI processing: API Spec Generation,AI Request,143,2,Sync,,PT-012,Data Mesh Pattern,API spec generation step
129,SCN-009,9,Data Products,3,Validation Engine,Auto-generation,Request AI processing: Auto-generation,AI Request,144,3,Sync,,PT-012,Data Mesh Pattern,Auto-generation step
130,SCN-009,9,Data Products,4,Quality Metrics,Auto-tagging,Request AI processing: Auto-tagging,AI Request,145,4,Sync,,PT-012,Data Mesh Pattern,Auto-tagging step
131,SCN-009,9,Data Products,5,API Spec Generation,Auto-generation,API Spec Generation to Auto-generation,Processing,146,5,Sync,,PT-012,Data Mesh Pattern,Specification processing step
132,SCN-009,9,Data Products,6,Auto-generation,Auto-tagging,Auto-generation to Auto-tagging,Processing,147,6,Sync,,PT-012,Data Mesh Pattern,Metadata generation step
133,SCN-009,9,Data Products,7,Auto-tagging,Recommendation Engine,Auto-tagging to Recommendation Engine,Processing,148,7,Sync,,PT-012,Data Mesh Pattern,Semantic enrichment step
134,SCN-009,9,Data Products,8,Data Catalog,API Spec Generation,Provide data from Data Catalog,Data,149,8,Sync,,PT-012,Data Mesh Pattern,Catalog integration step
135,SCN-009,9,Data Products,9,Context Understanding,Impact Analysis,Return results to Impact Analysis,Response,150,9,Sync,,PT-012,Data Mesh Pattern,Impact analysis step
136,SCN-009,9,Data Products,10,Impact Analysis,Lineage Graph,Display results in Lineage Graph,UI Update,151,10,Sync,,PT-012,Data Mesh Pattern,Lineage visualization step
137,SCN-010,10,SDLC,1,Developer Portal,Review Automation,User initiates request via Developer Portal,Request,109,1,Sync,,PT-007,Agentic AI Pattern,Agent orchestration step
138,SCN-010,10,SDLC,2,Review Automation,Code Analysis,Request AI processing: Code Analysis,AI Request,152,2,Sync,,PT-007,Agentic AI Pattern,Code analysis agent step
139,SCN-010,10,SDLC,3,Vulnerability Scanning,Pattern Recognition,Request AI processing: Pattern Recognition,AI Request,153,3,Sync,,PT-007,Agentic AI Pattern,Pattern recognition agent step
140,SCN-010,10,SDLC,4,Threat Modeling,Test Generation,Request AI processing: Test Generation,AI Request,154,4,Sync,,PT-007,Agentic AI Pattern,Test generation agent step
141,SCN-010,10,SDLC,5,Code Analysis,Pattern Recognition,Code Analysis to Pattern Recognition,Processing,155,5,Sync,,PT-007,Agentic AI Pattern,Agent coordination step
142,SCN-010,10,SDLC,6,Pattern Recognition,Test Generation,Pattern Recognition to Test Generation,Processing,156,6,Sync,,PT-007,Agentic AI Pattern,Multi-agent workflow step
143,SCN-010,10,SDLC,7,Test Generation,Test Optimization,Test Generation to Test Optimization,Processing,157,7,Sync,,PT-007,Agentic AI Pattern,Optimization agent step
144,SCN-010,10,SDLC,8,Refactoring Suggestions,Deployment Automation,Return results to Deployment Automation,Response,158,8,Sync,,PT-007,Agentic AI Pattern,Deployment agent step
145,SCN-010,10,SDLC,9,Deployment Automation,Developer Portal,Display results in Developer Portal,UI Update,159,9,Sync,,PT-007,Agentic AI Pattern,Result aggregation step
146,SCN-011,11,Fincrime,1,Collaboration Tools,Alert Generation,User initiates request via Collaboration Tools,Request,110,1,Sync,,PT-009,Real-Time ML Scoring,Alert initiation step
147,SCN-011,11,Fincrime,2,Alert Generation,Transaction Monitoring,Request AI processing: Transaction Monitoring,AI Request,160,2,Sync,,PT-009,Real-Time ML Scoring,Real-time monitoring step
148,SCN-011,11,Fincrime,3,Alert Prioritization,Pattern Detection,Request AI processing: Pattern Detection,AI Request,161,3,Sync,,PT-009,Real-Time ML Scoring,Pattern detection step
149,SCN-011,11,Fincrime,4,Compliance Templates,Risk Scoring,Request AI processing: Risk Scoring,AI Request,162,4,Sync,,PT-009,Real-Time ML Scoring,Real-time inference step
150,SCN-011,11,Fincrime,5,Transaction Monitoring,Pattern Detection,Transaction Monitoring to Pattern Detection,Processing,163,5,Sync,,PT-009,Real-Time ML Scoring,Transaction analysis step
151,SCN-011,11,Fincrime,6,Pattern Detection,Risk Scoring,Pattern Detection to Risk Scoring,Processing,164,6,Sync,,PT-009,Real-Time ML Scoring,Risk scoring step
152,SCN-011,11,Fincrime,7,Risk Scoring,False Positive Reduction,Risk Scoring to False Positive Reduction,Processing,165,7,Sync,,PT-009,Real-Time ML Scoring,False positive filtering step
153,SCN-011,11,Fincrime,8,Network Analysis,Transaction Monitoring,Provide data from Network Analysis,Data,166,8,Sync,,PT-009,Real-Time ML Scoring,Network enrichment step
154,SCN-011,11,Fincrime,9,Narrative Generation,Evidence Collection,Return results to Evidence Collection,Response,167,9,Sync,,PT-009,Real-Time ML Scoring,Evidence generation step
155,SCN-011,11,Fincrime,10,Evidence Collection,Collaboration Tools,Display results in Collaboration Tools,UI Update,168,10,Sync,,PT-009,Real-Time ML Scoring,Result presentation step
156,SCN-012,12,QA/QC,1,Quality Dashboard,Test Execution,User initiates request via Quality Dashboard,Request,111,1,Sync,,PT-014,Batch Prediction Pattern,Batch request initiation
157,SCN-012,12,QA/QC,2,Test Execution,Defect Prediction,Request AI processing: Defect Prediction,AI Request,169,2,Sync,,PT-014,Batch Prediction Pattern,Batch prediction step
158,SCN-012,12,QA/QC,3,Result Analysis,Risk Assessment,Request AI processing: Risk Assessment,AI Request,170,3,Sync,,PT-014,Batch Prediction Pattern,Batch risk assessment step
159,SCN-012,12,QA/QC,4,Test Reporting,Anomaly Detection,Request AI processing: Anomaly Detection,AI Request,171,4,Sync,,PT-014,Batch Prediction Pattern,Batch anomaly detection step
160,SCN-012,12,QA/QC,5,Defect Prediction,Risk Assessment,Defect Prediction to Risk Assessment,Processing,172,5,Sync,,PT-014,Batch Prediction Pattern,Batch processing step
161,SCN-012,12,QA/QC,6,Risk Assessment,Anomaly Detection,Risk Assessment to Anomaly Detection,Processing,173,6,Sync,,PT-014,Batch Prediction Pattern,Batch analysis step
162,SCN-012,12,QA/QC,7,Anomaly Detection,Behavioral Analysis,Anomaly Detection to Behavioral Analysis,Processing,174,7,Sync,,PT-014,Batch Prediction Pattern,Batch behavior analysis step
163,SCN-012,12,QA/QC,8,Metric Collection,Defect Prediction,Provide data from Metric Collection,Data,175,8,Sync,,PT-014,Batch Prediction Pattern,Batch data collection step
164,SCN-012,12,QA/QC,9,LLM API,Alert Engine,Return results to Alert Engine,Response,176,9,Sync,,PT-014,Batch Prediction Pattern,Batch result generation step
