use_case_id,use_case_name,business_metrics,technical_metrics,primary_pattern_id,pattern_specific_metrics,2025_success_criteria
11,Fincrime,Reduced investigation time | Improved detection accuracy reducing false positives | Enhanced regulatory compliance and audit readiness | Lower operational costs | Faster filing and response times.,System response time: <2s (p95) | Model accuracy: >85% | System availability: 99.5% uptime | User adoption: >80% within 6 months,PT-009,"Detection rate: >95% | False positive reduction: >30% | SAR quality: >95% | Explainability coverage: 100%","2025 REGULATORY Success: Detection rate >95%. False positive reduction >30%. SAR quality >95%. MANDATORY 100% explainability. Zero regulatory findings."
12,QA/QC,Reduced manual QA effort | Improved data quality and accuracy | Faster identification of high-risk issues | Enhanced regulatory compliance | Lower operational risk and audit findings.,System response time: <2s (p95) | Model accuracy: >85% | System availability: 99.5% uptime | User adoption: >80% within 6 months,PT-014,"Test coverage: >85% | Defect prediction accuracy: >80% | Quality SLA compliance: >95% | Audit findings reduction: >25%","2025 Success: Test coverage >85%. Defect prediction accuracy >80%. Quality SLA compliance >95%. Manual QA reduction >40%."
13,Fraud Ops,Reduced fraud investigation time | Prevented fraud losses | Improved detection accuracy | Enhanced case officer productivit | Better customer experience with faster resolution.,System response time: <2s (p95) | Model accuracy: >85% | System availability: 99.5% uptime | User adoption: >80% within 6 months,PT-009,"Detection latency: <100ms | False positive rate: <15% | Fraud loss prevention: >90% | Investigation time: <2hrs","2025 Success: Fraud detection <100ms. False positive rate <15%. Fraud loss prevention >90%. Investigation time reduction >40%."
14,Onboarding,Reduced onboarding time from days to hours | Improved customer experience and conversion rates | Enhanced compliance with automated checks | Lower operational costs | Reduced abandonment rates.,System response time: <2s (p95) | Model accuracy: >85% | System availability: 99.5% uptime | User adoption: >80% within 6 months,PT-011,"ID verification accuracy: >99% | Liveness detection: >99% | Onboarding STP: >80% | Explainability coverage: 100%","2025 REGULATORY Success: ID verification >99%. Liveness detection >99%. STP rate >80%. MANDATORY 100% explainability. Abandonment reduction >30%."
15,"Risk functions- Risk Functions - Operational Risk, Market Risk, Liquidity Risk,Model Risk, Compliance Risk Assessment, Tech Risk, Risk Assurance, Enterprise Risk",Improved risk detection reducing losses | Faster risk assessment and response times | Enhanced regulatory compliance and capital optimization | Reduced manual effort | Better enterprise-wide risk visibility and management.,System response time: <2s (p95) | Model accuracy: >85% | System availability: 99.5% uptime | User adoption: >80% within 6 months,PT-004,"Risk calculation accuracy: >95% | Scenario analysis coverage: >90% | Regulatory compliance: 100% | Explainability coverage: 100%","2025 REGULATORY Success: Risk calculation accuracy >95%. Scenario coverage >90%. MANDATORY 100% explainability. Zero regulatory findings."
16,IT Ops - IT Operations  -,Reduced mean time to resolution (MTTR) | Automated resolution of tickets | Improved SLA compliance and user satisfaction | Lower IT support costs | Better workload distribution and resource optimization.,System response time: <2s (p95) | Model accuracy: >85% | System availability: 99.5% uptime | User adoption: >80% within 6 months,PT-007,"MTTR reduction: >50% | Auto-remediation success: >80% | Anomaly detection: >95% | SLA compliance: >99%","2025 Success: MTTR reduction >50%. Auto-remediation success >80%. Anomaly detection >95%. SLA compliance >99%."
17,FrontLine - CIB,Increased wallet share with corporate clients | Enhanced deal win rates | Improved relationship manager productivity | Better market intelligence and competitive positioning | Reduced client attrition and increased loyalty.,System response time: <2s (p95) | Model accuracy: >85% | System availability: 99.5% uptime | User adoption: >80% within 6 months,PT-005,"RAG intelligence accuracy: >90% | Feature Store latency: <10ms | Pitch quality rating: >85% | Deal win rate lift: >10%","2025 Success: Market intelligence accuracy >90%. Feature Store <10ms. Pitch quality >85%. Deal win rate increase >10%."
18,Procurement,Cost savings through optimized sourcing | Reduced procurement cycle time | Improved supplier performance and risk management | Enhanced spend visibility and control | Lower invoice processing costs.,System response time: <2s (p95) | Model accuracy: >85% | System availability: 99.5% uptime | User adoption: >80% within 6 months,PT-008,"Multi-Agent coordination: >95% | Contract extraction: >95% | Vendor match quality: >90% | Cycle time reduction: >40%","2025 Success: Multi-Agent coordination >95%. Contract extraction >95%. Vendor matching relevance >90%. Cycle time reduction >40%."
19,Payment disputes,Reduced dispute resolution time | Improved win rates on chargebacks | Enhanced customer satisfaction with faster resolutions | Lower operational costs | Better compliance with card scheme requirements.,System response time: <2s (p95) | Model accuracy: >85% | System availability: 99.5% uptime | User adoption: >80% within 6 months,PT-007,"Classification accuracy: >95% | Evidence analysis: >90% | Resolution time: <48hrs | Win rate: >85%","2025 Success: Dispute classification >95%. Evidence analysis accuracy >90%. Resolution time <48hrs. Chargeback win rate >85%."
20,Controls testing - IT and business,Reduced testing effort | Continuous controls monitoring vs periodic testing | Improved control effectiveness and compliance | Earlier detection of control deficiencies | Lower audit costs and faster audit cycles.,System response time: <2s (p95) | Model accuracy: >85% | System availability: 99.5% uptime | User adoption: >80% within 6 months,PT-007,"Test coverage: >90% | Evidence completeness: >95% | Finding accuracy: >95% | Audit time reduction: >30%","2025 Success: Test coverage >90%. Evidence completeness >95%. Finding accuracy >95%. Audit preparation time reduction >30%."
21,Wholesale underwriting transformation - CIB,Reduced underwriting time | Improved risk-adjusted pricing and profitability | Enhanced portfolio quality with continuous monitoring | Faster deal turnaround improving competitiveness | Lower credit losses through better risk assessment.,System response time: <2s (p95) | Model accuracy: >85% | System availability: 99.5% uptime | User adoption: >80% within 6 months,PT-011,"Financial extraction: >95% | Credit scoring AUC: >0.85 | Underwriting time: <3days | Explainability: 100%","2025 REGULATORY Success: Financial extraction >95%. Credit AUC >0.85. Underwriting time <3 days. MANDATORY 100% explainability."
22,Learning content prouction,Reduced content creation time | Improved training personalization and effectiveness | Enhanced learning engagement and completion rates | Lower training development costs | Faster time-to-competency for new roles.,System response time: <2s (p95) | Model accuracy: >85% | System availability: 99.5% uptime | User adoption: >80% within 6 months,PT-007,"Content quality rating: >85% | Assessment validity: >90% | Content creation time: <1week | Learner completion: >80%","2025 Success: Content quality >85%. Assessment validity >90%. Content creation <1 week. Learner completion >80%."
23,Collection Management,Improved recovery rates | Reduced collection costs | Better customer treatment and satisfaction | Optimized collector productivity | Lower write-offs through early intervention and targeted strategies.,System response time: <2s (p95) | Model accuracy: >85% | System availability: 99.5% uptime | User adoption: >80% within 6 months,PT-009,"Payment prediction accuracy: >85% | Feature Store latency: <10ms | Recovery rate lift: >15% | Collection cost reduction: >20%","2025 Success: Payment prediction >85%. Feature Store <10ms. Recovery rate increase >15%. Collection cost reduction >20%."
24,Front-end app personalisation,Increased app engagement | Higher product adoption through personalized recommendations | Improved NPS and customer satisfaction scores | Reduced marketing campaign costs | Enhanced brand differentiation with Uber-like experience.,System response time: <2s (p95) | Model accuracy: >85% | System availability: 99.5% uptime | User adoption: >80% within 6 months,PT-006,"Feature Store latency: <10ms | Real-time decisioning: <100ms | A/B test lift: >15% | App engagement: >30% increase","2025 Success: Feature Store <10ms. Real-time decisioning <100ms. A/B test lift >15%. App engagement increase >30%."
