use_case_id,use_case_name,team_composition,critical_skills,total_fte_estimate,primary_pattern_id,pattern_specific_skills,2025_skill_requirements
1,FrontLine - Partnership Banking,Solution Architect: 1 FTE | ML Engineers: 1 FTE | Data Engineers: 2 FTE | Full Stack Developers: 2-3 FTE | QA Engineers: 1-2 FTE | DevOps Engineers: 1 FTE | Product Owner: 1 FTE | Change Manager: 0.5 FTE,Azure Cloud Services | ML/AI Development | Integration & APIs | Banking domain knowledge,10-15,PT-005,"RAG architecture | Vector DB management | LLM prompt engineering | Feature Store implementation | Agentic AI development","2025 Skills: Self-Reflective RAG implementation. Hybrid search (dense+sparse). Cohere Rerank integration. Agentic AI with planning/reflection. OpenTelemetry observability."
12,QA/QC,Solution Architect: 1 FTE | ML Engineers: 1 FTE | Data Engineers: 2 FTE | Full Stack Developers: 2-3 FTE | QA Engineers: 1-2 FTE | DevOps Engineers: 1 FTE | Product Owner: 1 FTE | Change Manager: 0.5 FTE,Azure Cloud Services | ML/AI Development | Integration & APIs | Banking domain knowledge,10-15,PT-014,"Batch prediction systems | Test automation AI | Defect prediction ML | Quality monitoring | Anomaly detection","2025 Skills: Batch prediction architecture. Test case generation AI. Defect prediction modeling. Quality anomaly detection. Automated reporting."
13,Fraud Ops,Solution Architect: 1 FTE | ML Engineers: 1 FTE | Data Engineers: 2 FTE | Full Stack Developers: 2-3 FTE | QA Engineers: 1-2 FTE | DevOps Engineers: 1 FTE | Product Owner: 1 FTE | Change Manager: 0.5 FTE,Azure Cloud Services | ML/AI Development | Integration & APIs | Banking domain knowledge,10-15,PT-009,"Real-time fraud ML | Behavioral biometrics | Graph analytics | Investigation workbench | Case management","2025 Skills: Real-time fraud scoring (<100ms). Behavioral biometrics ML. Graph analytics for fraud rings. Self-Reflective RAG for case summarization. Investigation workflow."
14,Onboarding,Solution Architect: 1 FTE | ML Engineers: 1 FTE | Data Engineers: 2 FTE | Full Stack Developers: 2-3 FTE | QA Engineers: 1-2 FTE | DevOps Engineers: 1 FTE | Product Owner: 1 FTE | Change Manager: 0.5 FTE,Azure Cloud Services | ML/AI Development | Integration & APIs | Banking domain knowledge,10-15,PT-011,"IDP with liveness detection | Biometric authentication | Risk scoring ML | AML screening integration | XAI for KYC","2025 REGULATORY Skills: IDP with vision (liveness detection). Biometric ML. Risk scoring models. MANDATORY explainability for KYC. AML screening integration."
15,"Risk functions- Risk Functions - Operational Risk, Market Risk, Liquidity Risk,Model Risk, Compliance Risk Assessment, Tech Risk, Risk Assurance, Enterprise Risk",Solution Architect: 1 FTE | ML Engineers: 1 FTE | Data Engineers: 2 FTE | Full Stack Developers: 2-3 FTE | QA Engineers: 1-2 FTE | DevOps Engineers: 1 FTE | Product Owner: 1 FTE | Change Manager: 0.5 FTE,Azure Cloud Services | ML/AI Development | Integration & APIs | Banking domain knowledge,10-15,PT-004,"Risk modeling ML | XAI implementation | Scenario analysis | Model risk management | Regulatory reporting automation","2025 REGULATORY Skills: Operational risk ML. MANDATORY SHAP/LIME explainability. Scenario analysis modeling. Model risk framework. Regulatory reporting automation."
16,IT Ops - IT Operations  -,Solution Architect: 1 FTE | ML Engineers: 1 FTE | Data Engineers: 2 FTE | Full Stack Developers: 2-3 FTE | QA Engineers: 1-2 FTE | DevOps Engineers: 1 FTE | Product Owner: 1 FTE | Change Manager: 0.5 FTE,Azure Cloud Services | ML/AI Development | Integration & APIs | Banking domain knowledge,10-15,PT-007,"AIOps platform development | Log analytics | Anomaly detection | Auto-remediation | Observability (OpenTelemetry)","2025 Skills: Agentic AI for self-healing. AIOps anomaly detection. Root cause analysis ML. Auto-remediation workflows. Full observability implementation."
17,FrontLine - CIB,Solution Architect: 1 FTE | ML Engineers: 1 FTE | Data Engineers: 2 FTE | Full Stack Developers: 2-3 FTE | QA Engineers: 1-2 FTE | DevOps Engineers: 1 FTE | Product Owner: 1 FTE | Change Manager: 0.5 FTE,Azure Cloud Services | ML/AI Development | Integration & APIs | Banking domain knowledge,10-15,PT-005,"RAG for market intelligence | Feature Store for CIB | Pitch generation AI | Deal analytics | Relationship mapping","2025 Skills: Self-Reflective RAG for market intelligence. Feature Store for CIB features. GenAI pitch generation. Deal precedent search. Relationship graph analytics."
18,Procurement,Solution Architect: 1 FTE | ML Engineers: 1 FTE | Data Engineers: 2 FTE | Full Stack Developers: 2-3 FTE | QA Engineers: 1-2 FTE | DevOps Engineers: 1 FTE | Product Owner: 1 FTE | Change Manager: 0.5 FTE,Azure Cloud Services | ML/AI Development | Integration & APIs | Banking domain knowledge,10-15,PT-008,"Multi-Agent Orchestration | IDP for contracts | Vendor matching AI | Spend analytics | Workflow automation","2025 Skills: Multi-Agent orchestration (LangGraph/CrewAI). Contract IDP. Vendor matching ML. Spend analytics. Procurement workflow automation."
19,Payment disputes,Solution Architect: 1 FTE | ML Engineers: 1 FTE | Data Engineers: 2 FTE | Full Stack Developers: 2-3 FTE | QA Engineers: 1-2 FTE | DevOps Engineers: 1 FTE | Product Owner: 1 FTE | Change Manager: 0.5 FTE,Azure Cloud Services | ML/AI Development | Integration & APIs | Banking domain knowledge,10-15,PT-007,"Agentic AI workflow | IDP for evidence | Dispute classification ML | Response generation | Card network integration","2025 Skills: Agentic AI for dispute workflow. Evidence IDP. Classification modeling. Self-Reflective RAG for responses. Outcome prediction ML."
20,Controls testing - IT and business,Solution Architect: 1 FTE | ML Engineers: 1 FTE | Data Engineers: 2 FTE | Full Stack Developers: 2-3 FTE | QA Engineers: 1-2 FTE | DevOps Engineers: 1 FTE | Product Owner: 1 FTE | Change Manager: 0.5 FTE,Azure Cloud Services | ML/AI Development | Integration & APIs | Banking domain knowledge,10-15,PT-007,"Agentic AI test execution | Batch prediction | Evidence automation | GRC integration | Finding documentation AI","2025 Skills: Agentic AI for test automation. Batch prediction for controls. Evidence collection automation. GRC system integration. GenAI findings documentation."
21,Wholesale underwriting transformation - CIB,Solution Architect: 1 FTE | ML Engineers: 1 FTE | Data Engineers: 2 FTE | Full Stack Developers: 2-3 FTE | QA Engineers: 1-2 FTE | DevOps Engineers: 1 FTE | Product Owner: 1 FTE | Change Manager: 0.5 FTE,Azure Cloud Services | ML/AI Development | Integration & APIs | Banking domain knowledge,10-15,PT-011,"Financial IDP | Credit scoring ML | XAI implementation | Feature Store | Deal modeling","2025 REGULATORY Skills: Financial document IDP. Credit scoring modeling. MANDATORY SHAP/LIME explainability. Feature Store for wholesale features. Deal structuring AI."
22,Learning content prouction,Solution Architect: 1 FTE | ML Engineers: 1 FTE | Data Engineers: 2 FTE | Full Stack Developers: 2-3 FTE | QA Engineers: 1-2 FTE | DevOps Engineers: 1 FTE | Product Owner: 1 FTE | Change Manager: 0.5 FTE,Azure Cloud Services | ML/AI Development | Integration & APIs | Banking domain knowledge,10-15,PT-007,"Content generation AI | Multi-Model routing | Adaptive learning | Assessment generation | Translation AI","2025 Skills: Agentic AI for content generation. Multi-Model routing (text/video/assessment). Self-Reflective RAG for source synthesis. Adaptive learning algorithms. Translation AI."
23,Collection Management,Solution Architect: 1 FTE | ML Engineers: 1 FTE | Data Engineers: 2 FTE | Full Stack Developers: 2-3 FTE | QA Engineers: 1-2 FTE | DevOps Engineers: 1 FTE | Product Owner: 1 FTE | Change Manager: 0.5 FTE,Azure Cloud Services | ML/AI Development | Integration & APIs | Banking domain knowledge,10-15,PT-009,"Payment prediction ML | Feature Store | Communication personalization | Strategy optimization | Channel orchestration","2025 Skills: Payment prediction modeling. Feature Store for debtor features. GenAI communication personalization. Multi-Model routing for channels. Strategy optimization ML."
24,Front-end app personalisation,Solution Architect: 1 FTE | ML Engineers: 1 FTE | Data Engineers: 2 FTE | Full Stack Developers: 2-3 FTE | QA Engineers: 1-2 FTE | DevOps Engineers: 1 FTE | Product Owner: 1 FTE | Change Manager: 0.5 FTE,Azure Cloud Services | ML/AI Development | Integration & APIs | Banking domain knowledge,10-15,PT-006,"Multi-Model Routing | Feature Store dual-store | A/B testing | Mobile SDK | Event-driven architecture","2025 Skills: Multi-Model routing (Semantic Router). Feature Store online (<10ms). Champion/Challenger A/B testing. Mobile SDK integration. Event-driven personalization."
