use_case_id,use_case_name,data_residency,privacy_compliance,model_governance,audit_requirements,security_requirements,explainability,governance_requirements,primary_pattern_id,governance_pattern_alignment,2025_governance_requirements
11,Fincrime,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"MANDATORY: Enterprise AI Governance (PT-001) + Explainability (PT-004). AML/CFT compliance. SAR audit trail. Investigation governance.","2025 REGULATORY Governance: MANDATORY explainability for all alerts. SAR filing audit. Investigation documentation. Sanctions compliance. Full regulatory trail."
12,QA/QC,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"Enterprise AI Governance (PT-001) with audit compliance. Test coverage governance. Quality metrics tracking.","2025 Governance: Test execution audit. Quality metrics governance. Defect tracking. Compliance testing documentation. Evidence retention."
13,Fraud Ops,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"Enterprise AI Governance (PT-001) with fraud detection audit. Explainability (PT-004) for decisions. Investigation governance.","2025 Governance: Fraud decision audit. Block/allow governance. Investigation documentation. Customer communication audit. Recovery tracking."
14,Onboarding,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"MANDATORY: Enterprise AI Governance (PT-001) + Explainability (PT-004). KYC compliance. Identity verification audit. AML screening governance.","2025 REGULATORY Governance: MANDATORY explainability for KYC decisions. Identity verification audit. Document retention. Biometric consent. AML compliance."
15,"Risk functions- Risk Functions - Operational Risk, Market Risk, Liquidity Risk,Model Risk, Compliance Risk Assessment, Tech Risk, Risk Assurance, Enterprise Risk",New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"REGULATORY: Enterprise AI Governance (PT-001) + Explainability (PT-004). Model risk management. Regulatory reporting governance.","2025 REGULATORY Governance: Model risk framework compliance. Regulatory reporting audit. Risk decision explainability. Scenario analysis governance. Capital calculation audit."
16,IT Ops - IT Operations  -,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"Enterprise AI Governance (PT-001) with AIOps governance. Change management. Incident response audit. Self-healing governance.","2025 Governance: Incident response audit. Change management compliance. Auto-remediation governance. Performance monitoring. SLA tracking."
17,FrontLine - CIB,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"Enterprise AI Governance (PT-001) with deal governance. Client data protection. Market intelligence compliance.","2025 Governance: Deal documentation audit. Client confidentiality. Market data compliance. Pitch material governance. Relationship tracking."
18,Procurement,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"Enterprise AI Governance (PT-001) with procurement compliance. Contract governance. Vendor management audit.","2025 Governance: Vendor selection audit. Contract approval workflow. Spend governance. Supplier risk tracking. Invoice processing audit."
19,Payment disputes,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"Enterprise AI Governance (PT-001) with card scheme compliance. Dispute resolution audit. Chargeback governance.","2025 Governance: Dispute classification audit. Evidence management. Card scheme compliance. Customer communication audit. Resolution tracking."
20,Controls testing - IT and business,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"Enterprise AI Governance (PT-001) with audit compliance. Control testing governance. Evidence retention. Finding tracking.","2025 Governance: Control testing audit. Evidence governance. Finding documentation. Remediation tracking. Regulatory compliance."
21,Wholesale underwriting transformation - CIB,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"REGULATORY: Enterprise AI Governance (PT-001) + Explainability (PT-004). Credit committee governance. Deal approval audit.","2025 REGULATORY Governance: MANDATORY explainability for credit decisions. Financial spreading audit. Deal approval workflow. Covenant monitoring. Portfolio governance."
22,Learning content prouction,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"Enterprise AI Governance (PT-001) with content governance. Training compliance. Assessment audit.","2025 Governance: Content approval workflow. Training compliance tracking. Assessment governance. Certification audit. IP protection."
23,Collection Management,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"Enterprise AI Governance (PT-001) with collections compliance. Customer treatment governance. Communication audit.","2025 Governance: Collection strategy audit. Customer treatment compliance. Communication governance. Payment tracking. Hardship program compliance."
24,Front-end app personalisation,New Zealand/Australia,Privacy Act compliance,Automated monitoring,Full interaction logging,"Zero Trust, MFA, encryption at rest and in transit",Audit trail,,PT-001,"Enterprise AI Governance (PT-001) with app governance. Privacy (PT-018) for user data. A/B test governance.","2025 Governance: Personalization audit. User consent tracking. A/B test governance. Content moderation. Performance monitoring."
