id,name,component id,component name,ABB description,candidate SBBs,Primary Pattern ID,Primary Pattern Name,2025 Enhancement
225,Audit Logging,94,Compliance Validation Automation,Comprehensive audit logging service,"Azure Monitor, Splunk, Custom Audit Log",PT-001,Enterprise AI Governance Platform,MANDATORY audit logging with 7+ year retention. Immutable logs for regulatory compliance.
185,Audit Templates,77,GenAI Audit Reports,Pre-built templates for audit reporting,"Custom Audit Templates, Internal Audit Templates",PT-006,Multi-Model Routing,Multi-Model Routing for audit report generation with compliance templates.
316,Audit Trail,135,Automated Evidence Collection,Audit trail generation and management,"Azure Monitor, Custom Audit Log",PT-001,Enterprise AI Governance Platform,Governance audit trail with complete evidence chain. 7+ year retention.
222,Authentication,93,Biometric Authentication,Multi-factor authentication service,"Azure Entra ID, Auth0, Okta",PT-018,Security and Privacy Pattern,Security & Privacy with Zero Trust authentication. MFA and biometric verification.
131,Auto-generation,55,GenAI Documentation,Automated documentation generation from code,"Sphinx, Doxygen, Custom LLM-based Generator",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG for semantic documentation search. Automated generation from metadata.
119,Automation Engine,49,AI-powered SOAR,Automation engine for security operations,"Microsoft Sentinel Playbooks, XSOAR Playbooks, Custom Automation",PT-007,Agentic AI Pattern,Agentic AI for autonomous security response. Tool orchestration for SOAR playbooks.
28,AutoML Framework,15,AutoML Platform,Automated machine learning framework,"Azure AutoML, AWS AutoGluon, H2O AutoML, DataRobot",PT-002,MLOps Level 2+ with Governance,MLOps Level 2+ with AutoML governance. Automated training with explainability and bias detection.
137,Auto-tagging,58,AI Metadata Management,Automated metadata tagging using ML,"Azure Purview, AWS Glue, Custom ML Tagger",PT-012,Data Mesh Pattern,Data Mesh metadata with AI-driven tagging. Data product catalog integration.
303,Banking Integration,130,Card Network Integration,Integration with core banking,"Core Banking API, Custom Integration",PT-015,Event-Driven Architecture,Event-driven core banking integration with real-time transaction events.
208,Behavior Profiling,87,Behavioral Biometrics,User behavior profiling and modeling,"BioCatch, Custom Behavior Profiling",PT-003,Feature Store (Dual-Store),Feature Store for behavioral features. Real-time profiling with <10ms retrieval.
108,Behavioral Analysis,45,User & Entity Behavior Analytics (UEBA),ML-based behavioral analysis for anomaly detection,"Custom Behavioral Models, Microsoft Sentinel, Splunk",PT-009,Real-Time ML Scoring Pattern,Real-time UEBA with <1s threat detection. Stream Processing for behavioral patterns.
21,BI Connector,11,BI Visualization Integration,Connectors for BI platform integration,"Power BI Connector, Tableau Connector, ODBC/JDBC Drivers",PT-017,Observability and Monitoring Pattern,Observability BI connectors for real-time dashboard visualization.
206,Biometric Analysis,87,Behavioral Biometrics,Behavioral biometrics analysis,"BioCatch, Plurilock, Custom Behavioral Analysis",PT-018,Security and Privacy Pattern,Security & Privacy biometric protection. GDPR and Privacy Act 2020 compliance.
221,Biometric Service,93,Biometric Authentication,Biometric authentication service,"Azure Entra ID Biometrics, Auth0 Biometrics, Custom Service",PT-018,Security and Privacy Pattern,Security & Privacy biometric service with liveness detection. Privacy-preserving.
251,Breach Prevention,106,Predictive SLA Analytics,Proactive SLA breach prevention,"ServiceNow, Custom Prevention System",PT-014,Batch Prediction Pattern,Batch prediction for SLA breach forecasting with proactive alerting.
263,Briefing Templates,111,GenAI Client Briefings,Templates for client briefings,"Custom Briefing Templates, Presentation Templates",PT-007,Agentic AI Pattern,Agentic AI autonomous briefing preparation with multi-tool research synthesis.
34,Business Glossary,17,Semantic Layer,Centralized repository of business terms,"Azure Purview Glossary, Collibra Glossary, Custom Business Glossary",PT-012,Data Mesh Pattern,Data Mesh business glossary with federated governance and central standards.
83,Campaign Management,36,Journey Orchestration,Campaign management and execution platform,"Adobe Campaign, Salesforce Marketing Cloud, Pega Marketing",PT-015,Event-Driven Architecture,Event-driven campaign orchestration reacting to user events in real-time.
372,Campaign Planning,159,GenAI Campaign Strategy,Campaign strategy and planning,"Adobe Campaign, Custom Campaign Planner",PT-006,Multi-Model Routing,Multi-Model Routing for campaign strategy generation with cost optimization.
294,Card Scheme Logic,125,Rule-based Decisioning,Card scheme rules implementation,"Visa/Mastercard Rules, Custom Logic",PT-009,Real-Time ML Scoring Pattern,Real-time decisioning with card scheme rule validation and explainability.
184,Case Management,76,Risk Scoring Algorithm,Case management system for investigations,"ServiceNow, Pega Case Management, Custom System",PT-009,Real-Time ML Scoring Pattern,Real-time risk scoring for case prioritization with Feature Store integration.
301,Case Management,129,Workflow Automation,Case management for disputes,"ServiceNow, Pega, Custom Case Management",PT-007,Agentic AI Pattern,Agentic AI for dispute workflow automation with autonomous evidence gathering.
292,Category Model,124,ML Dispute Classification,Categorization models for disputes,"Custom Category Model, ML Classifier",PT-009,Real-Time ML Scoring Pattern,Real-time dispute classification with Feature Store features.
68,CDP,31,Customer Data Platform (CDP),Customer Data Platform for unified customer view,"Adobe Real-Time CDP, Segment, Salesforce CDP, Azure Customer Insights",PT-003,Feature Store (Dual-Store),Feature Store CDP integration for unified customer features. <10ms retrieval.
384,CDP Integration,165,Mobile SDK Integration,Integration with Customer Data Platform,"Segment SDK, Adobe SDK, Custom CDP Integration",PT-003,Feature Store (Dual-Store),Feature Store CDP integration for user interaction and preference features.
370,Channel Integration,158,Debt Management Integration,Multi-channel communication integration,"Twilio, Email Service, SMS Gateway",PT-006,Multi-Model Routing,Multi-Model Routing for personalized multi-channel communications.
297,Chargeback Automation,126,RPA Evidence Gathering,Automated chargeback filing,"Custom Chargeback System, Payment Gateway Integration",PT-007,Agentic AI Pattern,Agentic AI for autonomous chargeback filing with tool orchestration.
87,Chatbot Framework,38,Conversational AI Virtual Agents,Framework for building conversational AI agents,"Microsoft Bot Framework, Dialogflow, Rasa, AWS Lex",PT-013,Conversational AI Pattern,2025 Conversational AI with multi-channel support. Context-aware handoff. 20%+ containment.
140,CI/CD Platform,59,DataOps with CI/CD,Continuous Integration and Deployment platform,"Azure DevOps, GitHub Actions, GitLab CI/CD, Jenkins",PT-002,MLOps Level 2+ with Governance,MLOps Level 2+ CI/CD with automated governance checks and compliance validation.
138,Classification ML,58,AI Metadata Management,ML-based classification of data assets,"Custom Classification Models, Azure Purview",PT-012,Data Mesh Pattern,Data Mesh classification with federated governance standards.
56,Classification Models,26,NLP Document Classification,Pre-trained and custom models for document classification,"BERT, RoBERTa, Custom Classification Models",PT-011,Intelligent Document Processing (IDP),IDP document classification with BERT-based classifiers. Confidence routing.
279,Clause Extraction,118,NLP Contract Analysis,Extraction of contract clauses and terms,"Azure Form Recognizer, Custom NLP Extractor",PT-011,Intelligent Document Processing (IDP),IDP contract clause extraction with confidence scoring and HITL integration.
366,Clustering Algorithm,157,Customer Segmentation ML,Clustering algorithms for segmentation,"K-means, DBSCAN, Custom Clustering",PT-014,Batch Prediction Pattern,Batch clustering for customer segmentation with Feature Store features.
103,Coaching Analytics,43,AI Quality Monitoring,Analytics for agent coaching and performance,"Genesys WEM, Nice CXone, Custom Coaching Analytics",PT-017,Observability and Monitoring Pattern,Observability coaching analytics with automated trigger recommendations.
142,Code Assistant,60,GitHub Copilot,AI-powered code completion and generation assistant,"GitHub Copilot, AWS CodeWhisperer, Tabnine, Cursor",PT-006,Multi-Model Routing,Multi-Model Routing for code completion (GPT-4 for code). Governance compliance.
144,Code Completion,60,GitHub Copilot,Intelligent code completion service,"GitHub Copilot, IntelliCode, Kite, Cursor",PT-006,Multi-Model Routing,Multi-Model Routing for intelligent code suggestions with security scanning.
126,Code Generation,53,GenAI Code Generation,LLM-based code generation service,"GitHub Copilot, AWS CodeWhisperer, Azure OpenAI, Cursor",PT-006,Multi-Model Routing,Multi-Model Routing for code generation (GPT-4 complex, Llama simple).
150,Code Parser,63,GenAI Documentation Generation,Parser for extracting code structure and metadata,"Tree-sitter, libclang, Roslyn, Custom Parser",PT-008,Multi-Agent Orchestration,Multi-Agent Documentation Agent for automated code documentation.
146,Code Quality,61,AI Code Review,Code quality assessment tools,"SonarQube, ESLint, Pylint, Code Climate",PT-008,Multi-Agent Orchestration,Multi-Agent Code Review Agent with automated quality analysis.
72,Collaborative Filtering,32,ML Recommendation Engine,Collaborative filtering algorithms for recommendations,"Matrix Factorization, Deep Learning CF, Custom CF",PT-009,Real-Time ML Scoring Pattern,Real-time recommendations with <500ms latency. Champion/Challenger optimization.
281,Communication Generation,119,GenAI RFP Generation,Automated communication generation,"Azure OpenAI, Custom LLM Generator",PT-006,Multi-Model Routing,Multi-Model Routing for RFP and communication generation. Cost optimization.
371,Communication Platform,158,Debt Management Integration,Communication platform for collections,"Twilio, Custom Communication Platform",PT-006,Multi-Model Routing,Multi-Model Routing for personalized collection communications.
363,Communication Templates,155,GenAI Personalized Communication,Templates for personalized communications,"Custom Communication Templates, Email Templates",PT-006,Multi-Model Routing,Multi-Model Routing for compliance-validated personalized communications.
268,Competitive Intel,113,Sentiment Analysis Dashboard,Competitive intelligence gathering,"Custom Competitive Intel, Market Intelligence",PT-017,Observability and Monitoring Pattern,Observability dashboards for competitive intelligence with real-time sentiment.
224,Compliance Engine,94,Compliance Validation Automation,Automated compliance validation engine,"Custom Compliance Engine, Compliance System",PT-001,Enterprise AI Governance Platform,Governance compliance engine with MLOps Level 2+ validation.
176,Compliance Integration,73,Sanctions DB Integration,Integration with compliance systems,"Custom Integration, Compliance System API",PT-001,Enterprise AI Governance Platform,Governance integration with sanctions systems. 7+ year audit trail.
192,Compliance Integration,80,Compliance Framework Integration,Integration with compliance frameworks,"GRC System Integration, Custom Compliance API",PT-001,Enterprise AI Governance Platform,Governance with Data Mesh lineage tracking. GRC platform integration.
102,Compliance Monitoring,43,AI Quality Monitoring,Monitoring system for compliance adherence,"Nice Compliance Recording, Verint Compliance, Custom Monitoring",PT-017,Observability and Monitoring Pattern,Observability compliance monitoring with automated coaching triggers.
51,Compliance Reporting,24,Explainable AI (XAI),Reporting tools for regulatory compliance,"Custom Compliance Reports, Model Risk Reports",PT-004,ML Model Explainability (SHAP/LIME),MANDATORY Explainability compliance reporting with SHAP/LIME explanations.
61,Compliance Templates,28,GenAI Document Summarization,Pre-approved templates for compliance documentation,"Regulatory Compliant Templates, Audit Templates",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG over compliance templates for narrative generation.
209,Computer Vision,88,Computer Vision ID Verification,Computer vision models for document verification,"Azure AI Vision, AWS Rekognition, Custom CV Models",PT-011,Intelligent Document Processing (IDP),IDP computer vision with liveness detection and document forensics.
340,Concept Extraction,146,NLP Content Summarization,Key concept extraction from content,"spaCy, Azure Text Analytics, Custom NLP",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG for key concept extraction and summarization.
362,Contact Timing,154,Reinforcement Learning,Optimal contact timing optimization,"Custom Timing Model, RL-based Optimization",PT-010,Champion/Challenger Testing Pattern,Champion/Challenger for contact strategy testing with RL optimization.
353,Content Delivery,151,LMS Integration,Content delivery and distribution,"LMS Content Delivery, CDN, Custom Delivery",PT-001,Enterprise AI Governance Platform,Governance for content compliance validation. Learning audit trails.
9,Content Templates,3,GenAI Content Generation,Reusable templates for consistent content,"Template Management System, Content Library, Brand Guidelines Repository",PT-006,Multi-Model Routing,Multi-Model Routing for content generation with brand compliance.
374,Content Variants,160,LLM Content Variants,Content variant generation,"Azure OpenAI, Custom Content Generator",PT-006,Multi-Model Routing,Multi-Model Routing for content variants. A/B testing with Champion/Challenger.
117,Context Engine,48,Threat Intelligence Enrichment,Engine for adding contextual information,"Custom Context Engine, SIEM Context Enrichment",PT-003,Feature Store (Dual-Store),Feature Store for threat indicator features. Real-time context enrichment.
378,Context Processing,162,Real-time Personalization,Real-time context processing,"Custom Context Engine, Real-time Processing",PT-015,Event-Driven Architecture,Event-driven context processing with Stream Processing for real-time triggers.
278,Contract Mining,118,NLP Contract Analysis,Contract data extraction and mining,"Icertis, Custom NLP Contract Analyzer",PT-011,Intelligent Document Processing (IDP),IDP contract analysis with clause extraction. Multi-Agent Contract Agent integration.
135,Contract Templates,57,GenAI Data Contracts,Templates for data contracts and SLAs,"Custom Contract Templates, OpenAPI Spec Templates",PT-012,Data Mesh Pattern,Data Mesh data contracts with SLA and quality standards automation.
317,Control Metrics,136,Control Monitoring Dashboard,Metrics for control effectiveness,"Custom KPIs, GRC Metrics",PT-017,Observability and Monitoring Pattern,Observability control effectiveness metrics with real-time dashboards.
232,Control Monitoring,97,Control Effectiveness Monitoring,Automated control monitoring system,"Custom Control Monitoring, GRC System",PT-017,Observability and Monitoring Pattern,Observability for control effectiveness dashboards. Real-time KRI monitoring.
307,Control Monitoring,132,ML Control Anomaly Detection,Continuous control monitoring,"Custom Control Monitor, GRC System",PT-014,Batch Prediction Pattern,Batch anomaly detection for control monitoring with Observability dashboards.
313,Control Templates,134,GenAI Test Script Generation,Templates for control testing,"Custom Control Templates, Audit Templates",PT-006,Multi-Model Routing,Multi-Model Routing for test script generation with template compliance.
306,Control Testing,131,RPA Test Automation,Automated control testing,"UiPath, Power Automate, Custom Testing",PT-008,Multi-Agent Orchestration,Multi-Agent Testing Agent for automated control test execution.
114,Correlation Engine,47,SIEM Integration,Event correlation engine for security analytics,"Microsoft Sentinel, Splunk Enterprise Security, QRadar",PT-015,Event-Driven Architecture,Event-driven SIEM correlation with real-time threat detection.
329,Covenant Tracking,141,NLP Covenant Monitoring,Covenant compliance tracking,"Custom Covenant Monitor, Loan System Integration",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG for covenant document analysis. Real-time breach alerts.
324,Credit Models,139,Credit Rating ML,Credit rating models,"Moody's Models, S&P Models, Custom Credit Models",PT-009,Real-Time ML Scoring Pattern,Real-time credit rating with Tier 1 governance. MANDATORY Explainability.
42,Credit Templates,21,GenAI Credit Narratives,Templates for credit documentation,"Custom Credit Templates, Regulatory Compliant Templates",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG over credit policies for compliant narrative generation.
327,Credit Templates,140,GenAI Credit Memos,Templates for credit memos,"Custom Credit Templates, Bank Templates",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG over underwriting policies. Compliance-validated narratives.
104,CRM Connector,44,CRM Integration,Connector for integrating with CRM systems,"Salesforce Connector, Dynamics 365 Connector, Custom Connector",PT-001,Enterprise AI Governance Platform,Governance CRM integration with full customer interaction audit trail.
69,Customer 360,31,Customer Data Platform (CDP),360-degree view of customer data,"Salesforce Customer 360, Microsoft Dynamics 365, Custom C360",PT-003,Feature Store (Dual-Store),Feature Store for unified customer features. <10ms online retrieval.
368,Customer Groups,157,Customer Segmentation ML,Customer grouping and profiling,"CDP Segmentation, Custom Grouping",PT-014,Batch Prediction Pattern,Batch segmentation with Feature Store customer features.
81,Customer Journey,36,Journey Orchestration,Platform for designing customer journeys,"Adobe Journey Optimizer, Salesforce Journey Builder, Pega Journey",PT-015,Event-Driven Architecture,Event-driven journey orchestration with Stream Processing behavioral aggregation.
215,Customer Profiling,90,ML Risk Assessment,Customer profiling and segmentation,"Custom Profiling, CDP-based Profiling",PT-003,Feature Store (Dual-Store),Feature Store for customer risk profiling features. Real-time assessment.
236,Dashboard Platform,99,Predictive KRI Dashboard,Dashboard and visualization platform,"Power BI, Tableau, Custom Dashboard",PT-017,Observability and Monitoring Pattern,Observability dashboards for real-time KRI visualization.
269,Dashboard Platform,113,Sentiment Analysis Dashboard,Dashboard for intelligence visualization,"Power BI, Tableau, Custom Dashboard",PT-017,Observability and Monitoring Pattern,Observability dashboards for competitive intelligence and sentiment tracking.
22,Data API,11,BI Visualization Integration,RESTful APIs for accessing data products,"Azure API Management, AWS API Gateway, Custom REST APIs",PT-012,Data Mesh Pattern,Data Mesh data product APIs with federated governance.
12,Data Catalog,7,AI Agent Data Access,Metadata repository for data discovery,"Azure Purview, AWS Glue Data Catalog, Collibra, Alation, DataHub",PT-012,Data Mesh Pattern,Data Mesh data catalog with AI-driven tagging. Domain-oriented data products.
40,Data Enrichment,20,Alternative Data Analytics,Services for enriching with external data,"Experian, Equifax, D&B, Alternative Data Providers",PT-003,Feature Store (Dual-Store),Feature Store for alternative data features. Point-in-time joins.
116,Data Enrichment,48,Threat Intelligence Enrichment,Service for enriching security events,"Microsoft Threat Intelligence, VirusTotal, Custom Enrichment",PT-003,Feature Store (Dual-Store),Feature Store for threat indicator enrichment. Real-time threat feeds.
70,Data Integration,31,Customer Data Platform (CDP),Integration layer for consolidating data,"Azure Data Factory, Informatica, Talend, Custom Integration",PT-012,Data Mesh Pattern,Data Mesh data integration with federated governance.
36,Data Pipeline,18,Data Ingestion Integration,Orchestrated data pipelines for moving and transforming data,"Apache Airflow, Azure Data Factory, AWS Step Functions, Prefect",PT-015,Event-Driven Architecture,Event-driven data pipelines with CDC. Stream Processing integration.
127,Data Pipeline Templates,53,GenAI Code Generation,Reusable templates for data pipeline construction,"Azure Data Factory Templates, Airflow DAG Templates",PT-002,MLOps Level 2+ with Governance,MLOps Level 2+ pipeline templates with governance compliance.
17,Data Quality Framework,9,Anomaly Detection ML,Framework for data quality assessment,"Great Expectations, Soda, Azure Data Quality, AWS Glue Data Quality",PT-017,Observability and Monitoring Pattern,Observability data quality monitoring with automated drift detection.
33,Data Virtualization,17,Semantic Layer,Technology for accessing data without replication,"Denodo, Dremio, Starburst, Azure Data Virtualization",PT-012,Data Mesh Pattern,Data Mesh semantic layer with data product virtualization.
271,Deal Management,115,CRM Deal Integration,Deal management and tracking system,"Salesforce, Dynamics 365, Custom CRM",PT-001,Enterprise AI Governance Platform,Governance for deal lifecycle with full audit trails.
332,Deal Management,142,Deal Approval Workflow,Deal management and tracking,"Salesforce, Custom Deal System",PT-001,Enterprise AI Governance Platform,Governance Tier 1 deal approval workflows.
261,Deal Scoring,110,ML Deal Forecasting,Deal scoring and probability models,"Custom Scoring Models, Salesforce Einstein",PT-014,Batch Prediction Pattern,Batch prediction for deal forecasting with Feature Store pipeline indicators.
369,Debt System Connector,158,Debt Management Integration,Connector to debt management systems,"Custom Debt System API, Collections Platform API",PT-001,Enterprise AI Governance Platform,Governance for debt collection compliance. Regulatory audit trails.
152,Debug Assistant,64,AI Debugging,AI-powered debugging assistant,"GitHub Copilot, Custom Debug Assistant, IntelliCode",PT-007,Agentic AI Pattern,Agentic AI for autonomous debugging with memory for context.
75,Decision Engine,34,Real-time Decisioning Engine,Real-time decision engine for dynamic offers,"Pega CDH, Adobe Target, FICO Decision Engine, Custom Engine",PT-009,Real-Time ML Scoring Pattern,Real-time decisioning with <500ms latency. Event-Driven response.
295,Decision Framework,125,Rule-based Decisioning,Decision framework for disputes,"Custom Decision Framework, FICO",PT-009,Real-Time ML Scoring Pattern,Real-time decisioning with Explainability integration.
73,Deep Learning,32,ML Recommendation Engine,Deep learning models for advanced pattern recognition,"TensorFlow, PyTorch, Azure ML, AWS SageMaker",PT-009,Real-Time ML Scoring Pattern,Real-time deep learning with Feature Store features.
109,Deep Learning Framework,46,Deep Learning Threat Detection,Framework for building deep learning models,"TensorFlow, PyTorch, Azure ML, AWS SageMaker",PT-009,Real-Time ML Scoring Pattern,Real-time deep learning with MLOps Level 2+ automated retraining.
355,Default Prediction,152,Payment Propensity ML,Default prediction models,"Credit Risk Models, ML Default Prediction",PT-014,Batch Prediction Pattern,Batch default prediction with Feature Store payment features.
155,Dependency Scanner,65,Dependency Management AI,Scanner for identifying dependencies and vulnerabilities,"Dependabot, Snyk, WhiteSource, Azure DevOps",PT-008,Multi-Agent Orchestration,Multi-Agent Security Agent for dependency scanning and CVE monitoring.
207,Device Fingerprinting,87,Behavioral Biometrics,Device identification and fingerprinting,"Iovation, ThreatMetrix, Custom Fingerprinting",PT-018,Security and Privacy Pattern,Security & Privacy device fingerprinting with privacy protection.
88,Dialog Management,38,Conversational AI Virtual Agents,System for managing conversation flow,"Rasa, Microsoft Bot Framework, Custom Dialog Manager",PT-013,Conversational AI Pattern,Conversational AI dialog management with multi-turn context.
345,Difficulty Algorithm,148,Adaptive Assessment Generation,Difficulty adaptation algorithms,"Item Response Theory, Custom Algorithms",PT-007,Agentic AI Pattern,Agentic AI adaptive difficulty with learner performance tracking.
298,Dispute Templates,127,GenAI Dispute Response,Templates for dispute responses,"Custom Dispute Templates, Card Scheme Templates",PT-006,Multi-Model Routing,Multi-Model Routing for dispute communication with compliance.
291,Dispute Type Detection,124,ML Dispute Classification,Detection of dispute types,"Custom ML Models, Rules-based Detection",PT-009,Real-Time ML Scoring Pattern,Real-time dispute classification with Feature Store features.
151,Doc Generator,63,GenAI Documentation Generation,Documentation generator from code,"Sphinx, JSDoc, Doxygen, Custom Generator",PT-008,Multi-Agent Orchestration,Multi-Agent Documentation Agent with RAG over codebase.
212,Document Classification,89,OCR Document Processing,Classification of document types,"Azure Form Recognizer, AWS Textract, Custom Classifier",PT-011,Intelligent Document Processing (IDP),IDP document classification with confidence-based HITL routing.
315,Document Collection,135,Automated Evidence Collection,Automated document collection,"SharePoint Integration, Custom Collector",PT-007,Agentic AI Pattern,Agentic AI for autonomous document collection. IDP analysis.
43,Document Generation,21,GenAI Credit Narratives,Automated document generation service,"DocuSign Gen, Custom Document Generator, LLM-based Generation",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG for compliant document generation with policy validation.
53,Document Processing,25,OCR Engine,End-to-end document processing,"Azure Form Recognizer, AWS Textract, Google Document AI",PT-011,Intelligent Document Processing (IDP),IDP with ensemble OCR (AWS Textract + Azure). 99% extraction accuracy.
321,Document Processing,138,AI Financial Spreading,Document processing for financial data,"Azure Form Recognizer, Custom Processing",PT-011,Intelligent Document Processing (IDP),IDP for financial statement extraction. 99% accuracy with validation.
130,Documentation Templates,55,GenAI Documentation,Templates for automated documentation,"Custom Doc Templates, Markdown Templates, Wiki Templates",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG for documentation search and auto-generation.
233,Effectiveness Analysis,97,Control Effectiveness Monitoring,Analysis of control effectiveness,"Custom Analysis, GRC Analytics",PT-017,Observability and Monitoring Pattern,Observability control effectiveness analysis with real-time KRIs.
350,Effectiveness Tracking,150,Learning Analytics,Learning effectiveness tracking,"Custom Effectiveness Metrics, LMS Reports",PT-017,Observability and Monitoring Pattern,Observability learning effectiveness analytics.
133,Embeddings,56,Semantic Search,Text embedding models for semantic representation,"Azure OpenAI Embeddings, Sentence Transformers, Custom Embeddings",PT-005,Retrieval-Augmented Generation (Self-Reflective RAG),Self-Reflective RAG embeddings with hybrid search (dense + sparse).
171,Ensemble ML,72,Ensemble Risk Scoring,Ensemble machine learning framework,"Scikit-learn, XGBoost, LightGBM, Custom Ensemble",PT-010,Champion/Challenger Testing Pattern,Champion/Challenger for ensemble validation. Statistical significance testing.
201,Entity Extraction,84,NLP Unstructured Data,Named entity extraction from text,"spaCy NER, Azure AI Language, AWS Comprehend",PT-011,Intelligent Document Processing (IDP),IDP NER for entity extraction from evidence documents.
288,ERP Connector,123,ERP Integration,Connector to ERP systems,"SAP Connector, Oracle Connector, Custom Connector",PT-001,Enterprise AI Governance Platform,Governance ERP integration with procurement compliance audit.
35,ETL/ELT Connector,18,Data Ingestion Integration,Connectors for data extraction and loading,"Fivetran, Azure Data Factory, AWS Glue, Informatica",PT-015,Event-Driven Architecture,Event-driven ETL with CDC for real-time data pipeline.
44,Event Processing,22,Streaming Analytics,Real-time event detection and processing,"Apache Kafka Streams, Azure Stream Analytics, AWS Kinesis Analytics",PT-016,Stream Processing Pattern,Stream Processing with windowing for transaction pattern detection.
314,Evidence Automation,135,Automated Evidence Collection,Automated evidence collection,"Custom Evidence Collector, eDiscovery",PT-007,Agentic AI Pattern,Agentic AI autonomous evidence collection with IDP analysis.
