use_case_id,use_case_name,abb_id,abb_name,component_name,role_in_solution,abb_description,architecture_layer,primary_pattern_id,primary_pattern_name,pattern_abb_alignment
1,FrontLine - Partnership Banking,11,ML Model Serving,Real-time Alerting with ML,Deploys ML models that continuously monitor relationship health indicators,Infrastructure for deploying and serving ML models in production,AI/ML Services Layer,PT-005,Self-Reflective RAG,2025 Real-Time Scoring with Feature Store dual-store
1,FrontLine - Partnership Banking,12,Notification Service,Real-time Alerting with ML,Delivers timely alerts to relationship managers about critical customer events or risks,System for sending notifications across multiple channels,Application Services Layer,PT-005,Self-Reflective RAG,2025 Real-Time Scoring with Feature Store dual-store
2,Finance,13,Data Catalog,AI Agent Data Access,Provides AI agents with metadata and schema information about available financial data products,Metadata repository for data assets with search and discovery capabilities,Data & Knowledge Layer,PT-007,Agentic AI Pattern,2025 Agentic AI with planning/reflection modules
2,Finance,14,API Gateway,AI Agent Data Access,Controls secure access for AI agents to financial data models and data products,Central entry point for API management and routing,Integration Layer,PT-007,Agentic AI Pattern,2025 Agentic AI with planning/reflection modules
2,Finance,15,Agent Framework,AI Agent Data Access,Orchestrates autonomous AI agents that access and process financial data,Framework for building and orchestrating autonomous AI agents,Application Services Layer,PT-007,Agentic AI Pattern,2025 Agentic AI with planning/reflection modules
2,Finance,16,LLM API,GenAI Narrative Generation,Generates natural language explanations for financial variances and report narratives,API for accessing Large Language Model capabilities,AI/ML Services Layer,PT-007,Agentic AI Pattern,2025 Agentic AI with planning/reflection modules
2,Finance,17,Financial Templates,GenAI Narrative Generation,Ensures financial narratives follow proper accounting standards and formats,Domain-specific templates for financial reporting,Application Services Layer,PT-007,Agentic AI Pattern,2025 Agentic AI with planning/reflection modules
2,Finance,18,NLG Engine,GenAI Narrative Generation,Transforms financial data into coherent narrative explanations of P&L and variance analysis,Natural Language Generation engine for creating human-readable text from data,AI/ML Services Layer,PT-007,Agentic AI Pattern,2025 Agentic AI with planning/reflection modules
2,Finance,19,ML Model Serving,Anomaly Detection ML,Serves ML models that identify unusual patterns in financial data for quality assurance,Infrastructure for deploying and serving ML models in production,AI/ML Services Layer,PT-007,Agentic AI Pattern,2025 Real-Time Scoring with Feature Store dual-store
2,Finance,20,Data Quality Framework,Anomaly Detection ML,Validates financial data completeness and accuracy using ML-based checks,Framework for assessing and improving data quality,Data & Knowledge Layer,PT-007,Agentic AI Pattern,2025 Agentic AI with planning/reflection modules
2,Finance,21,Alert Engine,Anomaly Detection ML,Notifies finance teams of detected anomalies in financial data requiring investigation,System for generating and routing alerts based on conditions,Application Services Layer,PT-007,Agentic AI Pattern,2025 Agentic AI with planning/reflection modules
2,Finance,22,Report Engine,Automated Report Generation,Generates formatted financial reports including P&L and balance sheets automatically,System for creating formatted reports from data,Application Services Layer,PT-007,Agentic AI Pattern,2025 Agentic AI with planning/reflection modules
2,Finance,23,NLG,Automated Report Generation,Creates natural language summaries to accompany automated financial reports,Natural Language Generation for report narratives,AI/ML Services Layer,PT-007,Agentic AI Pattern,2025 Agentic AI with planning/reflection modules
2,Finance,24,Template Manager,Automated Report Generation,Manages report templates for consistent formatting across financial reports,System for managing and versioning report templates,Application Services Layer,PT-007,Agentic AI Pattern,2025 Agentic AI with planning/reflection modules
2,Finance,25,BI Connector,BI Visualization Integration,Connects generated financial data to Power BI for interactive visualization,Integration component for BI tools,Integration Layer,PT-007,Agentic AI Pattern,2025 Agentic AI with planning/reflection modules
2,Finance,26,Data API,BI Visualization Integration,Provides data access layer for visualization tools to query financial information,API for data access and querying,Integration Layer,PT-007,Agentic AI Pattern,2025 Agentic AI with planning/reflection modules
2,Finance,27,Visualization Service,BI Visualization Integration,Renders financial data into charts and graphs within Power BI dashboards,Service for creating data visualizations,Presentation Layer,PT-007,Agentic AI Pattern,2025 Agentic AI with planning/reflection modules
3,Analytics and Reporting,28,LLM API,Natural Language Query (NLQ),Interprets natural language questions and converts them to analytical queries,API for accessing Large Language Model capabilities,AI/ML Services Layer,PT-005,Self-Reflective RAG,2025 Self-Reflective RAG with hybrid search
3,Analytics and Reporting,29,Query Translation,Natural Language Query (NLQ),Translates conversational questions into structured database queries,NL to query language translation engine,AI/ML Services Layer,PT-005,Self-Reflective RAG,2025 Self-Reflective RAG with hybrid search
3,Analytics and Reporting,30,SQL Generation,Natural Language Query (NLQ),Generates SQL queries from natural language to access Snowflake data,Automated SQL query generation from natural language,AI/ML Services Layer,PT-005,Self-Reflective RAG,2025 Self-Reflective RAG with hybrid search
3,Analytics and Reporting,31,ML Model Registry,Predictive ML Models,Manages versions and metadata of predictive models for forecasting and classification,Centralized registry for ML models and experiments,AI/ML Services Layer,PT-005,Self-Reflective RAG,2025 Real-Time Scoring with Feature Store dual-store
3,Analytics and Reporting,32,Model Serving,Predictive ML Models,Deploys time series forecasting and classification models for analytics,Infrastructure for serving ML models,AI/ML Services Layer,PT-005,Self-Reflective RAG,2025 Real-Time Scoring with Feature Store dual-store
3,Analytics and Reporting,33,Feature Engineering,Predictive ML Models,Prepares and transforms data features for predictive model consumption,Tools for creating and managing ML features,Data & Knowledge Layer,PT-005,Self-Reflective RAG,2025 Real-Time Scoring with Feature Store dual-store
3,Analytics and Reporting,34,AutoML Framework,AutoML Platform,Enables citizen data scientists to build ML models without deep technical expertise,Automated machine learning framework for model selection,AI/ML Services Layer,PT-005,Self-Reflective RAG,2025 Real-Time Scoring with Feature Store dual-store
3,Analytics and Reporting,35,Model Training,AutoML Platform,Automatically trains and optimizes models for analytics use cases,Automated model training pipeline,AI/ML Services Layer,PT-005,Self-Reflective RAG,2025 Real-Time Scoring with Feature Store dual-store
3,Analytics and Reporting,36,Experiment Tracking,AutoML Platform,Tracks experiments and model performance for analytics projects,System for logging and comparing ML experiments,AI/ML Services Layer,PT-005,Self-Reflective RAG,2025 Real-Time Scoring with Feature Store dual-store
3,Analytics and Reporting,37,LLM API,GenAI Insight Generation,Generates explanatory narratives describing analytical insights and trends,API for accessing Large Language Model capabilities,AI/ML Services Layer,PT-005,Self-Reflective RAG,2025 Self-Reflective RAG with hybrid search
3,Analytics and Reporting,38,Analytics Engine,GenAI Insight Generation,Processes analytical results to identify key insights for narrative generation,Engine for performing advanced analytics,Data & Knowledge Layer,PT-005,Self-Reflective RAG,2025 Self-Reflective RAG with hybrid search
3,Analytics and Reporting,39,Insight Templates,GenAI Insight Generation,Structures automated insights following best practices for business communication,Pre-built templates for insight generation,Application Services Layer,PT-005,Self-Reflective RAG,2025 Self-Reflective RAG with hybrid search
3,Analytics and Reporting,40,Metadata Management,Semantic Layer,Manages business definitions and metrics for unified data understanding,System for managing metadata and business glossary,Data & Knowledge Layer,PT-005,Self-Reflective RAG,2025 Self-Reflective RAG with hybrid search
3,Analytics and Reporting,41,Data Virtualization,Semantic Layer,Provides unified access to data across multiple sources through semantic abstractions,Technology for virtualizing data access across sources,Data & Knowledge Layer,PT-005,Self-Reflective RAG,2025 Self-Reflective RAG with hybrid search
3,Analytics and Reporting,42,Business Glossary,Semantic Layer,Maintains consistent business terminology and definitions across analytics,Repository of standardized business terms,Data & Knowledge Layer,PT-005,Self-Reflective RAG,2025 Self-Reflective RAG with hybrid search
3,Analytics and Reporting,43,ETL/ELT Connector,Data Ingestion Integration,Connects to Fivetran to ingest data from various sources into Snowflake,Connector for data integration tools,Integration Layer,PT-005,Self-Reflective RAG,2025 Self-Reflective RAG with hybrid search
3,Analytics and Reporting,44,Data Pipeline,Data Ingestion Integration,Orchestrates data flow from sources through Fivetran into analytics platform,Automated data pipeline for ETL/ELT,Integration Layer,PT-005,Self-Reflective RAG,2025 Self-Reflective RAG with hybrid search
3,Analytics and Reporting,45,Orchestration,Data Ingestion Integration,Schedules and manages data ingestion workflows for analytics,Workflow orchestration engine,Application Services Layer,PT-005,Self-Reflective RAG,2025 Self-Reflective RAG with hybrid search
4,Credit Risk,46,ML Model Serving,Credit Scoring ML,Deploys credit scoring models that calculate probability of default for loan applications,Infrastructure for deploying and serving ML models in production,AI/ML Services Layer,PT-009,Real-Time ML Scoring,2025 Real-Time Scoring with Feature Store dual-store
4,Credit Risk,47,Risk Models,Credit Scoring ML,Implements advanced algorithms for assessing borrower creditworthiness,Specialized ML models for risk assessment,AI/ML Services Layer,PT-009,Real-Time ML Scoring,2025 Real-Time Scoring with Feature Store dual-store
4,Credit Risk,48,Score Calculation,Credit Scoring ML,Computes credit scores from borrower data using ML models,Engine for calculating risk scores,AI/ML Services Layer,PT-009,Real-Time ML Scoring,2025 Real-Time Scoring with Feature Store dual-store
4,Credit Risk,49,Data Enrichment,Alternative Data Analytics,Enhances credit assessment by incorporating non-traditional data sources,Process for augmenting data with external sources,Data & Knowledge Layer,PT-009,Real-Time ML Scoring,2025 Real-Time Scoring with Feature Store dual-store
4,Credit Risk,50,External Data Sources,Alternative Data Analytics,Integrates alternative data like utility payments and rent history for risk assessment,Connectors to external data providers,Integration Layer,PT-009,Real-Time ML Scoring,2025 Real-Time Scoring with Feature Store dual-store
4,Credit Risk,51,Analytics Platform,Alternative Data Analytics,Analyzes alternative data to improve credit risk predictions,Comprehensive platform for data analytics and business intelligence,Data & Knowledge Layer,PT-009,Real-Time ML Scoring,2025 Real-Time Scoring with Feature Store dual-store
4,Credit Risk,52,LLM API,GenAI Credit Narratives,Generates explanatory credit decision narratives for transparency and compliance,API for accessing Large Language Model capabilities,AI/ML Services Layer,PT-009,Real-Time ML Scoring,2025 MANDATORY explainability with SHAP/LIME
4,Credit Risk,53,Credit Templates,GenAI Credit Narratives,Ensures credit narratives follow regulatory requirements and bank standards,Domain-specific templates for credit documentation,Application Services Layer,PT-009,Real-Time ML Scoring,2025 MANDATORY explainability with SHAP/LIME
4,Credit Risk,54,Document Generation,GenAI Credit Narratives,Creates credit decision documents with AI-generated explanations,Automated document creation from templates and data,Application Services Layer,PT-009,Real-Time ML Scoring,2025 MANDATORY explainability with SHAP/LIME
4,Credit Risk,55,Stream Processing,Streaming Analytics,Monitors loan portfolio in real-time for early detection of credit deterioration,Framework for processing continuous data streams in real-time,Integration Layer,PT-009,Real-Time ML Scoring,2025 Real-Time Scoring with Feature Store dual-store
4,Credit Risk,56,Event Processing,Streaming Analytics,Processes credit events as they occur for immediate risk assessment,Real-time event processing engine,Integration Layer,PT-009,Real-Time ML Scoring,2025 Real-Time Scoring with Feature Store dual-store
4,Credit Risk,57,Real-time Analytics,Streaming Analytics,Provides instant analytics on portfolio health and emerging risks,Real-time analytics processing framework,Data & Knowledge Layer,PT-009,Real-Time ML Scoring,2025 Real-Time Scoring with Feature Store dual-store
4,Credit Risk,58,ML Ensemble Framework,Ensemble ML Models,Combines multiple models for more robust portfolio risk aggregation,Framework for combining multiple ML models,AI/ML Services Layer,PT-009,Real-Time ML Scoring,2025 Real-Time Scoring with Feature Store dual-store
4,Credit Risk,59,Model Combination,Ensemble ML Models,Blends predictions from different credit risk models for improved accuracy,Techniques for combining model predictions,AI/ML Services Layer,PT-009,Real-Time ML Scoring,2025 Real-Time Scoring with Feature Store dual-store
4,Credit Risk,60,Risk Aggregation,Ensemble ML Models,Aggregates individual credit risks to calculate total portfolio risk exposure,System for calculating aggregate risk metrics,Application Services Layer,PT-009,Real-Time ML Scoring,2025 Real-Time Scoring with Feature Store dual-store
4,Credit Risk,61,XAI Framework,Explainable AI (XAI),Explains credit decisions in human-understandable terms for regulatory compliance,Framework for making ML models interpretable,AI/ML Services Layer,PT-009,Real-Time ML Scoring,2025 MANDATORY explainability with SHAP/LIME
4,Credit Risk,62,Model Interpretation,Explainable AI (XAI),Interprets how credit models arrived at specific decisions for transparency,Tools for explaining model predictions,AI/ML Services Layer,PT-009,Real-Time ML Scoring,2025 MANDATORY explainability with SHAP/LIME
4,Credit Risk,63,Compliance Reporting,Explainable AI (XAI),Generates regulatory reports demonstrating fair and explainable credit decisions,Automated compliance report generation,Application Services Layer,PT-009,Real-Time ML Scoring,2025 MANDATORY explainability with SHAP/LIME
5,Lending Ops,64,OCR Service,OCR Engine,Extracts text and data from scanned loan application documents,Optical Character Recognition service for text extraction,AI/ML Services Layer,PT-011,Intelligent Document Processing,2025 IDP with multi-modal extraction
5,Lending Ops,65,Document Processing,OCR Engine,Processes various loan document types for data extraction,Framework for processing documents,AI/ML Services Layer,PT-011,Intelligent Document Processing,2025 IDP with multi-modal extraction
5,Lending Ops,66,Text Extraction,OCR Engine,Extracts structured data fields from unstructured loan documents,Engine for extracting text from images,AI/ML Services Layer,PT-011,Intelligent Document Processing,2025 IDP with multi-modal extraction
5,Lending Ops,67,NLP Framework,NLP Document Classification,Applies natural language processing to classify and understand loan documents,Framework for natural language processing tasks,AI/ML Services Layer,PT-011,Intelligent Document Processing,2025 IDP with multi-modal extraction
5,Lending Ops,68,Classification Models,NLP Document Classification,Categorizes loan documents by type for proper routing and processing,ML models for document classification,AI/ML Services Layer,PT-011,Intelligent Document Processing,2025 IDP with multi-modal extraction
5,Lending Ops,69,NER Service,NLP Document Classification,Identifies and extracts key entities like names dates and amounts from loan documents,Named Entity Recognition service,AI/ML Services Layer,PT-011,Intelligent Document Processing,2025 IDP with multi-modal extraction
5,Lending Ops,70,Validation Framework,ML Validation Models,Validates extracted loan data for accuracy and completeness using ML,Framework for data validation,Application Services Layer,PT-011,Intelligent Document Processing,2025 IDP with multi-modal extraction
5,Lending Ops,71,Data Quality ML,ML Validation Models,Applies ML to detect data quality issues in loan applications,ML models for data quality assessment,AI/ML Services Layer,PT-011,Intelligent Document Processing,2025 IDP with multi-modal extraction
5,Lending Ops,72,Rule Engine,ML Validation Models,Enforces business rules and compliance checks on loan application data,Rules-based validation engine,Application Services Layer,PT-011,Intelligent Document Processing,2025 IDP with multi-modal extraction
5,Lending Ops,73,LLM API,GenAI Document Summarization,Generates concise summaries of lengthy loan application documents,API for accessing Large Language Model capabilities,AI/ML Services Layer,PT-011,Intelligent Document Processing,2025 IDP with multi-modal extraction
5,Lending Ops,74,Summarization,GenAI Document Summarization,Creates executive summaries of loan application packages for quick review,Text summarization capability,AI/ML Services Layer,PT-011,Intelligent Document Processing,2025 IDP with multi-modal extraction
5,Lending Ops,75,Compliance Templates,GenAI Document Summarization,Generates compliance narratives ensuring regulatory requirements are documented,Templates for compliance documentation,Application Services Layer,PT-011,Intelligent Document Processing,2025 IDP with multi-modal extraction
5,Lending Ops,76,RPA Platform,RPA Integration,Automates manual workflow steps in loan processing using robotic process automation,Platform for robotic process automation,Application Services Layer,PT-011,Intelligent Document Processing,2025 IDP with multi-modal extraction
5,Lending Ops,77,Workflow Engine,RPA Integration,Orchestrates loan processing workflows integrating human and automated tasks,Engine for workflow automation,Application Services Layer,PT-011,Intelligent Document Processing,2025 IDP with multi-modal extraction
5,Lending Ops,78,Process Automation,RPA Integration,Automates repetitive lending operations tasks to improve efficiency,Automation framework for business processes,Application Services Layer,PT-011,Intelligent Document Processing,2025 IDP with multi-modal extraction
5,Lending Ops,79,Workflow Routing,Human-in-the-Loop,Routes complex or exceptional loan cases to human experts for review,System for routing work items,Application Services Layer,PT-011,Intelligent Document Processing,2025 IDP with multi-modal extraction
5,Lending Ops,80,Human Task Management,Human-in-the-Loop,Manages tasks requiring human judgment in the loan processing workflow,Task management for human workers,Presentation Layer,PT-011,Intelligent Document Processing,2025 IDP with multi-modal extraction
5,Lending Ops,81,Exception Queue,Human-in-the-Loop,Holds loan applications with exceptions requiring human intervention,Queue for exception handling,Application Services Layer,PT-011,Intelligent Document Processing,2025 IDP with multi-modal extraction
6,HyperPersonalization,82,CDP,Customer Data Platform (CDP),Unifies customer data from all touchpoints into a single comprehensive view,Customer Data Platform for unified customer view,Data & Knowledge Layer,PT-006,Multi-Model Routing,2025 Multi-Model Routing for optimal model selection
6,HyperPersonalization,83,Customer 360,Customer Data Platform (CDP),Provides 360-degree view of customer enabling personalized experiences,Unified customer profile across channels,Data & Knowledge Layer,PT-006,Multi-Model Routing,2025 Multi-Model Routing for optimal model selection
6,HyperPersonalization,84,Data Integration,Customer Data Platform (CDP),Integrates customer data from multiple sources for personalization,Framework for integrating data from multiple sources,Integration Layer,PT-006,Multi-Model Routing,2025 Multi-Model Routing for optimal model selection
6,HyperPersonalization,85,Recommendation Engine,ML Recommendation Engine,Generates personalized next best offers for each customer,System for generating personalized recommendations,AI/ML Services Layer,PT-006,Multi-Model Routing,2025 Multi-Model Routing for optimal model selection
6,HyperPersonalization,86,Collaborative Filtering,ML Recommendation Engine,Recommends products based on similar customer behavior patterns,Collaborative filtering algorithm for recommendations,AI/ML Services Layer,PT-006,Multi-Model Routing,2025 Multi-Model Routing for optimal model selection
6,HyperPersonalization,87,Deep Learning,ML Recommendation Engine,Uses neural networks for sophisticated personalized recommendations,Deep learning models for recommendations,AI/ML Services Layer,PT-006,Multi-Model Routing,2025 Multi-Model Routing for optimal model selection
6,HyperPersonalization,88,LLM API,GenAI Personalized Content,Creates personalized marketing content at scale for individual customers,API for accessing Large Language Model capabilities,AI/ML Services Layer,PT-006,Multi-Model Routing,2025 Multi-Model Routing for optimal model selection
6,HyperPersonalization,89,Content Generation,GenAI Personalized Content,Generates customized marketing messages and offers using generative AI,AI-powered content generation,AI/ML Services Layer,PT-006,Multi-Model Routing,2025 Multi-Model Routing for optimal model selection
6,HyperPersonalization,90,Personalization Engine,GenAI Personalized Content,Tailors content to individual customer preferences and context,Engine for personalizing content,Application Services Layer,PT-006,Multi-Model Routing,2025 Multi-Model Routing for optimal model selection
6,HyperPersonalization,91,Decisioning Engine,Real-time Decisioning,Makes real-time decisions on which offers to present to customers,Real-time decision engine,Application Services Layer,PT-006,Multi-Model Routing,2025 Multi-Model Routing for optimal model selection
6,HyperPersonalization,92,Event Processing,Real-time Decisioning,Processes customer events in real-time to trigger personalized actions,Real-time event processing engine,Integration Layer,PT-006,Multi-Model Routing,2025 Multi-Model Routing for optimal model selection
6,HyperPersonalization,93,Context Evaluation,Real-time Decisioning,Evaluates customer context to determine most relevant personalization,System for evaluating contextual information,Application Services Layer,PT-006,Multi-Model Routing,2025 Multi-Model Routing for optimal model selection
6,HyperPersonalization,94,Multi-Armed Bandit,Multi-Armed Bandit Algorithm,Optimizes offer selection through continuous learning and experimentation,Reinforcement learning algorithm for optimization,AI/ML Services Layer,PT-006,Multi-Model Routing,2025 Multi-Model Routing for optimal model selection
6,HyperPersonalization,95,Offer Optimization,Multi-Armed Bandit Algorithm,Continuously optimizes which offers perform best for different customer segments,System for optimizing offers,AI/ML Services Layer,PT-006,Multi-Model Routing,2025 Multi-Model Routing for optimal model selection
6,HyperPersonalization,96,Experiment Design,Multi-Armed Bandit Algorithm,Designs experiments to test and learn optimal personalization strategies,Framework for designing experiments,Application Services Layer,PT-006,Multi-Model Routing,2025 Multi-Model Routing for optimal model selection
6,HyperPersonalization,97,Journey Orchestration,Journey Orchestration Platform,Orchestrates personalized customer journeys across multiple touchpoints,Platform for managing customer journeys,Application Services Layer,PT-006,Multi-Model Routing,2025 Multi-Model Routing for optimal model selection
6,HyperPersonalization,98,Campaign Management,Journey Orchestration Platform,Manages personalized marketing campaigns across channels,System for managing marketing campaigns,Application Services Layer,PT-006,Multi-Model Routing,2025 Multi-Model Routing for optimal model selection
6,HyperPersonalization,99,Channel Coordination,Journey Orchestration Platform,Coordinates consistent personalized experiences across all customer channels,System for coordinating multi-channel experiences,Application Services Layer,PT-006,Multi-Model Routing,2025 Multi-Model Routing for optimal model selection
6,HyperPersonalization,100,A/B Testing,A/B Testing Framework,Tests different personalization approaches to identify most effective strategies,A/B testing platform for experimentation,Application Services Layer,PT-006,Multi-Model Routing,2025 Multi-Model Routing for optimal model selection
6,HyperPersonalization,101,Experiment Management,A/B Testing Framework,Manages personalization experiments and tracks results,System for managing experiments,Application Services Layer,PT-006,Multi-Model Routing,2025 Multi-Model Routing for optimal model selection
6,HyperPersonalization,102,Statistical Analysis,A/B Testing Framework,Analyzes experiment results to determine winning personalization strategies,Statistical analysis tools for experiments,Application Services Layer,PT-006,Multi-Model Routing,2025 Multi-Model Routing for optimal model selection
7,Contact Centre,103,Knowledge Management,RAG Knowledge Base,Stores contact center knowledge articles and FAQs for agent assistance,Knowledge base system for storing and retrieving organizational knowledge,Data & Knowledge Layer,PT-013,Conversational AI Pattern,2025 Self-Reflective RAG with hybrid search
7,Contact Centre,104,Vector Database,RAG Knowledge Base,Enables semantic search of knowledge base for relevant agent guidance,Database optimized for vector similarity search and embeddings,Data & Knowledge Layer,PT-013,Conversational AI Pattern,2025 Self-Reflective RAG with hybrid search
7,Contact Centre,105,Document Indexing,RAG Knowledge Base,Indexes contact center documentation for fast retrieval during customer interactions,System for indexing documents for search,Data & Knowledge Layer,PT-013,Conversational AI Pattern,2025 Self-Reflective RAG with hybrid search
7,Contact Centre,106,LLM API,Agent Assist with RAG,Generates contextual suggestions for agents handling customer inquiries,API for accessing Large Language Model capabilities,AI/ML Services Layer,PT-013,Conversational AI Pattern,2025 Self-Reflective RAG with hybrid search
7,Contact Centre,107,Context Retrieval,Agent Assist with RAG,Retrieves relevant knowledge to assist agents in real-time during calls,System for retrieving contextual information,Application Services Layer,PT-013,Conversational AI Pattern,2025 Self-Reflective RAG with hybrid search
7,Contact Centre,108,Agent Interface,Agent Assist with RAG,Presents AI-generated suggestions and information to contact center agents,User interface for agent-assisted interactions,Presentation Layer,PT-013,Conversational AI Pattern,2025 Self-Reflective RAG with hybrid search
7,Contact Centre,109,NLP Framework,Sentiment Analysis,Analyzes customer sentiment from voice and text interactions,Framework for natural language processing tasks,AI/ML Services Layer,PT-013,Conversational AI Pattern,2025 IDP with multi-modal extraction
7,Contact Centre,110,Emotion Detection,Sentiment Analysis,Detects customer emotions during contact center interactions,ML models for emotion detection,AI/ML Services Layer,PT-013,Conversational AI Pattern,2025 IDP with multi-modal extraction
7,Contact Centre,111,Sentiment Scoring,Sentiment Analysis,Scores customer sentiment to prioritize urgent or negative interactions,System for calculating sentiment scores,AI/ML Services Layer,PT-013,Conversational AI Pattern,2025 IDP with multi-modal extraction
7,Contact Centre,112,Speech Recognition,Speech-to-Text,Converts customer voice to text for analysis and documentation,Speech recognition service,AI/ML Services Layer,PT-013,Conversational AI Pattern,2025 IDP with multi-modal extraction
7,Contact Centre,113,Audio Processing,Speech-to-Text,Processes audio streams from calls for speech recognition,Audio processing and enhancement pipeline,AI/ML Services Layer,PT-013,Conversational AI Pattern,2025 IDP with multi-modal extraction
7,Contact Centre,114,Transcription,Speech-to-Text,Transcribes customer calls in real-time for agent reference and analytics,Real-time speech transcription service,AI/ML Services Layer,PT-013,Conversational AI Pattern,2025 IDP with multi-modal extraction
7,Contact Centre,115,LLM API,Automated Summary,Generates concise summaries of customer interactions automatically,API for accessing Large Language Model capabilities,AI/ML Services Layer,PT-013,Conversational AI Pattern,2025 Self-Reflective RAG with hybrid search
7,Contact Centre,116,Call Summarization,Automated Summary,Summarizes call content for agent notes and quality assurance,Call summary generation capability,AI/ML Services Layer,PT-013,Conversational AI Pattern,2025 Self-Reflective RAG with hybrid search
7,Contact Centre,117,Documentation,Automated Summary,Automatically documents contact center interactions reducing after-call work,Automated documentation generation,Application Services Layer,PT-013,Conversational AI Pattern,2025 Self-Reflective RAG with hybrid search
8,Security AI,118,Threat Intelligence,Threat Intelligence,Aggregates global security threat intelligence for proactive defense,Platform for aggregating threat intelligence feeds,Data & Knowledge Layer,PT-009,Real-Time ML Scoring,2025 Real-Time Scoring with Feature Store dual-store
8,Security AI,119,Indicator Management,Threat Intelligence,Manages indicators of compromise and threat signatures,System for managing threat indicators,Data & Knowledge Layer,PT-009,Real-Time ML Scoring,2025 Real-Time Scoring with Feature Store dual-store
8,Security AI,120,Intelligence Feeds,Threat Intelligence,Integrates external threat feeds into security monitoring,Integration with threat intelligence sources,Integration Layer,PT-009,Real-Time ML Scoring,2025 Real-Time Scoring with Feature Store dual-store
8,Security AI,121,ML Ensemble,ML Anomaly Detection,Combines multiple models to detect security anomalies with high accuracy,Framework for combining multiple ML models,AI/ML Services Layer,PT-009,Real-Time ML Scoring,2025 Real-Time Scoring with Feature Store dual-store
8,Security AI,122,Behavioral Baselines,ML Anomaly Detection,Establishes normal behavior patterns to identify security anomalies,System for establishing behavioral baselines,AI/ML Services Layer,PT-009,Real-Time ML Scoring,2025 Real-Time Scoring with Feature Store dual-store
8,Security AI,123,Anomaly Scoring,ML Anomaly Detection,Scores detected anomalies by severity for security prioritization,Scoring system for anomalies,AI/ML Services Layer,PT-009,Real-Time ML Scoring,2025 Real-Time Scoring with Feature Store dual-store
8,Security AI,124,User & Entity Behavior Analytics (UEBA),User & Entity Behavior Analytics (UEBA),Monitors user and entity behavior to detect insider threats and compromised accounts,ML-based behavioral analysis for anomaly detection,AI/ML Services Layer,PT-009,Real-Time ML Scoring,2025 Real-Time Scoring with Feature Store dual-store
8,Security AI,125,Behavior Modeling,User & Entity Behavior Analytics (UEBA),Models normal user behavior to identify deviations indicating security risks,System for modeling behavior patterns,AI/ML Services Layer,PT-009,Real-Time ML Scoring,2025 Real-Time Scoring with Feature Store dual-store
