scenario_id,use_case_id,use_case_name,scenario_name,scenario_description,actor,trigger,expected_outcome,components_exercised,component_count,primary_pattern_id,primary_pattern_name,2025_pattern_alignment
SCN-015,15,Risk Functions,Operational Risk Assessment,"Risk analyst performs operational risk assessment using ML models, scenario analysis, and automated reporting for regulatory compliance.",Risk Analyst,Risk assessment cycle initiated,Risk assessment completed with regulatory reports generated,"Risk Dashboard,Metric Visualization,Risk Scoring,Scenario Analysis,Control Assessment,Loss Modeling,KRI Monitoring,Incident Tracking,Remediation Manager,Compliance Reporting,Stress Testing,Capital Calculation,Board Reporting,Audit Support,Regulatory Filing",15,PT-004,ML Model Explainability,"REGULATORY: Explainability (PT-004) for risk decision audit. Real-Time Scoring (PT-009) for event detection. MLOps Level 2+ (PT-002) for model risk. Batch Prediction (PT-014) for portfolio."
SCN-016,16,IT Ops,IT Incident Resolution,"IT operations resolves infrastructure incident using AIOps anomaly detection, root cause analysis, and automated remediation.",IT Operations,Infrastructure anomaly detected,Incident resolved with root cause documented and preventive measures applied,"Operations Dashboard,Log Analytics,Metric Correlation,Anomaly Detection,Root Cause Analysis,Incident Prediction,Capacity Planning,Auto Remediation,Runbook Automation,Change Management,Service Mapping,Performance Baseline,Alert Management,Escalation Engine,Post-mortem Generator",15,PT-007,Agentic AI Pattern,"Agentic AI (PT-007) for autonomous remediation with self-healing. Real-Time Scoring (PT-009) for anomaly detection. Event-Driven (PT-015) for log streaming. Full observability (PT-017)."
SCN-017,17,FrontLine CIB,CIB Deal Preparation,"Corporate banker prepares for deal pitch using AI-retrieved market intelligence, precedent deals, and automated pitch materials.",CIB Banker,New deal opportunity identified,Pitch materials prepared with comprehensive deal analysis,"CIB Banker Portal,Document Retrieval,Market Intelligence,Deal Database,Precedent Search,Financial Modeling,Valuation Engine,Pitch Generator,Presentation Builder,Compliance Check,Risk Assessment,Pricing Model,Term Sheet Generator,Due Diligence,Relationship Insights",15,PT-005,Self-Reflective RAG,"Self-Reflective RAG (PT-005) for market intelligence and deal precedents. Agentic AI (PT-007) for pitch generation. Feature Store (PT-003) for CIB client features."
SCN-018,18,Procurement,Vendor Selection Process,"Procurement team evaluates vendors using AI-powered matching, contract analysis, and risk assessment agents.",Procurement Manager,RFP or procurement request created,Vendor selected with contract negotiated and approved,"Procurement Portal,Agentic AI Orchestration,Vendor Matching,Contract Analysis,Risk Assessment,Spend Analytics,Compliance Check,Price Benchmarking,Negotiation Support,Supplier Scoring,Performance Tracking,Document Management,Approval Workflow,Integration Manager,Reporting Engine",15,PT-008,Multi-Agent Orchestration,"Multi-Agent Orchestration (PT-008) for end-to-end procurement with specialized agents. Agentic AI (PT-007) for vendor matching. IDP (PT-011) for contract analysis."
SCN-019,19,Payment Disputes,Payment Dispute Resolution,"Dispute resolution team processes customer dispute using ML classification, evidence analysis, and automated resolution workflow.",Disputes Agent,Customer dispute submitted,Dispute resolved with appropriate refund or denial actioned,"Disputes Dashboard,Priority Assignment,Dispute Classification,Evidence Analyzer,Chargeback Engine,Customer Communication,Merchant Liaison,Resolution Workflow,Compliance Check,Refund Processing,Fraud Detection,Trend Analysis,SLA Monitor,Reporting Engine,Audit Trail",15,PT-007,Agentic AI Pattern,"Agentic AI (PT-007) for autonomous dispute workflow. IDP (PT-011) for evidence processing. Self-Reflective RAG (PT-005) for response generation. ML outcome prediction."
SCN-020,20,Controls Testing,Control Testing Automation,"Internal audit team performs automated control testing using AI test generation, evidence collection, and compliance assessment.",Internal Auditor,Control testing cycle initiated,Controls tested with findings documented and remediation tracked,"Testing Dashboard,Coverage Analysis,Test Generator,Evidence Collector,Control Mapper,Risk Scorer,Sampling Engine,Workflow Manager,Finding Tracker,Remediation Monitor,Report Generator,Regulatory Mapper,Trend Analyzer,Dashboard Builder,Audit Trail",15,PT-007,Agentic AI Pattern,"Agentic AI (PT-007) for autonomous test execution. Batch Prediction (PT-014) for large-scale testing. MLOps Level 2+ (PT-002) for test models. Full governance (PT-001)."
SCN-021,21,Wholesale Underwriting,Wholesale Credit Assessment,"Wholesale underwriter assesses corporate credit using financial spreading, industry analysis, and risk-adjusted pricing models.",Wholesale Underwriter,Wholesale credit application received,Credit assessment completed with pricing and terms determined,"Underwriting Workstation,Document Extraction,Financial Spreading,Ratio Calculation,Industry Analysis,Peer Comparison,Cash Flow Modeling,Covenant Tracking,Rating Engine,Pricing Model,Deal Structuring,Committee Preparation,Decision Documentation,Portfolio Integration,Monitoring Setup",15,PT-011,Intelligent Document Processing,"REGULATORY: IDP (PT-011) for financial document extraction. Real-Time Scoring (PT-009) for credit assessment. MANDATORY Explainability (PT-004). MLOps Level 2+ (PT-002)."
SCN-022,22,Learning Content,Personalized Learning Path,"Employee receives AI-curated learning content based on skill gaps, role requirements, and career aspirations.",Employee,Employee accesses learning platform,Personalized learning path created with progress tracked,"Learning Portal,Personalization Engine,Skill Assessment,Gap Analysis,Content Recommendation,Adaptive Learning,Progress Tracking,Assessment Engine,Certification Manager,Mentor Matching,Career Pathing,Feedback Collection,Analytics Dashboard,Content Curation,Compliance Training",15,PT-007,Agentic AI Pattern,"Agentic AI (PT-007) for autonomous content generation. Multi-Model Routing (PT-006) for text/video/assessment. Self-Reflective RAG (PT-005) for source synthesis."
SCN-023,23,Collection Management,Debt Collection Strategy,Collections agent executes AI-optimized collection strategy with personalized customer communication and payment arrangement.,Collections Agent,Account enters collection status,Collection strategy executed with payment arrangement established,"Collections Dashboard,Channel Selection,Debtor Scoring,Payment Prediction,Strategy Engine,Communication Generator,Negotiation Support,Payment Arrangement,Promise Tracker,Escalation Manager,Legal Handoff,Recovery Analytics,Customer Portal,Compliance Monitor,Reporting Engine",15,PT-009,Real-Time ML Scoring,"Real-Time Scoring (PT-009) for payment prediction. Feature Store (PT-003) for debtor features. Multi-Model Routing (PT-006) for channel optimization. GenAI messaging."
SCN-024,24,Front-end App Personalisation,App Personalization,"Mobile app delivers dynamically personalized UI based on user behavior, preferences, and real-time context analysis.",Mobile App User,User launches mobile application,App UI dynamically optimized for user preferences and context,"UI Personalization,Layout Optimization,Feature Prioritization,Behavioral Analysis,Preference Learning,Context Engine,A/B Testing,Recommendation Engine,Content Personalization,Navigation Optimizer,Performance Monitor,Feedback Collector,Analytics Engine,Segment Manager,Real-time Decisioning",15,PT-006,Multi-Model Routing,"Multi-Model Routing (PT-006) for optimal model per task. Champion/Challenger (PT-010) for A/B testing. Feature Store (PT-003) for real-time features. Event-Driven (PT-015)."
