use_case_id,use_case_name,estimated_cost,timeline,complexity,priority_score,wsjf_business_value,wsjf_time_criticality,wsjf_risk_reduction,wsjf_job_size,wsjf_score,cost_breakdown,primary_pattern_id,pattern_complexity_factor,2025_cost_considerations
1,FrontLine - Partnership Banking,$50K - $50K,3-6 months,Low,16/100,9,3,4,11,1.45,Infrastructure 30% | Licensing 35% | Development 25% | Change Mgmt 10%,PT-005,Medium,"2025 Cost: RAG infrastructure (vector DB + embeddings). Feature Store licensing. LLM API costs (token-based). Agentic AI compute. Observability infrastructure."
12,QA/QC,$50K - $50K,3-6 months,Low,13/100,6,3,4,11,1.18,Infrastructure 30% | Licensing 35% | Development 25% | Change Mgmt 10%,PT-014,Low,"2025 Cost: Batch prediction infrastructure. Test automation platform. Quality monitoring. Anomaly detection. Reporting tooling."
13,Fraud Ops,$50K - $50K,3-6 months,Low,16/100,9,3,4,11,1.45,Infrastructure 30% | Licensing 35% | Development 25% | Change Mgmt 10%,PT-009,High,"2025 Cost: Real-time fraud detection (<100ms). Behavioral biometrics. Graph analytics. Investigation workbench. Case management."
14,Onboarding,$50K - $50K,3-6 months,Low,16/100,9,3,4,11,1.45,Infrastructure 30% | Licensing 35% | Development 25% | Change Mgmt 10%,PT-011,High,"2025 REGULATORY Cost: IDP with liveness detection. Biometric authentication. Real-time risk scoring. MANDATORY Explainability. AML screening integration."
15,"Risk functions- Risk Functions - Operational Risk, Market Risk, Liquidity Risk,Model Risk, Compliance Risk Assessment, Tech Risk, Risk Assurance, Enterprise Risk",$50K - $50K,3-6 months,Low,16/100,9,3,4,11,1.45,Infrastructure 30% | Licensing 35% | Development 25% | Change Mgmt 10%,PT-004,High,"2025 REGULATORY Cost: Model risk infrastructure. Explainability tooling. Scenario analysis platform. Regulatory reporting. Risk aggregation compute."
16,IT Ops - IT Operations  -,$50K - $50K,3-6 months,Low,16/100,9,3,4,11,1.45,Infrastructure 30% | Licensing 35% | Development 25% | Change Mgmt 10%,PT-007,Medium,"2025 Cost: AIOps platform. Log analytics. Anomaly detection. Auto-remediation. Observability (OpenTelemetry). CMDB integration."
17,FrontLine - CIB,$50K - $50K,3-6 months,Low,16/100,9,3,4,11,1.45,Infrastructure 30% | Licensing 35% | Development 25% | Change Mgmt 10%,PT-005,Medium,"2025 Cost: RAG for market intelligence. Feature Store for CIB features. Pitch generation (LLM). Deal analytics. Relationship mapping."
18,Procurement,$50K - $50K,3-6 months,Low,13/100,6,3,4,11,1.18,Infrastructure 30% | Licensing 35% | Development 25% | Change Mgmt 10%,PT-008,High,"2025 Cost: Multi-Agent Orchestration platform. IDP for contracts. Spend analytics. Vendor matching AI. Workflow automation."
19,Payment disputes,$50K - $50K,3-6 months,Low,13/100,6,3,4,11,1.18,Infrastructure 30% | Licensing 35% | Development 25% | Change Mgmt 10%,PT-007,Medium,"2025 Cost: Agentic AI for dispute workflow. IDP for evidence. Classification models. Response generation. Card network integration."
20,Controls testing - IT and business,$50K - $50K,3-6 months,Low,13/100,6,3,4,11,1.18,Infrastructure 30% | Licensing 35% | Development 25% | Change Mgmt 10%,PT-007,Medium,"2025 Cost: Agentic AI for test execution. Batch prediction. Evidence collection automation. GRC integration. Report generation."
21,Wholesale underwriting transformation - CIB,$50K - $50K,3-6 months,Low,16/100,9,3,4,11,1.45,Infrastructure 30% | Licensing 35% | Development 25% | Change Mgmt 10%,PT-011,High,"2025 REGULATORY Cost: IDP for financial documents. Credit scoring ML. MANDATORY Explainability. Feature Store for wholesale features. Deal modeling compute."
22,Learning content prouction,$50K - $50K,3-6 months,Low,13/100,6,3,4,11,1.18,Infrastructure 30% | Licensing 35% | Development 25% | Change Mgmt 10%,PT-007,Medium,"2025 Cost: Content generation (LLM). Multi-model for text/video/assessment. Adaptive learning platform. Translation services. LMS integration."
23,Collection Management,$50K - $50K,3-6 months,Low,13/100,6,3,4,11,1.18,Infrastructure 30% | Licensing 35% | Development 25% | Change Mgmt 10%,PT-009,Medium,"2025 Cost: Real-time payment prediction. Feature Store for debtor features. Communication personalization. Strategy optimization. Channel orchestration."
24,Front-end app personalisation,$50K - $50K,3-6 months,Low,16/100,9,3,4,11,1.45,Infrastructure 30% | Licensing 35% | Development 25% | Change Mgmt 10%,PT-006,High,"2025 Cost: Multi-Model Routing. Real-time decisioning. Feature Store (online <10ms). A/B testing platform. Mobile SDK. Event streaming."
