interface_id,solution_interface_id,use_case_id,use_case_name,source_abb_id,source_abb_name,source_layer,target_abb_id,target_abb_name,target_layer,interface_name,interface_description,datasets_exchanged,protocol,data_format,frequency,direction,security,authentication,volume,sla_requirement,error_handling,integration_pattern,primary_pattern_id,primary_pattern_name,pattern_interface_requirements
13,2,2,Finance,14,API Gateway,Integration Layer,15,Agent Framework,Application Services Layer,Agent API Access,Routes AI agent requests to appropriate financial data services,"API requests, Query parameters, Authentication tokens",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,JWT,High,<100ms,Rate limiting,Request/Response,PT-007,Agentic AI Pattern,2025: Agent communication via tool calls. State management. Human-in-the-loop hooks.
14,3,2,Finance,15,Agent Framework,Application Services Layer,16,LLM API,AI/ML Services Layer,Agent LLM Request,Sends financial data analysis requests to LLM,"Financial data, Analysis requests, Context",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,High,<2s,Timeout with retry,Request/Response,PT-007,Agentic AI Pattern,2025: Agent communication via tool calls. State management. Human-in-the-loop hooks.
15,4,2,Finance,16,LLM API,AI/ML Services Layer,18,NLG Engine,AI/ML Services Layer,Narrative Generation Input,Provides LLM output to NLG engine for refinement,"Generated narratives, Variance explanations, Draft text",REST API,JSON,Real-time,Unidirectional,API Key,Token-based,Medium,<1s,Fallback template,Request/Response,PT-007,Agentic AI Pattern,2025: Agent communication via tool calls. State management. Human-in-the-loop hooks.
16,5,2,Finance,17,Financial Templates,Application Services Layer,18,NLG Engine,AI/ML Services Layer,Template Structure,Provides financial reporting templates to NLG engine,"Report templates, Format specifications, Compliance rules",REST API,JSON,On-demand,Unidirectional,API Key,Token-based,Low,<500ms,Cache templates,Request/Response,PT-007,Agentic AI Pattern,2025: Agent communication via tool calls. State management. Human-in-the-loop hooks.
17,6,2,Finance,20,Data Quality Framework,Data & Knowledge Layer,19,ML Model Serving,AI/ML Services Layer,Quality Metrics,Sends data quality metrics to ML models for anomaly detection,"Quality scores, Completeness metrics, Validation results",REST API,JSON,Hourly,Unidirectional,TLS 1.3,Service Account,Medium,<5s,Retry with backoff,Request/Response,PT-007,Agentic AI Pattern,2025: Agent communication via tool calls. State management. Human-in-the-loop hooks.
18,7,2,Finance,19,ML Model Serving,AI/ML Services Layer,21,Alert Engine,Application Services Layer,Anomaly Alerts,Triggers alerts for detected financial data anomalies,"Anomaly scores, Affected datasets, Severity levels",Event Stream,JSON,Real-time,Unidirectional,TLS 1.3,Service Account,Medium,<500ms,Dead letter queue,Event-Driven,PT-007,Agentic AI Pattern,2025: Agent communication via tool calls. State management. Human-in-the-loop hooks.
19,8,2,Finance,18,NLG Engine,AI/ML Services Layer,22,Report Engine,Application Services Layer,Report Narratives,Provides generated narratives for report assembly,"Narrative text, Variance explanations, P&L commentary",REST API,JSON,On-demand,Unidirectional,API Key,Token-based,Medium,<2s,Use template fallback,Request/Response,PT-007,Agentic AI Pattern,2025: Agent communication via tool calls. State management. Human-in-the-loop hooks.
20,9,2,Finance,24,Template Manager,Application Services Layer,22,Report Engine,Application Services Layer,Report Templates,Supplies report templates for financial report generation,"Template definitions, Layout specs, Format rules",REST API,JSON,On-demand,Unidirectional,API Key,Token-based,Low,<500ms,Cache templates,Request/Response,PT-007,Agentic AI Pattern,2025: Agent communication via tool calls. State management. Human-in-the-loop hooks.
21,10,2,Finance,23,NLG,AI/ML Services Layer,22,Report Engine,Application Services Layer,Summary Text,Generates natural language summaries for reports,"Executive summaries, Highlights, Key findings",REST API,JSON,On-demand,Unidirectional,API Key,Token-based,Medium,<1s,Template fallback,Request/Response,PT-007,Agentic AI Pattern,2025: Agent communication via tool calls. State management. Human-in-the-loop hooks.
22,11,2,Finance,22,Report Engine,Application Services Layer,25,BI Connector,Integration Layer,Report Data,Sends generated report data to BI connector for visualization,"Report datasets, KPIs, Time series data",REST API,JSON,On-demand,Unidirectional,OAuth 2.0,API Key,Medium,<2s,Retry 3x,Request/Response,PT-007,Agentic AI Pattern,2025: Agent communication via tool calls. State management. Human-in-the-loop hooks.
23,12,2,Finance,25,BI Connector,Integration Layer,26,Data API,Integration Layer,BI Data Request,Requests financial data via data API for Power BI,"Query requests, Filter parameters, Aggregation specs",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,High,<1s,Circuit breaker,Request/Response,PT-007,Agentic AI Pattern,2025: Agent communication via tool calls. State management. Human-in-the-loop hooks.
24,13,2,Finance,26,Data API,Integration Layer,27,Visualization Service,Presentation Layer,Visualization Data,Provides formatted data for chart and graph rendering,"Chart data, Graph datasets, Dashboard metrics",REST API,JSON,Real-time,Unidirectional,OAuth 2.0,Bearer Token,High,<500ms,Cache with refresh,Request/Response,PT-007,Agentic AI Pattern,2025: Agent communication via tool calls. State management. Human-in-the-loop hooks.
25,1,3,Analytics and Reporting,28,LLM API,AI/ML Services Layer,29,Query Translation,AI/ML Services Layer,NL Understanding,Interprets natural language questions for query translation,"Natural language queries, User intent, Context",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Bearer Token,High,<500ms,Retry 3x,Request/Response,PT-005,Self-Reflective RAG,2025: Async RAG with streaming. OpenTelemetry tracing. Vector DB HNSW index.
26,2,3,Analytics and Reporting,29,Query Translation,AI/ML Services Layer,30,SQL Generation,AI/ML Services Layer,Query Structure,Provides structured query intent for SQL generation,"Query AST, Table references, Filter conditions",REST API,JSON,Real-time,Unidirectional,API Key,Token-based,High,<200ms,Fallback to template,Request/Response,PT-005,Self-Reflective RAG,2025: Async RAG with streaming. OpenTelemetry tracing. Vector DB HNSW index.
27,3,3,Analytics and Reporting,30,SQL Generation,AI/ML Services Layer,41,Data Virtualization,Data & Knowledge Layer,SQL Query,Executes generated SQL queries against Snowflake via semantic layer,"SQL statements, Query parameters, Connection info",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,Service Account,High,<2s,Query timeout,Request/Response,PT-005,Self-Reflective RAG,2025: Async RAG with streaming. OpenTelemetry tracing. Vector DB HNSW index.
28,4,3,Analytics and Reporting,40,Metadata Management,Data & Knowledge Layer,41,Data Virtualization,Data & Knowledge Layer,Metadata Context,Provides business definitions and metrics for data virtualization,"Business glossary, Metric definitions, Data lineage",REST API,JSON,On-demand,Unidirectional,API Key,Service Account,Low,<1s,Cache metadata,Request/Response,PT-005,Self-Reflective RAG,2025: Async RAG with streaming. OpenTelemetry tracing. Vector DB HNSW index.
29,5,3,Analytics and Reporting,42,Business Glossary,Data & Knowledge Layer,29,Query Translation,AI/ML Services Layer,Business Terms,Supplies business terminology for query translation,"Term definitions, Synonyms, Relationships",REST API,JSON,On-demand,Unidirectional,API Key,Token-based,Low,<500ms,Cache terms,Request/Response,PT-005,Self-Reflective RAG,2025: Async RAG with streaming. OpenTelemetry tracing. Vector DB HNSW index.
30,6,3,Analytics and Reporting,33,Feature Engineering,Data & Knowledge Layer,31,ML Model Registry,AI/ML Services Layer,Feature Metadata,Registers feature definitions with model registry,"Feature schemas, Transformations, Dependencies",REST API,JSON,On-demand,Bidirectional,OAuth 2.0,Service Account,Low,<1s,Retry 3x,Request/Response,PT-005,Self-Reflective RAG,2025: Async RAG with streaming. OpenTelemetry tracing. Vector DB HNSW index.
31,7,3,Analytics and Reporting,31,ML Model Registry,AI/ML Services Layer,32,Model Serving,AI/ML Services Layer,Model Deployment,Deploys registered models to serving infrastructure,"Model artifacts, Configuration, Version info",REST API,Binary,On-demand,Unidirectional,mTLS,Certificate,Medium,<10s,Rollback on failure,Request/Response,PT-005,Self-Reflective RAG,2025: Async RAG with streaming. OpenTelemetry tracing. Vector DB HNSW index.
32,8,3,Analytics and Reporting,33,Feature Engineering,Data & Knowledge Layer,32,Model Serving,AI/ML Services Layer,Feature Values,Provides computed features for model inference,"Feature vectors, Timestamps, Entity IDs",REST API,JSON,Real-time,Unidirectional,mTLS,Certificate,Very High,<50ms,Feature store fallback,Request/Response,PT-005,Self-Reflective RAG,2025: Async RAG with streaming. OpenTelemetry tracing. Vector DB HNSW index.
33,9,3,Analytics and Reporting,34,AutoML Framework,AI/ML Services Layer,35,Model Training,AI/ML Services Layer,Training Configuration,Provides AutoML-generated training configuration,"Hyperparameters, Algorithm selection, Training specs",REST API,JSON,On-demand,Unidirectional,API Key,Token-based,Low,<1s,Use default config,Request/Response,PT-005,Self-Reflective RAG,2025: Async RAG with streaming. OpenTelemetry tracing. Vector DB HNSW index.
34,10,3,Analytics and Reporting,35,Model Training,AI/ML Services Layer,36,Experiment Tracking,AI/ML Services Layer,Training Metrics,Logs model training metrics and results to experiment tracker,"Training metrics, Loss curves, Model performance",Event Stream,JSON,Real-time,Unidirectional,TLS 1.3,Service Account,Medium,<1s,Buffer metrics,Event-Driven,PT-005,Self-Reflective RAG,2025: Async RAG with streaming. OpenTelemetry tracing. Vector DB HNSW index.
35,11,3,Analytics and Reporting,36,Experiment Tracking,AI/ML Services Layer,31,ML Model Registry,AI/ML Services Layer,Model Registration,Registers successful models in model registry,"Model metadata, Performance metrics, Artifacts",REST API,JSON,On-demand,Unidirectional,OAuth 2.0,Service Account,Low,<2s,Retry 3x,Request/Response,PT-005,Self-Reflective RAG,2025: Async RAG with streaming. OpenTelemetry tracing. Vector DB HNSW index.
36,12,3,Analytics and Reporting,32,Model Serving,AI/ML Services Layer,38,Analytics Engine,Data & Knowledge Layer,Prediction Results,Delivers model predictions to analytics engine,"Predictions, Forecasts, Classifications",Event Stream,JSON,Real-time,Unidirectional,TLS 1.3,Service Account,High,<200ms,Dead letter queue,Event-Driven,PT-005,Self-Reflective RAG,2025: Async RAG with streaming. OpenTelemetry tracing. Vector DB HNSW index.
37,13,3,Analytics and Reporting,38,Analytics Engine,Data & Knowledge Layer,37,LLM API,AI/ML Services Layer,Insight Generation Request,Requests narrative generation for analytical insights,"Analytical insights, Trends, Anomalies",REST API,JSON,On-demand,Bidirectional,OAuth 2.0,Bearer Token,Medium,<2s,Timeout retry,Request/Response,PT-005,Self-Reflective RAG,2025: Async RAG with streaming. OpenTelemetry tracing. Vector DB HNSW index.
38,14,3,Analytics and Reporting,39,Insight Templates,Application Services Layer,37,LLM API,AI/ML Services Layer,Template Context,Provides insight templates for structured narrative generation,"Insight templates, Format rules, Business context",REST API,JSON,On-demand,Unidirectional,API Key,Token-based,Low,<500ms,Cache templates,Request/Response,PT-005,Self-Reflective RAG,2025: Async RAG with streaming. OpenTelemetry tracing. Vector DB HNSW index.
39,15,3,Analytics and Reporting,43,ETL/ELT Connector,Integration Layer,44,Data Pipeline,Integration Layer,Data Ingestion,Ingests data from sources via Fivetran into Snowflake,"Raw data, Source metadata, Ingestion logs",Event Stream,JSON,Real-time,Unidirectional,OAuth 2.0,Service Account,Very High,<5s,Retry with exponential backoff,Streaming,PT-005,Self-Reflective RAG,2025: Async RAG with streaming. OpenTelemetry tracing. Vector DB HNSW index.
40,16,3,Analytics and Reporting,44,Data Pipeline,Integration Layer,45,Orchestration,Application Services Layer,Pipeline Status,Reports pipeline execution status to orchestrator,"Pipeline metrics, Status, Error logs",Event Stream,JSON,Real-time,Unidirectional,TLS 1.3,Service Account,Medium,<1s,Alert on failure,Event-Driven,PT-005,Self-Reflective RAG,2025: Async RAG with streaming. OpenTelemetry tracing. Vector DB HNSW index.
41,17,3,Analytics and Reporting,45,Orchestration,Application Services Layer,44,Data Pipeline,Integration Layer,Workflow Control,Schedules and manages data ingestion workflows,"Schedule definitions, Triggers, Dependencies",REST API,JSON,Scheduled,Bidirectional,API Key,Service Account,Low,<2s,Retry 3x,Request/Response,PT-005,Self-Reflective RAG,2025: Async RAG with streaming. OpenTelemetry tracing. Vector DB HNSW index.
42,1,4,Credit Risk,46,ML Model Serving,AI/ML Services Layer,47,Risk Models,AI/ML Services Layer,Model Inference,Serves risk models for probability of default calculation,"Credit application data, Borrower profile, Financial data",REST API,JSON,Real-time,Unidirectional,mTLS,Certificate,High,<100ms,Cache predictions,Request/Response,PT-009,Real-Time ML Scoring,2025: <100ms latency SLA. Feature Store gRPC. Circuit breaker for fallback.
43,2,4,Credit Risk,47,Risk Models,AI/ML Services Layer,48,Score Calculation,AI/ML Services Layer,Risk Score Input,Provides model outputs for credit score calculation,"Risk probabilities, Model outputs, Feature importance",REST API,JSON,Real-time,Unidirectional,API Key,Token-based,High,<50ms,Fallback model,Request/Response,PT-009,Real-Time ML Scoring,2025: <100ms latency SLA. Feature Store gRPC. Circuit breaker for fallback.
44,3,4,Credit Risk,49,Data Enrichment,Data & Knowledge Layer,50,External Data Sources,Integration Layer,Data Enrichment Request,Requests alternative data from external sources,"Data requests, Entity identifiers, Query parameters",REST API,JSON,Real-time,Bidirectional,OAuth 2.0,API Key,Medium,<3s,Timeout with partial,Request/Response,PT-009,Real-Time ML Scoring,2025: <100ms latency SLA. Feature Store gRPC. Circuit breaker for fallback.
45,4,4,Credit Risk,50,External Data Sources,Integration Layer,51,Analytics Platform,Data & Knowledge Layer,Alternative Data,Delivers alternative data for risk assessment analytics,"Utility payments, Rent history, Social data, Employment data",Batch,CSV,Daily,Unidirectional,SFTP + PGP,Certificate,Medium,<1hr,Retry next cycle,Batch Load,PT-009,Real-Time ML Scoring,2025: <100ms latency SLA. Feature Store gRPC. Circuit breaker for fallback.
46,5,4,Credit Risk,51,Analytics Platform,Data & Knowledge Layer,47,Risk Models,AI/ML Services Layer,Enhanced Features,Provides enriched features for improved risk assessment,"Enriched borrower data, Alternative signals, Risk indicators",REST API,JSON,Real-time,Unidirectional,mTLS,Service Account,High,<200ms,Use core features only,Request/Response,PT-009,Real-Time ML Scoring,2025: <100ms latency SLA. Feature Store gRPC. Circuit breaker for fallback.
47,6,4,Credit Risk,48,Score Calculation,AI/ML Services Layer,52,LLM API,AI/ML Services Layer,Decision Context,Provides credit score context for narrative generation,"Credit scores, Risk ratings, Decision factors",REST API,JSON,On-demand,Unidirectional,OAuth 2.0,Bearer Token,Medium,<1s,Skip narrative,Request/Response,PT-009,Real-Time ML Scoring,2025: <100ms latency SLA. Feature Store gRPC. Circuit breaker for fallback.
48,7,4,Credit Risk,52,LLM API,AI/ML Services Layer,54,Document Generation,Application Services Layer,Credit Narrative,Delivers AI-generated credit decision narratives,"Narrative text, Explanations, Regulatory disclosures",REST API,JSON,On-demand,Unidirectional,OAuth 2.0,Bearer Token,Medium,<3s,Use template fallback,Request/Response,PT-009,Real-Time ML Scoring,2025: <100ms latency SLA. Feature Store gRPC. Circuit breaker for fallback.
49,8,4,Credit Risk,53,Credit Templates,Application Services Layer,54,Document Generation,Application Services Layer,Document Templates,Provides credit decision document templates,"Template definitions, Format specs, Compliance requirements",REST API,JSON,On-demand,Unidirectional,API Key,Token-based,Low,<500ms,Cache templates,Request/Response,PT-009,Real-Time ML Scoring,2025: <100ms latency SLA. Feature Store gRPC. Circuit breaker for fallback.
50,9,4,Credit Risk,55,Stream Processing,Integration Layer,56,Event Processing,Integration Layer,Loan Events,Streams loan portfolio events for real-time processing,"Transaction events, Payment data, Account changes",Event Stream,Avro,Real-time,Unidirectional,TLS 1.3,Service Account,Very High,<10ms,Buffer overflow,Streaming,PT-009,Real-Time ML Scoring,2025: <100ms latency SLA. Feature Store gRPC. Circuit breaker for fallback.
51,10,4,Credit Risk,56,Event Processing,Integration Layer,57,Real-time Analytics,Data & Knowledge Layer,Processed Events,Delivers processed credit events for analytics,"Aggregated events, Risk signals, Portfolio metrics",Event Stream,Avro,Real-time,Unidirectional,TLS 1.3,Service Account,High,<50ms,Dead letter queue,Event-Driven,PT-009,Real-Time ML Scoring,2025: <100ms latency SLA. Feature Store gRPC. Circuit breaker for fallback.
52,11,4,Credit Risk,57,Real-time Analytics,Data & Knowledge Layer,46,ML Model Serving,AI/ML Services Layer,Real-time Monitoring Data,Provides portfolio health data for early warning models,"Portfolio metrics, Trend data, Risk indicators",Event Stream,JSON,Real-time,Unidirectional,TLS 1.3,Service Account,High,<100ms,Buffer metrics,Streaming,PT-009,Real-Time ML Scoring,2025: <100ms latency SLA. Feature Store gRPC. Circuit breaker for fallback.
53,12,4,Credit Risk,47,Risk Models,AI/ML Services Layer,58,ML Ensemble Framework,AI/ML Services Layer,Model Predictions,Sends individual model predictions for ensemble aggregation,"Model outputs, Confidence scores, Prediction metadata",REST API,JSON,Real-time,Unidirectional,API Key,Token-based,High,<50ms,Skip ensemble,Request/Response,PT-009,Real-Time ML Scoring,2025: <100ms latency SLA. Feature Store gRPC. Circuit breaker for fallback.
54,13,4,Credit Risk,58,ML Ensemble Framework,AI/ML Services Layer,59,Model Combination,AI/ML Services Layer,Ensemble Input,Provides framework output for model combination,"Ensemble predictions, Weights, Model contributions",REST API,JSON,Real-time,Unidirectional,API Key,Token-based,High,<20ms,Use best model,Request/Response,PT-009,Real-Time ML Scoring,2025: <100ms latency SLA. Feature Store gRPC. Circuit breaker for fallback.
55,14,4,Credit Risk,59,Model Combination,AI/ML Services Layer,60,Risk Aggregation,Application Services Layer,Combined Predictions,Delivers combined model predictions for risk aggregation,"Blended predictions, Uncertainty estimates, Confidence intervals",REST API,JSON,Real-time,Unidirectional,API Key,Token-based,High,<50ms,Alert on failure,Request/Response,PT-009,Real-Time ML Scoring,2025: <100ms latency SLA. Feature Store gRPC. Circuit breaker for fallback.
56,15,4,Credit Risk,60,Risk Aggregation,Application Services Layer,57,Real-time Analytics,Data & Knowledge Layer,Portfolio Risk,Sends aggregated portfolio risk metrics to analytics,"Total exposure, Risk-weighted assets, Concentration metrics",Event Stream,JSON,Real-time,Unidirectional,TLS 1.3,Service Account,Medium,<200ms,Dead letter queue,Event-Driven,PT-009,Real-Time ML Scoring,2025: <100ms latency SLA. Feature Store gRPC. Circuit breaker for fallback.
57,16,4,Credit Risk,48,Score Calculation,AI/ML Services Layer,61,XAI Framework,AI/ML Services Layer,Explanation Request,Requests explanation for credit score calculation,"Credit score, Input features, Model ID",REST API,JSON,On-demand,Bidirectional,OAuth 2.0,API Key,Medium,<500ms,Return score only,Request/Response,PT-009,Real-Time ML Scoring,2025: <100ms latency SLA. Feature Store gRPC. Circuit breaker for fallback.
58,17,4,Credit Risk,61,XAI Framework,AI/ML Services Layer,62,Model Interpretation,AI/ML Services Layer,Interpretation Analysis,Analyzes model to generate human-understandable explanations,"SHAP values, Feature importance, Decision paths",REST API,JSON,On-demand,Unidirectional,API Key,Token-based,Medium,<1s,Simplified explanation,Request/Response,PT-009,Real-Time ML Scoring,2025: <100ms latency SLA. Feature Store gRPC. Circuit breaker for fallback.
59,18,4,Credit Risk,62,Model Interpretation,AI/ML Services Layer,63,Compliance Reporting,Application Services Layer,Explanation Results,Provides model explanations for compliance reporting,"Explanation text, Feature contributions, Decision rationale",REST API,JSON,On-demand,Unidirectional,API Key,Token-based,Medium,<1s,Log for audit,Request/Response,PT-009,Real-Time ML Scoring,2025: <100ms latency SLA. Feature Store gRPC. Circuit breaker for fallback.
60,1,5,Lending Ops,64,OCR Service,AI/ML Services Layer,65,Document Processing,AI/ML Services Layer,Text Extraction,Extracts text from scanned loan documents,"Raw text, Bounding boxes, Confidence scores",REST API,JSON,Real-time,Unidirectional,API Key,Token-based,High,<2s,Manual review queue,Request/Response,PT-011,Intelligent Document Processing,2025: Multi-modal extraction API. Confidence scoring. Human review queue.
61,2,5,Lending Ops,65,Document Processing,AI/ML Services Layer,66,Text Extraction,AI/ML Services Layer,Document Structure,Identifies document structure and extracts fields,"Structured data, Field values, Document metadata",REST API,JSON,Real-time,Unidirectional,API Key,Token-based,High,<1s,Flag for review,Request/Response,PT-011,Intelligent Document Processing,2025: Multi-modal extraction API. Confidence scoring. Human review queue.
62,3,5,Lending Ops,66,Text Extraction,AI/ML Services Layer,67,NLP Framework,AI/ML Services Layer,Extracted Text,Provides extracted text for NLP processing,"Text content, Document type, Metadata",REST API,JSON,Real-time,Unidirectional,API Key,Token-based,High,<500ms,Pass through,Request/Response,PT-011,Intelligent Document Processing,2025: Multi-modal extraction API. Confidence scoring. Human review queue.
63,4,5,Lending Ops,67,NLP Framework,AI/ML Services Layer,68,Classification Models,AI/ML Services Layer,Classification Request,Requests document classification and entity recognition,"Document text, Context, Classification hints",REST API,JSON,Real-time,Unidirectional,mTLS,Certificate,High,<500ms,Default classification,Request/Response,PT-011,Intelligent Document Processing,2025: Multi-modal extraction API. Confidence scoring. Human review queue.
64,5,5,Lending Ops,68,Classification Models,AI/ML Services Layer,69,NER Service,AI/ML Services Layer,Classification Results,Provides document classification for entity recognition,"Document class, Confidence, Suggested entities",REST API,JSON,Real-time,Unidirectional,API Key,Token-based,High,<300ms,Skip NER,Request/Response,PT-011,Intelligent Document Processing,2025: Multi-modal extraction API. Confidence scoring. Human review queue.
65,6,5,Lending Ops,69,NER Service,AI/ML Services Layer,70,Validation Framework,Application Services Layer,Extracted Entities,Delivers extracted entities for validation,"Names, Dates, Amounts, Addresses, Entity types",REST API,JSON,Real-time,Unidirectional,API Key,Token-based,High,<500ms,Flag for review,Request/Response,PT-011,Intelligent Document Processing,2025: Multi-modal extraction API. Confidence scoring. Human review queue.
66,7,5,Lending Ops,70,Validation Framework,Application Services Layer,71,Data Quality ML,AI/ML Services Layer,Validation Request,Requests ML-based data quality assessment,"Extracted data, Business rules, Validation context",REST API,JSON,Real-time,Bidirectional,API Key,Token-based,High,<1s,Rule-based only,Request/Response,PT-011,Intelligent Document Processing,2025: Multi-modal extraction API. Confidence scoring. Human review queue.
67,8,5,Lending Ops,71,Data Quality ML,AI/ML Services Layer,72,Rule Engine,Application Services Layer,Quality Assessment,Provides data quality scores for rule-based validation,"Quality scores, Issue flags, Confidence levels",REST API,JSON,Real-time,Unidirectional,API Key,Token-based,High,<500ms,Continue processing,Request/Response,PT-011,Intelligent Document Processing,2025: Multi-modal extraction API. Confidence scoring. Human review queue.
68,9,5,Lending Ops,72,Rule Engine,Application Services Layer,73,LLM API,AI/ML Services Layer,Validated Data,Sends validated loan application data for summarization,"Structured loan data, Validation status, Completeness flags",REST API,JSON,On-demand,Unidirectional,OAuth 2.0,Bearer Token,Medium,<1s,Skip summarization,Request/Response,PT-011,Intelligent Document Processing,2025: Multi-modal extraction API. Confidence scoring. Human review queue.
69,10,5,Lending Ops,73,LLM API,AI/ML Services Layer,74,Summarization,AI/ML Services Layer,Summarization Request,Requests document summarization from LLM,"Document content, Summarization instructions, Length limits",REST API,JSON,On-demand,Bidirectional,OAuth 2.0,Bearer Token,Medium,<3s,Template summary,Request/Response,PT-011,Intelligent Document Processing,2025: Multi-modal extraction API. Confidence scoring. Human review queue.
