ID,AI Use Case ,Description (DO NOT CHANGE THIS),Enterprise Architect,Assumed Benefits,Anticipated Value,Likely other slate Initiatives impacted,Platforms impacted/required,Dependencies (what needs to be true for this use case?),Comments / Questions / Assumptions,Assumed Data Inputs,Data Outputs (select),Assumed Data Outputs,,,,
11,Fincrime,"Name screening, OCDD, ECDD and TM narrative writing",Michael Lomas,Reduced investigation time; Improved detection accuracy reducing false positives; Enhanced regulatory compliance and audit readiness; Lower operational costs; Faster filing and response times.,High,"FinCrime
Fraud & Scams","FinCrime & Fraud
Customer Master
Domestic Payments
International Payments
Transaction Switch
Cyber Threat Intelligence, Detection & Response","All the key enterprise data products and enterprise interfaces (not owned by FinCrime & Fraud)
BNZ GenAI capabilities running over enterprise data products etc (not owned by FinCrime & Fraud) in BDH
Fully Productionised AWS Sagemaker","OCDD/ECDD/TM narrative writing covered by BNZ's planned GenAI capability running over enterprise data products/enterprise data interfaces (that we don't own) + Pega's GenAI/AgenticAI capabilities.
Machine Learning using enterprise data products (that we don't own) in AWS Sagemaker
Assumes exiting Accenture AIDT due to low value over BNZ planned capability
Name Screening is a area AI opportunity. Post Sanctions core system upgrade in FY26, a revisit of the whole Sanctions capability will be performed to assess modernisation needs and AI opportunities. These may come from encumbent or new vendors, or point to home grown build (as per ASB for Name Screening).","Customer names, transaction data, sanctions lists, PEP lists, adverse media sources, corporate registries, beneficial ownership data, transaction patterns, geographic risk data, customer due diligence questionnaires, relationship structures",,"Name screening matches, risk scores, OCDD/ECDD reports, transaction monitoring narratives, alert dispositions, SAR filings, customer risk ratings, investigation summaries, compliance documentation, red flag indicators, case recommendations",,,,
12,QA/QC,"Automate data validation, detecting errors, and ensuring compliance with regulatory standards. Prioritizes high-risk cases, generates audit-ready reports, and provides real-time feedback to analysts, reducing manual effort and improving accuracy","Brian Stapleton
Michael Lomas",Reduced manual QA effort; Improved data quality and accuracy; Faster identification of high-risk issues; Enhanced regulatory compliance; Lower operational risk and audit findings.,Medium,tbc,"Process, Worklfow and Workforce Automation
Governance, Operational Risk & Compliance
Regulatory Reporting",,"Need to clarify which QA/QC processes are in scope and across which areas in the organisation, e.g. frontline bankers, banking operations etc
BJS: I actually do not know what QA/QC this is referring to and what the Audit Ready Reports are in this context. Is this related to Internal Audit? Or is this related to Risk via GRACE? 
ML: Indeed, QA/QC is homeless in our PoP model, despite several attempts to home it.","Data sets to validate, business rules, regulatory requirements, historical error patterns, data quality metrics, schema definitions, reference data, audit logs, quality thresholds, analyst work products",,"Validation results, error reports, data quality scores, compliance status indicators, prioritized issue lists, audit-ready reports, corrective action recommendations, real-time feedback alerts, quality trend analysis, exception handling guidance",,,,
13,Fraud Ops,"AI can support case officers y Summarising customer history, Highlighting suspicious patterns, Automatically pulling evidence from multiple systems",Michael Lomas,Reduced fraud investigation time; Prevented fraud losses; Improved detection accuracy; Enhanced case officer productivit; Better customer experience with faster resolution.,High,"FinCrime
Fraud & Scams","FinCrime & Fraud
Customer Master
Domestic Payments
International Payments
Transaction Switch
Core Banking Ledger
C360
Cyber Threat Intelligence, Detection & Response","Successful running of the Fraud Transformation programme - Investigations/Pega will come later in the programme vs day 1
All the key enterprise data products and enterprise interfaces (not owned by FinCrime & Fraud)","This is covered by planned/funded usage of FICO's Enterprise Fraud Service alert/triage capabilities, which is GenAI (and in the future Agentic AI) enabled + Pega's Gen/AgenticAI usage (for investigations). ","Transaction history, customer profiles, account activity, device fingerprints, IP addresses, merchant data, fraud rules, historical fraud cases, behavioral patterns, channel data, geolocation data, contact information",,"Customer history summaries, suspicious pattern highlights, fraud risk scores, evidence packages, case investigation briefs, pattern analysis, anomaly alerts, recommended actions, cross-system correlations, investigation timelines, fraud type classifications",,,,
14,Onboarding,"AI streamlines onboarding by automating ID verification, KYC checks, and risk assessment for faster, safer customer activation",Brett Allport,Reduced onboarding time from days to hours; Improved customer experience and conversion rates; Enhanced compliance with automated checks; Lower operational costs; Reduced abandonment rates.,High,"Digital Modernisation
Onboarding
Enterprise Document Management","Customer Digital
Customer & Party Lifecycle Management
Customer & Party Master
Enterprise Information Management","Fenergo/Fenx, 
Pega Workflow dependencies
Secure Document Exchange (so customer can upload documents that are immediately scanned)
GenAI Auto-Categorisation MicroService (EIM TSA) ","Backoffice verification, not front office onboarding. Ops CDD/KYC

AC: Can this extend to AI checks being adequate for digital onboarding without the need for human oversight? i.e. Customer uploads relevant documents / provides data -> verified -> onboarded

HW: I wonder if this use case is linked to #1, i.e. when a customer uploads documents, they are automatically scanned, tagged, grouped and classified intelligently for faster onboarding.

BA:  Potential Fenergo use-case (non-personal) where they have an AI that can extract data out of a customer provided document to accelerate data entry.  We're currently seeking a product demo.  NOTE: this would only be interrogating foundational documents, not identity documents - this is a capability of our existing BioHub vendors","ID documents (passport/license), proof of address, customer application forms, biometric data, credit bureau reports, sanctions/PEP lists, corporate documents, beneficial ownership data, source of funds documentation, risk questionnaires, payslips... ",,"ID verification results, KYC compliance status, risk assessment scores, customer profiles, onboarding decisions (approve/reject/review), missing information alerts, verification reports, workflow task assignments, audit trails, regulatory reporting data",,,,
15,"Risk functions- Risk Functions - Operational Risk, Market Risk, Liquidity Risk,Model Risk, Compliance Risk Assessment, Tech Risk, Risk Assurance, Enterprise Risk","AI reduces Operational Risk by identifying anomalies, streamlining investigations, and improving the accuracy of risk assessments",GAP,Improved risk detection reducing losses; Faster risk assessment and response times; Enhanced regulatory compliance and capital optimization; Reduced manual effort; Better enterprise-wide risk visibility and management.,High,tbc,"Governance, Op Risk, Compliance
Treasury Risk
Group Credit Risk
Regulatory Reporting",Not enough information to make an informed determination.,,"Loss event data, control test results, market prices, trading positions, liquidity metrics, model performance data, compliance incidents, system vulnerabilities, audit findings, risk registers, exposure data, regulatory requirements",,"Risk metrics and KRIs, anomaly alerts, risk assessment reports, control effectiveness scores, scenario analysis results, risk heat maps, early warning indicators, mitigation recommendations, regulatory reports, model validation results, compliance scorecards",,,,
16,IT Ops - IT Operations  - ,"Evolution of the Ticketing Process and Smart Routing - Incident / Service / Problem  Management, Security , Analytics, Identity and Access Management, Helpdesk, BCM",John Marshall,Reduced mean time to resolution (MTTR); Automated resolution of tickets; Improved SLA compliance and user satisfaction; Lower IT support costs; Better workload distribution and resource optimization.,High,tbc,"IT Asset, Assurance 
& Service Management
Operational Observability",Not enough information to make an informed determination.,,"Incident tickets, service requests, system logs, monitoring alerts, CMDB data, historical resolution data, user feedback, SLA definitions, team availability, skill matrices, knowledge base articles, access requests, BCM scenarios",,"Ticket classification, priority assignments, routing decisions, automated resolutions, similar incident matches, root cause analysis, resolution suggestions, SLA predictions, workload distribution, knowledge article recommendations, access decisions, incident reports",,,,
17,FrontLine - CIB,"GenAI-driven RM solutions provide banks with a competitive edge by deepening banker-customer relationships, thereby optimizing customer interactions, improving engagement, and streamlining service delivery.","Shawn Cawood, Dan Barratt",Increased wallet share with corporate clients; Enhanced deal win rates; Improved relationship manager productivity; Better market intelligence and competitive positioning; Reduced client attrition and increased loyalty.,High,tbc,"Colleague Digital
Conversational Banking
Customer Engagment
Enterprise Information Management 
Money Markets","- Trial and adoption of Salesforce Agentforce, to provide insights into the customer relationship and sales opportunities","HW: I wonder if this use case requires the same capabilities as #1, frontline namely customer information intelligence (but with a difference customer segment?), both appear to require a semantic layer over existing record repos. 
DB: A lot of data needed for C&IB will reside in Customer360, so we can leverage Salesforce AgentForce to support C&IB outcomes","Corporate client profiles, transaction volumes, product usage, financial statements, industry analysis, deal pipelines, market intelligence, relationship hierarchies, communication history, meeting notes, credit facilities",,"Corporate insights, deal opportunities, relationship strategies, market trend analysis, competitive intelligence, risk alerts, product recommendations, client briefing documents, sector reports, pipeline forecasts, engagement plans",,,,
18,Procurement,"Multi-Agent System for the End-to-end Procurement process optimization, from 
planning to goods receipt and invoicing, enhancing operational efficiency and realtime decision-making",Brian Stapleton,Cost savings through optimized sourcing; Reduced procurement cycle time; Improved supplier performance and risk management; Enhanced spend visibility and control; Lower invoice processing costs.,Medium,"Finance Transformation 
Workday Phase 2","Procurement
Finance
People & Culture",Not enough information to make an informed determination.,"BJS: This seems very nebulous. The procurement cycle time is not constrained by system (Coupa) but the processes around it. This will involve majority Coupa and P2P SAP. Supplier Lifecycle work is addressing a number of these processes and streamlining. We also have very limited Coupa support to create these new integrations for data whilst also replacing SAP this year, hence the ability to support this initiative would be very low.  DD&A would need to supply a DevOps team for Coupa to design and build the integrations.  ","Purchase requisitions, supplier catalogs, contracts, pricing data, spend history, supplier performance metrics, inventory levels, invoices, goods receipts, approval workflows, budget allocations, compliance requirements",,"Purchase recommendations, supplier selections, price optimization, contract analysis, spend analytics, invoice matching results, anomaly alerts, approval routing, budget impact analysis, supplier risk scores, process efficiency metrics, payment schedules",,,,
19,Payment disputes,"Automate and orchestrate the end-to-end lifecycle of card payment disputes across 
two recurrent scenarios: Commercial Dispute and Fraud",GAP - normally Paul Gallen,Reduced dispute resolution time; Improved win rates on chargebacks; Enhanced customer satisfaction with faster resolutions; Lower operational costs; Better compliance with card scheme requirements. Customer self-service.,Medium,"P&M New Transaction Switch
P&M Payments Refurb
Fraud & Scams","Card Issuing
FinCrime & Fraud
Domestic Payments
International Payments
Transaction Switch","Card Issuing to (re)visit their plan re the introduction of Pega Smart Dispute
FinCrime & Fraud to understand impact (based on that plan) to onboarding of Pega for Fraud (which disputes are 60% of the time)","The target state solution here is Pega Smart Dispute (which NAB use). It is GenAI enabled, and in the new version, Agentic AI enabled. Originally scheduled for FY27. However desire to revisit that and see if we can reduce regrettable spend in the meantime.","Dispute claims, transaction records, cardholder communications, merchant data, card scheme rules, supporting documentation, chargeback reason codes, historical dispute outcomes, customer account history, fraud indicators",,"Dispute classifications, case routing, validity assessments, evidence gathering instructions, chargeback filings, resolution recommendations, customer communications, merchant notifications, outcome predictions, case status updates, reporting metrics",,,,
20,Controls testing - IT and business,,tbc - not clear what the scope of this actually is,Reduced testing effort; Continuous controls monitoring vs periodic testing; Improved control effectiveness and compliance; Earlier detection of control deficiencies; Lower audit costs and faster audit cycles.,Medium,tbc - not clear what the scope of this actually is,tbc - not clear what the scope of this actually is,Not enough information to make an informed determination.,"Does ""controls"" in this context mean Risk Controls?  If not, then what exactly?  Needs more information","Control frameworks, test procedures, control documentation, system configurations, access logs, transaction samples, previous test results, audit requirements, control matrices, risk assessments, policy documents",,"Test execution results, control effectiveness ratings, deficiency reports, remediation plans, testing schedules, evidence packages, compliance attestations, trend analysis, risk exposure assessments, audit-ready documentation",,,,
21,Wholesale underwriting transformation - CIB,"End-to-end transformation of CIB Risk Underwring process, including: Data Collection 
+ Rating Calculation + Financial Program + Deal Approval + Continuous monitoring.","Shawn Cawood, Lee Mauger",Reduced underwriting time; Improved risk-adjusted pricing and profitability; Enhanced portfolio quality with continuous monitoring; Faster deal turnaround improving competitiveness; Lower credit losses through better risk assessment.,High,tbc,"Money Market
Core Banking Ledger",Not enough information to make an informed determination.,Need more information,"Financial statements, credit applications, industry benchmarks, collateral data, relationship history, market conditions, covenant terms, risk appetite policies, deal structures, regulatory requirements, external ratings",,"Credit ratings, risk assessments, deal recommendations, financial analysis reports, covenant monitoring alerts, approval workflows, pricing guidance, exposure calculations, portfolio impact analysis, continuous monitoring dashboards, credit memos",,,,
22,Learning content production,"AI accelerates content creation by generating lessons, quizzes, and summaries tailored to specific roles and needs",Hugh Walcott,Reduced content creation time; Improved training personalization and effectiveness; Enhanced learning engagement and completion rates; Lower training development costs; Faster time-to-competency for new roles.,Medium,tbc,"Enterprise Information Management (knowledge and IP content)
People & Culture (awards and development tracking)",Knowledge Platform CoE (as per EIM's Knowledge Management target state),"HW: I feel this use case also should include the creation of new knowledge articles, so be focused on ","Subject matter documentation, training materials, competency frameworks, role requirements, learning objectives, existing course content, regulatory training requirements, learner performance data, industry best practices",,"Learning modules, quizzes, assessments, training summaries, interactive content, personalized learning paths, video scripts, infographics, knowledge checks, certification materials, progress tracking content, micro-learning nuggets, knowledge article headings and ",,,,
23,Collection Management,"AI optimises collections by predicting payment likelihood, prioritising accounts, and recommending the best recovery actions",Paul Furkert,Improved recovery rates; Reduced collection costs; Better customer treatment and satisfaction; Optimized collector productivity; Lower write-offs through early intervention and targeted strategies.,Medium,Collections Platform,Collections & Hardship,Not enough information to make an informed determination.,Arrangement hub?,"Delinquent accounts, payment history, customer financial data, contact history, communication preferences, economic indicators, behavioral patterns, collection strategies, account balances, hardship indicators, legal constraints",,"Payment likelihood scores, account prioritization, contact strategy recommendations, optimal contact timing, channel preferences, settlement offer suggestions, recovery action plans, collection workflow assignments, expected recovery amounts, early intervention triggers",,,,
24,Front-end app personalisation,"Use of GenAI in the mobile app to drive hyper personalisation across 3 main areas in 
order to create an ‘Uber’ like experinece:1) automation of process using GenAI to 
determine message and campaign strategy for different micro segements 2) use of GenAI to automate creation of message content, including varients of each message for different subsegments and personas 3) to identify the right images assocuated to each message within the image library, however over time extended to include generation of personalised and bespoke images","Corina Elama 
Sarah Amundsen
Brett Allport",Increased app engagement; Higher product adoption through personalized recommendations; Improved NPS and customer satisfaction scores; Reduced marketing campaign costs; Enhanced brand differentiation with Uber-like experience.,High,"Digital Modernisation
Customer Engagement","Customer Digital
Customer Identity & Access Management
Customer Engagement
Marketing & Campaign Management",CDH,"SA:  all 3 bullets in the description cover the scope of the new MarTech tool - which may or may not employ its integral AI functions (note: a reqt from the RFP is that we can toggle AI features on/off, and design & implementation is for Q2&3 2026); all 3 aspects are covered by the new tool, along with inter-dependencies with CDH of course - whose customer propensity model is already in our landscape so wouldn't presumably comprise 'additional' AI; the MarTech tool will deliver personalised comms (including real time) to a variety of channels, including mobile app.  
SA again: the only aspect that I am aware of where AI workflow support may be required, that is outside the scope for the MarTech/CDH tooling, is email reply management (i.e. directing email replies to appropriate team for action following an outbound email communication triggered by CDH or MarTech).","User profiles, app usage patterns, transaction history, location data, device information, micro-segment definitions, persona characteristics, image library metadata, campaign objectives, content guidelines, A/B test results, user feedback",Unclear at this time,"Message strategies, campaign plans, personalized message content, message variants for sub-segments, image recommendations, generated custom images, UI/UX personalization rules, in-app notifications, dynamic content blocks, engagement predictions",,,,
25,Foundations,An enabler or foundation and crosscutting use case that needs to be delivered to enable AI use cases.,,The use cases cannot be implemented without these foundational dependencies.,High,AI Platform,See slide 10 in https://bnz-my.sharepoint.com/:p:/g/personal/dermot_o'brien_bnz_co_nz/IQABaS_lBDevRLdt6-e0ClyiAR_OPn8r4-x9qTIxoZXhQe0?e=5mqBH1&nav=eyJzSWQiOjIxNDc0ODM2NDUsImNJZCI6Mzg3OTYwMjY0Mn0,"Guardrails specific to New Zealand / BNZ:?
?- NZ data privacy (NZ Privacy Act)
- Data sovereignty (M?ori data principals)
- Human-in-the-loop (BNZ ways of working)
- Energy efficiency (Measure and monitor energy use (kWh) of GenAI workload",,"Resposible AI operation data feeds: 
Social impacts data feeds / AI supply chain
Energy efficiency of AI workloads
Carbon emissions for all AI workloads",,"Model size / cost / value recommendations
Model routing and control
Responsible AI reporting
Agentic AI knowldege base
AI workflow optinisation advice",,,,
