#,Business Capability,Functional Domain,User Goal,Shortlist,Customer Reference,Business Impact,BNZ Alignments
19,Customer Experience,Product Development & Innovation,Product Innovation Research,,"OakNorth (ecosystem banking, innovation)","Automate market analysis, competitive product analysis, regulatory impact assessment","Innovation, competitive positioning, new product development"
14,Operational Efficiency,BI & Analytics,Data-Driven Recommendation Generation,,Syngenta [non-FSI],5% increase in crop yields through personalized seed recommendations and predictive crop growth modeling using multi-agent system aggregating extensive datasets,Multi-agent system for personalized recommendations applicable to wealth management advisory and portfolio optimization
15,Operational Efficiency,BI & Analytics,Investment Analytics,Y,Quantflo (democratizing investment analytics),"Reduce time for complex financial analysis, enable data-driven decisions","Investment decision support, analytical capability enhancement"
16,Operational Efficiency,BI & Analytics,Research & Analysis Agents,Y,Bridgewater Associates (Investment Analyst Assistant),"Generate charts, compute financial indicators, create summaries","Workplace productivity enhancement, data-driven decision making"
17,Operational Efficiency,BI & Analytics,Self-Service Business Intelligence,Y,"Trustly (4x faster insights, 50% cost reduction, 15K questions, 89% accuracy)",Conversational analytics eliminating IT bottlenecks,"Addresses stated ""BI bottlenecks"" challenge, Quick Suite deployment in SYD"
18,Operational Efficiency,BI & Analytics,Workplace Productivity Assistant,,"Principal Financial (50% workload reduction, 97% acceptance rate)","Reduce training time, improve employee productivity, enable self-service","Operational efficiency, knowledge management improvement"
13,Operational Efficiency,Collections & Recovery Operations,Collections Optimization,,"WeLend (lending transformation, risk modeling)","Automate collections workflow, payment arrangement negotiation, default prevention","Operational efficiency, risk mitigation"
10,Operational Efficiency,Financial Reporting & Accounting,Automation of operational finance processes,,Intuit [non-FSI],"Customers paid 5 days faster, 10% higher likelihood of full payment on overdue invoices, processes 95 petabytes of data, 60 billion ML predictions daily using four specialized AI agents","Multi-agent coordination for financial workflows applicable to retail banking collections, payments, and customer financial management"
11,Operational Efficiency,Financial Reporting & Accounting,Financial Close Automation,,Société Générale (risk management transformation),"Accelerate month-end close processes, management reporting generation","Back-office efficiency, finance transformation"
12,Operational Efficiency,Financial Reporting & Accounting,Regulatory Reporting Automation,,FourTwentySeven (ESG climate risk assessment),"Automate Basel, CCAR, call reports, and regulatory compliance reporting","Finance transformation, regulatory compliance (Deposit Takers Act 2025)"
2,Operational Efficiency,SDLC,Code Generation,Y,Nomura (code generation with Llama),"Accelerate development cycles, improve developer productivity","Development velocity improvement, technical capability building"
3,Operational Efficiency,SDLC,Code Transformation,Y,"Thomson Reuters (1.5M lines/month, 4x velocity, 30% cost reduction)",AWS Transform agents for legacy system migration,"Multi-year mainframe modernization program, technical debt reduction"
4,Operational Efficiency,SDLC,Complex Data Query Through Natural Language,Y,AstraZeneca [non-FSI],"Production-ready MVP in 6 months, natural language queries of clinical data, scaling to 1,000+ users in 2025",AI agents navigating complex regulations and querying structured/unstructured data applicable to banking compliance and risk analysis
5,Operational Efficiency,SDLC,Developer Productivity Enhancement,,DTCC (developer productivity),"Improve development efficiency, reduce manual coding effort","Development acceleration, operational efficiency"
6,Operational Efficiency,SDLC,Developer Productivity Suite,Y,"Northwestern Mutual (faster response times, automated basic tasks)",Multi-agent solution with comprehensive development support,"AI-SDLC transformation, developer experience improvement"
7,Operational Efficiency,SDLC,Developer Productivity Tools,Y,"FINRA (code generation, code transformation)","Modernize legacy systems, improve code quality","Regulatory technology modernization, compliance efficiency"
8,Operational Efficiency,SDLC,Development Acceleration,Y,"NAB (41% productivity improvement, 45% code quality enhancement)",AgentCore coding agents automate repetitive debugging tasks,"Supports mainframe modernization journey, improves ""speed"" metric"
9,Operational Efficiency,SDLC,Legacy System Migration,Y,Allianz Germany (legacy migration),"Modernize legacy systems, reduce technical debt","Mainframe modernization, technical debt reduction"
1,Operational Efficiency,Treasury & Trade Finance Operations,Cash Management Automation,,Standard Chartered (ESG and sustainability risk management),"Automate treasury operations, liquidity management, and payment reconciliation","Middle-office automation, operational efficiency"
50,Risk & Compliance,Application Resiliency & Cyber Recovery,Disaster Recovery Orchestration,,"Discover (risk management, cyber event recovery)","Automate incident response, business continuity planning, recovery time optimization","Application resiliency, cyber event recovery (Value Map priority)"
48,Risk & Compliance,Claims & Customer Service,Claims Management,,New York Life (claims management),"Accelerate claims processing, improve accuracy","Operational efficiency, customer satisfaction"
49,Risk & Compliance,Claims & Customer Service,Q&A Chatbot,,Sun Life (Q&A chatbot),"Provide instant answers, improve customer self-service","Customer experience,"
45,Risk & Compliance,Credit & Lending Operations,Credit Decisioning,,Rich Data Co (credit decisioning with virtual assistants),"Improve lending decisions, accelerate approval processes","Credit risk management, operational efficiency"
46,Risk & Compliance,Credit & Lending Operations,Credit Risk Modeling,,"C3.ai ($100M projected revenue, 98% precision, 81% recall, 30% faster approval)","Improve credit assessment accuracy, accelerate approvals","Credit risk management, revenue enablement"
47,Risk & Compliance,Credit & Lending Operations,Private Market Credit Analysis,,S&P Global (private market credit),"Improve credit assessment, accelerate decision-making","Credit risk management, analytical capability"
41,Risk & Compliance,Document Processing & Intelligence,Data Mapping & Transformation,Y,Athene (data mapping automation),"Automate data mappings, reduce manual effort from weeks to minutes","Data modernization, operational efficiency"
42,Risk & Compliance,Document Processing & Intelligence,Document Intelligence,Y,Athene (80-hour process to minutes),Loan application and contract analysis at scale,"Home lending operations, operational efficiency"
43,Risk & Compliance,Document Processing & Intelligence,Earnings Call Summarization,,Bloomberg (earnings call transcript summarization),"Accelerate financial analysis, improve market intelligence","Market intelligence, analytical efficiency"
44,Risk & Compliance,Document Processing & Intelligence,Email Classification,,Travelers (email classification),"Automate email processing, improve response times","Operational efficiency, customer service improvement"
40,Risk & Compliance,ESG & Sustainability,ESG Risk Assessment,,DBS (ESG and sustainability initiatives),"Automate ESG risk evaluation, sustainability reporting, climate risk modeling","BNZ priority domain: ESG geospatial risk assessment, regulatory compliance"
37,Risk & Compliance,Financial Crime & Fraud Detection,FinCrimes Investigation,Y,Robinhood (20% efficiency improvement),Graph database-powered detection with automated case summarization,"Financial crime detection priority domain, AML regulatory requirements"
38,Risk & Compliance,Financial Crime & Fraud Detection,Fraud Pattern Detection,Y,"UK Insurer (10x faster text summarization, 300% more accurate sentiment analysis)",Real-time transaction monitoring with anomaly detection,"Risk mitigation objectives, financial crime prevention"
39,Risk & Compliance,Financial Crime & Fraud Detection,News Sentiment Analysis,,Crypto.com (news sentiment analysis),"Real-time market intelligence, improve trading decisions","Market intelligence, risk management"
33,Risk & Compliance,Regulatory Compliance & Risk,Compliance Investigation,,Verafin (compliance investigation),"Automate compliance workflows, improve investigation efficiency","AML compliance, regulatory requirement fulfillment"
34,Risk & Compliance,Regulatory Compliance & Risk,Document Search & Policy Retrieval,Y,Bank United (document search with Kendra),"Improve policy access, reduce search time, enhance compliance","Regulatory compliance, operational efficiency"
35,Risk & Compliance,Regulatory Compliance & Risk,Policy Document Search,,SBI Life Insurance (document search with Kendra),"Improve policy information access, enhance customer service","Customer experience, operational efficiency"
36,Risk & Compliance,Regulatory Compliance & Risk,Trading Rules Q&A,,NYSE (trading rules document Q&A),"Improve regulatory compliance, accelerate rule interpretation","Regulatory compliance, operational efficiency"
32,Risk & Compliance,Wealth Management & Investment Services,Portfolio Management Assistant,Y,Rich Data Co (credit decisioning with virtual assistants for portfolio analysis),"Assist portfolio managers in analyzing lending portfolios, investment recommendations","Investment decision support, analytical capability enhancement"
