Issue Key,Summary,Issue Type,Parent,Epic Link,Duration (Days),Start Date,End Date,Predecessors,Assignee/Team,Priority,Status,Labels,Components,Story Points,Pattern Dependencies,ABB Dependencies,Use Cases Enabled,Description
W1-F007,PII Detection & Masking Service,Story,W1-PI1-E2,W1-PI1-E2,20,2025-02-03,2025-02-22,W1-F006,Platform Services,Highest,To Do,wave-1 security pii,Platform Services,13,PT-018,AB-114,,Data protection compliance
W1-F008,Secrets Management,Story,W1-PI1-E2,W1-PI1-E2,15,2025-02-10,2025-02-24,W1-F006,Platform Services,High,To Do,wave-1 security secrets,Platform Services,8,PT-018,AB-116,,Credential management
W1-F009,Security Audit Logging,Story,W1-PI1-E2,W1-PI1-E2,15,2025-02-24,2025-03-10,W1-F008,Platform Services,High,To Do,wave-1 security audit,Platform Services,8,PT-018,AB-116,,Security event tracking
W1-PI1-E3,EPIC: Observability Platform,Epic,W1-PI1,,45,2025-01-27,2025-03-12,,Platform Services,Highest,To Do,wave-1 observability,Platform Services,,PT-017,,,Central monitoring and observability infrastructure
W1-F010,Observability Platform (Metrics/Logs/Traces),Story,W1-PI1-E3,W1-PI1-E3,25,2025-01-27,2025-02-20,,Platform Services,Highest,To Do,wave-1 observability monitoring,Platform Services,13,PT-017,AB-096,,Central observability infrastructure
W1-F011,Data Drift Detection Framework,Story,W1-PI1-E3,W1-PI1-E3,20,2025-02-10,2025-03-01,W1-F010,Platform Services,High,To Do,wave-1 observability drift,Platform Services,13,PT-017,AB-097,,Model quality monitoring
W1-F012,Cost Monitoring & Attribution,Story,W1-PI1-E3,W1-PI1-E3,15,2025-02-24,2025-03-12,W1-F010,Platform Services,Medium,To Do,wave-1 observability finops,Platform Services,8,PT-017,"AB-067, AB-100",,FinOps for AI
W1-PI1-M1,MILESTONE: Governance Foundation Complete,Milestone,W1-PI1,,0,2025-03-21,2025-03-21,"W1-F005, W1-F009, W1-F012",All ARTs,Highest,To Do,wave-1 milestone,AI Platform,0,,,,PI-1 Complete - Governance operational
W1-PI2,Program Increment 2 (PI-2),Initiative,W1,,75,2025-03-24,2025-06-13,,All ARTs,Highest,To Do,wave-1 pi-2 Q3-FY25,AI Platform,,,,,Q3 FY25 - GenAI Foundation
W1-PI2-E4,EPIC: GenAI Foundation,Epic,W1-PI2,,55,2025-03-24,2025-05-16,,Knowledge Services,Highest,To Do,wave-1 genai llm,Knowledge Services,,PT-005,,,LLM and RAG foundation services
W1-F013,LLM Service Deployment,Story,W1-PI2-E4,W1-PI2-E4,25,2025-03-24,2025-04-17,W1-PI1-M1,Knowledge Services,Highest,To Do,wave-1 genai llm critical,Knowledge Services,13,PT-005,AB-050,,Foundation for all GenAI - required by 24/24 use cases
W1-F014,Vector Database Implementation,Story,W1-PI2-E4,W1-PI2-E4,25,2025-03-31,2025-04-24,W1-PI1-M1,Knowledge Services,Highest,To Do,wave-1 genai vector critical,Knowledge Services,13,PT-005,AB-051,,After Vector DB selection decision - required by 18/24 use cases
W1-F015,Semantic Search Engine,Story,W1-PI2-E4,W1-PI2-E4,20,2025-04-17,2025-05-06,W1-F014,Knowledge Services,Highest,To Do,wave-1 genai search,Knowledge Services,13,PT-005,AB-052,,RAG retrieval capability
W1-F016,NLG Engine,Story,W1-PI2-E4,W1-PI2-E4,15,2025-04-24,2025-05-08,W1-F013,Knowledge Services,High,To Do,wave-1 genai nlg,Knowledge Services,8,PT-005,AB-094,,Text generation - required by 17/24 use cases
W1-F017,NLP Extraction Engine,Story,W1-PI2-E4,W1-PI2-E4,15,2025-05-01,2025-05-16,W1-F016,Knowledge Services,High,To Do,wave-1 genai nlp,Knowledge Services,8,PT-005,AB-095,,Entity/intent extraction - required by 11/24 use cases
W1-PI2-E5,EPIC: Data Infrastructure,Epic,W1-PI2,,50,2025-03-31,2025-05-19,,Knowledge Services,Highest,To Do,wave-1 data,Knowledge Services,,PT-003,,,Feature store and data platform
W1-F018,Data Lake Integration,Story,W1-PI2-E5,W1-PI2-E5,20,2025-03-31,2025-04-19,W1-PI1-M1,Knowledge Services,High,To Do,wave-1 data lake,Knowledge Services,13,PT-003,AB-038,,Enterprise data access
W1-F019,Feature Store Foundation (Offline),Story,W1-PI2-E5,W1-PI2-E5,25,2025-04-10,2025-05-04,W1-F018,Knowledge Services,Highest,To Do,wave-1 data features critical,Knowledge Services,13,PT-003,AB-049,,Batch feature serving - required by 14/24 use cases
W1-F020,Feature Store Foundation (Online),Story,W1-PI2-E5,W1-PI2-E5,20,2025-04-24,2025-05-13,W1-F019,Knowledge Services,Highest,To Do,wave-1 data features realtime,Knowledge Services,13,PT-003,AB-047,,Real-time feature serving
W1-F021,Data Quality Monitoring,Story,W1-PI2-E5,W1-PI2-E5,15,2025-05-01,2025-05-19,W1-F019,Knowledge Services,High,To Do,wave-1 data quality,Knowledge Services,8,PT-003,AB-104,,Data quality assurance
W1-PI2-E6,EPIC: Event Infrastructure,Epic,W1-PI2,,40,2025-04-07,2025-05-16,,Platform Services,High,To Do,wave-1 events,Platform Services,,"PT-015, PT-016",,,Event streaming and real-time processing
W1-F022,Event Broker Deployment,Story,W1-PI2-E6,W1-PI2-E6,20,2025-04-07,2025-04-26,W1-PI1-M1,Platform Services,High,To Do,wave-1 events broker,Platform Services,13,PT-015,AB-074,,Event streaming foundation
W1-F023,Stream Processing Engine,Story,W1-PI2-E6,W1-PI2-E6,25,2025-04-21,2025-05-16,W1-F022,Platform Services,High,To Do,wave-1 events stream,Platform Services,13,PT-016,AB-075,,Real-time processing - required by 12/24 use cases
W1-PI2-E7,EPIC: Core Inference,Epic,W1-PI2,,45,2025-04-14,2025-05-28,,Model Services,Highest,To Do,wave-1 inference,Model Services,,PT-002,,,Model serving and inference infrastructure
W1-F024,Inference Engine,Story,W1-PI2-E7,W1-PI2-E7,25,2025-04-14,2025-05-08,W1-F013,Model Services,Highest,To Do,wave-1 inference engine critical,Model Services,13,PT-002,AB-072,,Model serving - required by 18/24 use cases
W1-F025,Agent Orchestrator,Story,W1-PI2-E7,W1-PI2-E7,25,2025-04-21,2025-05-15,W1-F013,Agent Services,Highest,To Do,wave-1 inference agent critical,Agent Services,13,PT-007,AB-001,,Agent coordination - required by 14/24 use cases
W1-F026,Model Registry,Story,W1-PI2-E7,W1-PI2-E7,20,2025-04-28,2025-05-17,W1-F024,Model Services,High,To Do,wave-1 inference registry,Model Services,13,PT-002,AB-086,,Model versioning
W1-F027,ML Training Pipeline Framework,Story,W1-PI2-E7,W1-PI2-E7,20,2025-05-05,2025-05-28,W1-F026,Model Services,High,To Do,wave-1 inference training,Model Services,13,PT-002,AB-085,,Training automation
W1-PI2-E8,EPIC: MLOps Foundation,Epic,W1-PI2,,35,2025-05-05,2025-06-09,,Model Services,High,To Do,wave-1 mlops,Model Services,,PT-002,,,ML operations and deployment automation
W1-F028,Model Testing Framework,Story,W1-PI2-E8,W1-PI2-E8,20,2025-05-05,2025-05-24,W1-F026,Model Services,High,To Do,wave-1 mlops testing,Model Services,13,PT-002,AB-087,,Automated model testing
W1-F029,Model Deployment Orchestrator,Story,W1-PI2-E8,W1-PI2-E8,20,2025-05-12,2025-05-31,W1-F028,Model Services,High,To Do,wave-1 mlops deploy,Model Services,13,PT-002,AB-088,,CI/CD for models
W1-F030,Model Monitoring Platform,Story,W1-PI2-E8,W1-PI2-E8,15,2025-05-19,2025-06-09,W1-F028,Model Services,High,To Do,wave-1 mlops monitoring,Model Services,8,PT-002,AB-089,,Production monitoring
W1-PI2-M2,MILESTONE: GenAI Platform MVP,Milestone,W1-PI2,,0,2025-05-16,2025-05-16,"W1-F015, W1-F017, W1-F020",All ARTs,Highest,To Do,wave-1 milestone,AI Platform,0,,,,LLM and Vector DB and Features operational
W1-PI2-M3,MILESTONE: Wave 1 Foundation Complete,Milestone,W1,,0,2025-06-13,2025-06-13,"W1-F027, W1-F030, W1-F023",All ARTs,Highest,To Do,wave-1 milestone critical Q3-FY25,AI Platform,0,,,,All foundation ABBs production-ready - End Q3 FY25
W2,WAVE 2: PRODUCTION ENABLEMENT,Initiative,,,,2025-06-16,2025-12-12,W1-PI2-M3,All ARTs,Highest,To Do,wave-2 production Q4-FY25 Q1-FY26,AI Platform,,,,,First use case deployments. Timeline: Jun-Dec 2025 (Q4 FY25 - Q1 FY26)
W2-PI3,Program Increment 3 (PI-3),Initiative,W2,,90,2025-06-16,2025-09-12,,All ARTs,Highest,To Do,wave-2 pi-3 Q4-FY25,AI Platform,,,,,Q4 FY25 - First Use Cases
W2-PI3-E9,EPIC: Conversational AI Capability,Epic,W2-PI3,,45,2025-06-16,2025-07-30,,Agent Services,High,To Do,wave-2 conversational,Agent Services,,PT-013,,,Conversational AI components for contact centre and chatbots
W2-F031,Conversation State Manager,Story,W2-PI3-E9,W2-PI3-E9,20,2025-06-16,2025-07-05,W1-PI2-M3,Agent Services,High,To Do,wave-2 conversational state,Agent Services,13,PT-013,AB-029,"UC-007, UC-003, UC-006",Conversation context management
W2-F032,Intent Classifier,Story,W2-PI3-E9,W2-PI3-E9,15,2025-06-23,2025-07-07,W2-F031,Agent Services,High,To Do,wave-2 conversational intent,Agent Services,8,PT-013,AB-030,"UC-007, UC-005, UC-014",Intent recognition
W2-F033,Response Generator,Story,W2-PI3-E9,W2-PI3-E9,15,2025-06-30,2025-07-14,W2-F031,Agent Services,High,To Do,wave-2 conversational response,Agent Services,8,PT-013,AB-031,"UC-007, UC-003",Response generation
W2-F034,Sentiment Analyzer,Story,W2-PI3-E9,W2-PI3-E9,10,2025-07-07,2025-07-16,W2-F031,Agent Services,Medium,To Do,wave-2 conversational sentiment,Agent Services,5,PT-013,AB-033,UC-007,Sentiment detection
W2-F035,Handoff Logic Engine,Story,W2-PI3-E9,W2-PI3-E9,15,2025-07-14,2025-07-30,W2-F034,Agent Services,Medium,To Do,wave-2 conversational handoff,Agent Services,8,PT-013,AB-032,"UC-007, UC-017",Agent-to-human handoff
W2-PI3-E10,EPIC: Intelligent Document Processing,Epic,W2-PI3,,50,2025-06-23,2025-08-11,,Knowledge Services,High,To Do,wave-2 idp,Knowledge Services,,PT-011,,,Document processing and extraction capabilities
W2-F036,Document Classification Engine,Story,W2-PI3-E10,W2-PI3-E10,20,2025-06-23,2025-07-12,W1-PI2-M3,Knowledge Services,High,To Do,wave-2 idp classification,Knowledge Services,13,PT-011,AB-040,"UC-005, UC-014, UC-018",Document type detection
W2-F037,OCR Engine,Story,W2-PI3-E10,W2-PI3-E10,15,2025-06-30,2025-07-14,W1-PI2-M3,Knowledge Services,High,To Do,wave-2 idp ocr,Knowledge Services,8,PT-011,AB-041,"UC-005, UC-014, UC-018, UC-019",Optical character recognition
W2-F038,Document Forensics Engine,Story,W2-PI3-E10,W2-PI3-E10,15,2025-07-10,2025-07-24,W2-F036,Knowledge Services,High,To Do,wave-2 idp forensics,Knowledge Services,8,PT-011,AB-042,"UC-014, UC-005",Document authenticity verification
W2-F039,Document Processing Pipeline,Story,W2-PI3-E10,W2-PI3-E10,20,2025-07-17,2025-08-05,W2-F037,Knowledge Services,High,To Do,wave-2 idp pipeline,Knowledge Services,13,PT-011,AB-057,"UC-005, UC-014, UC-018",End-to-end document processing
W2-F040,Validation Engine,Story,W2-PI3-E10,W2-PI3-E10,15,2025-07-24,2025-08-11,"W2-F038, W2-F039",Knowledge Services,High,To Do,wave-2 idp validation,Knowledge Services,8,PT-011,AB-127,"UC-002, UC-005",Document validation rules
W2-PI3-UC1,USE CASE: UC-010 SDLC,Epic,W2-PI3,,40,2025-07-01,2025-08-14,W1-PI2-M3,Agent Services,High,To Do,wave-2 use-case uc-010,Agent Services,,"PT-005, PT-007",,UC-010,Developer productivity - lowest risk first use case
W2-UC010-1,UC-010 Requirements & Design,Story,W2-PI3-UC1,W2-PI3-UC1,10,2025-07-01,2025-07-12,W1-PI2-M3,Agent Services,High,To Do,wave-2 use-case uc-010,Agent Services,5,,,UC-010,Requirements and design phase
W2-UC010-2,UC-010 Development & Integration,Story,W2-PI3-UC1,W2-PI3-UC1,20,2025-07-14,2025-08-02,W2-UC010-1,Agent Services,High,To Do,wave-2 use-case uc-010,Agent Services,13,,,UC-010,Development and integration phase
W2-UC010-3,UC-010 Testing & Deployment,Story,W2-PI3-UC1,W2-PI3-UC1,10,2025-08-04,2025-08-14,W2-UC010-2,Agent Services,High,To Do,wave-2 use-case uc-010,Agent Services,5,,,UC-010,Testing and deployment phase
W2-PI3-UC2,USE CASE: UC-007 Contact Centre,Epic,W2-PI3,,50,2025-07-17,2025-09-05,"W2-F033, W2-F034",Agent Services,Highest,To Do,wave-2 use-case uc-007 critical,Agent Services,,"PT-005, PT-013",,UC-007,High volume - validates conversational AI pattern
W2-UC007-1,UC-007 Requirements & Design,Story,W2-PI3-UC2,W2-PI3-UC2,10,2025-07-17,2025-07-28,W2-F033,Agent Services,Highest,To Do,wave-2 use-case uc-007,Agent Services,5,,,UC-007,Requirements and design phase
W2-UC007-2,UC-007 Development & Integration,Story,W2-PI3-UC2,W2-PI3-UC2,25,2025-07-29,2025-08-22,W2-UC007-1,Agent Services,Highest,To Do,wave-2 use-case uc-007,Agent Services,13,,,UC-007,Development and integration phase
W2-UC007-3,UC-007 Testing & Deployment,Story,W2-PI3-UC2,W2-PI3-UC2,10,2025-08-25,2025-09-05,W2-UC007-2,Agent Services,Highest,To Do,wave-2 use-case uc-007,Agent Services,5,,,UC-007,Testing and deployment phase
W2-PI3-M4,MILESTONE: First Use Cases Live,Milestone,W2-PI3,,0,2025-09-12,2025-09-12,"W2-PI3-UC1, W2-PI3-UC2",All ARTs,Highest,To Do,wave-2 milestone Q4-FY25,AI Platform,0,,"UC-010, UC-007",UC-010 and UC-007 in production - End Q4 FY25
W2-PI4,Program Increment 4 (PI-4),Initiative,W2,,90,2025-09-15,2025-12-12,,All ARTs,Highest,To Do,wave-2 pi-4 Q1-FY26,AI Platform,,,,,Q1 FY26 - Scale to 8 Use Cases
W2-PI4-E11,EPIC: ML Scoring & Explainability,Epic,W2-PI4,,45,2025-09-15,2025-10-29,,Model Services,High,To Do,wave-2 ml-scoring,Model Services,,"PT-004, PT-009",,,ML model scoring and explainability capabilities
W2-F041,Online Feature Store Enhancement,Story,W2-PI4-E11,W2-PI4-E11,20,2025-09-15,2025-10-04,W2-PI3-M4,Model Services,High,To Do,wave-2 ml-scoring features,Model Services,13,PT-009,AB-047,"UC-004, UC-006, UC-013",Real-time feature serving enhancement
W2-F042,ML Model Explainability Engine,Story,W2-PI4-E11,W2-PI4-E11,25,2025-09-22,2025-10-16,W2-PI3-M4,Model Services,Highest,To Do,wave-2 ml-scoring explainability critical,Model Services,13,PT-004,AB-063,"UC-004, UC-021, UC-006",Model decision explanation
W2-F043,Model Router,Story,W2-PI4-E11,W2-PI4-E11,15,2025-10-06,2025-10-20,W2-F041,Model Services,High,To Do,wave-2 ml-scoring router,Model Services,8,PT-006,AB-108,"UC-004, UC-006, UC-024",Multi-model routing
W2-F044,Explanation Visualization Layer,Story,W2-PI4-E11,W2-PI4-E11,15,2025-10-13,2025-10-27,W2-F042,Model Services,Medium,To Do,wave-2 ml-scoring viz,Model Services,8,PT-004,AB-128,UC-004,Explanation visualization
W2-F045,Model Fallback Logic,Story,W2-PI4-E11,W2-PI4-E11,10,2025-10-20,2025-10-29,W2-F043,Model Services,Medium,To Do,wave-2 ml-scoring fallback,Model Services,5,PT-009,AB-083,,Model resilience and fallback
W2-PI4-UC3,USE CASE: UC-005 Lending Ops,Epic,W2-PI4,,50,2025-09-15,2025-11-03,W2-F040,Agent Services,High,To Do,wave-2 use-case uc-005,Agent Services,,"PT-005, PT-011",,UC-005,Cost reduction - validates IDP pattern
W2-UC005-1,UC-005 Requirements & Design,Story,W2-PI4-UC3,W2-PI4-UC3,10,2025-09-15,2025-09-26,W2-F040,Agent Services,High,To Do,wave-2 use-case uc-005,Agent Services,5,,,UC-005,Requirements and design phase
W2-UC005-2,UC-005 Development & Integration,Story,W2-PI4-UC3,W2-PI4-UC3,25,2025-09-29,2025-10-23,W2-UC005-1,Agent Services,High,To Do,wave-2 use-case uc-005,Agent Services,13,,,UC-005,Development and integration phase
W2-UC005-3,UC-005 Testing & Deployment,Story,W2-PI4-UC3,W2-PI4-UC3,10,2025-10-24,2025-11-03,W2-UC005-2,Agent Services,High,To Do,wave-2 use-case uc-005,Agent Services,5,,,UC-005,Testing and deployment phase
W2-PI4-UC4,USE CASE: UC-004 Credit Risk,Epic,W2-PI4,,55,2025-09-29,2025-11-21,W2-F042,Model Services,Highest,To Do,wave-2 use-case uc-004 regulatory,Model Services,,"PT-003, PT-004, PT-009",,UC-004,Regulatory priority - validates explainability pattern
W2-UC004-1,UC-004 Requirements & Design,Story,W2-PI4-UC4,W2-PI4-UC4,10,2025-09-29,2025-10-10,W2-F042,Model Services,Highest,To Do,wave-2 use-case uc-004,Model Services,5,,,UC-004,Requirements and design phase
W2-UC004-2,UC-004 Development & Integration,Story,W2-PI4-UC4,W2-PI4-UC4,30,2025-10-13,2025-11-11,W2-UC004-1,Model Services,Highest,To Do,wave-2 use-case uc-004,Model Services,21,,,UC-004,Development and integration phase
W2-UC004-3,UC-004 Testing & Deployment,Story,W2-PI4-UC4,W2-PI4-UC4,10,2025-11-12,2025-11-21,W2-UC004-2,Model Services,Highest,To Do,wave-2 use-case uc-004,Model Services,5,,,UC-004,Testing and deployment phase
W2-PI4-UC5,USE CASE: UC-014 Onboarding,Epic,W2-PI4,,45,2025-09-22,2025-11-05,W2-F039,Agent Services,High,To Do,wave-2 use-case uc-014,Agent Services,,"PT-007, PT-011, PT-013",,UC-014,Customer experience - reuses IDP pattern
W2-UC014-1,UC-014 Requirements & Design,Story,W2-PI4-UC5,W2-PI4-UC5,10,2025-09-22,2025-10-03,W2-F039,Agent Services,High,To Do,wave-2 use-case uc-014,Agent Services,5,,,UC-014,Requirements and design phase
W2-UC014-2,UC-014 Development & Integration,Story,W2-PI4-UC5,W2-PI4-UC5,25,2025-10-06,2025-10-30,W2-UC014-1,Agent Services,High,To Do,wave-2 use-case uc-014,Agent Services,13,,,UC-014,Development and integration phase
W2-UC014-3,UC-014 Testing & Deployment,Story,W2-PI4-UC5,W2-PI4-UC5,7,2025-10-31,2025-11-05,W2-UC014-2,Agent Services,High,To Do,wave-2 use-case uc-014,Agent Services,3,,,UC-014,Testing and deployment phase
W2-PI4-UC6,USE CASE: UC-011 Fincrime,Epic,W2-PI4,,50,2025-10-13,2025-12-01,W1-F023,Model Services,Highest,To Do,wave-2 use-case uc-011 regulatory,Model Services,,"PT-007, PT-015, PT-016",,UC-011,Regulatory compliance - AML/Fincrime detection
W2-UC011-1,UC-011 Requirements & Design,Story,W2-PI4-UC6,W2-PI4-UC6,10,2025-10-13,2025-10-24,W1-F023,Model Services,Highest,To Do,wave-2 use-case uc-011,Model Services,5,,,UC-011,Requirements and design phase
W2-UC011-2,UC-011 Development & Integration,Story,W2-PI4-UC6,W2-PI4-UC6,25,2025-10-27,2025-11-20,W2-UC011-1,Model Services,Highest,To Do,wave-2 use-case uc-011,Model Services,13,,,UC-011,Development and integration phase
W2-UC011-3,UC-011 Testing & Deployment,Story,W2-PI4-UC6,W2-PI4-UC6,10,2025-11-21,2025-12-01,W2-UC011-2,Model Services,Highest,To Do,wave-2 use-case uc-011,Model Services,5,,,UC-011,Testing and deployment phase
W2-PI4-UC7,USE CASE: UC-001 Partnership Banking,Epic,W2-PI4,,55,2025-10-20,2025-12-12,"W2-F035, W2-F043",Agent Services,Highest,To Do,wave-2 use-case uc-001 flagship,Agent Services,,"PT-005, PT-006, PT-007",,UC-001,Revenue growth flagship use case
W2-UC001-1,UC-001 Requirements & Design,Story,W2-PI4-UC7,W2-PI4-UC7,10,2025-10-20,2025-10-31,W2-F043,Agent Services,Highest,To Do,wave-2 use-case uc-001,Agent Services,5,,,UC-001,Requirements and design phase
W2-UC001-2,UC-001 Development & Integration,Story,W2-PI4-UC7,W2-PI4-UC7,30,2025-11-03,2025-12-02,W2-UC001-1,Agent Services,Highest,To Do,wave-2 use-case uc-001,Agent Services,21,,,UC-001,Development and integration phase
W2-UC001-3,UC-001 Testing & Deployment,Story,W2-PI4-UC7,W2-PI4-UC7,10,2025-12-03,2025-12-12,W2-UC001-2,Agent Services,Highest,To Do,wave-2 use-case uc-001,Agent Services,5,,,UC-001,Testing and deployment phase
W2-PI4-UC8,USE CASE: UC-006 HyperPersonalization,Epic,W2-PI4,,50,2025-10-27,2025-12-12,W2-F043,Model Services,High,To Do,wave-2 use-case uc-006,Model Services,,"PT-003, PT-009, PT-010",,UC-006,Revenue growth - personalization engine
W2-UC006-1,UC-006 Requirements & Design,Story,W2-PI4-UC8,W2-PI4-UC8,10,2025-10-27,2025-11-07,W2-F043,Model Services,High,To Do,wave-2 use-case uc-006,Model Services,5,,,UC-006,Requirements and design phase
W2-UC006-2,UC-006 Development & Integration,Story,W2-PI4-UC8,W2-PI4-UC8,25,2025-11-10,2025-12-04,W2-UC006-1,Model Services,High,To Do,wave-2 use-case uc-006,Model Services,13,,,UC-006,Development and integration phase
W2-UC006-3,UC-006 Testing & Deployment,Story,W2-PI4-UC8,W2-PI4-UC8,8,2025-12-05,2025-12-12,W2-UC006-2,Model Services,High,To Do,wave-2 use-case uc-006,Model Services,5,,,UC-006,Testing and deployment phase
W2-PI4-M5,MILESTONE: Wave 2 Complete,Milestone,W2,,0,2025-12-12,2025-12-12,"W2-PI4-UC6, W2-PI4-UC7, W2-PI4-UC8",All ARTs,Highest,To Do,wave-2 milestone critical Q1-FY26,AI Platform,0,,"UC-001, UC-004, UC-005, UC-006, UC-007, UC-010, UC-011, UC-014",8 use cases in production - End Q1 FY26
W3,WAVE 3: ENTERPRISE SCALE,Initiative,,,,2025-12-15,2026-06-12,W2-PI4-M5,All ARTs,High,To Do,wave-3 scale Q2-FY26 Q3-FY26,AI Platform,,,,,Remaining 16 use cases with 2x velocity. Timeline: Dec 2025 - Jun 2026 (Q2-Q3 FY26)
W3-PI5,Program Increment 5 (PI-5),Initiative,W3,,90,2025-12-15,2026-03-13,,All ARTs,High,To Do,wave-3 pi-5 Q2-FY26,AI Platform,,,,,Q2 FY26 - Scale Phase 1
W3-PI5-E12,EPIC: Advanced Agent Capabilities,Epic,W3-PI5,,50,2025-12-15,2026-02-02,,Agent Services,High,To Do,wave-3 agents,Agent Services,,"PT-007, PT-008",,,Multi-agent and advanced agent capabilities
W3-F046,Multi-Agent Communication Bus,Story,W3-PI5-E12,W3-PI5-E12,20,2025-12-15,2026-01-03,W2-PI4-M5,Agent Services,High,To Do,wave-3 agents multi,Agent Services,13,PT-008,AB-007,,Multi-agent coordination
W3-F047,Agent Memory System,Story,W3-PI5-E12,W3-PI5-E12,15,2025-12-22,2026-01-05,W3-F046,Agent Services,High,To Do,wave-3 agents memory,Agent Services,8,PT-021,AB-003,,Persistent agent context
W3-F048,Tool Registry Enhancement,Story,W3-PI5-E12,W3-PI5-E12,15,2025-12-29,2026-01-14,W3-F046,Agent Services,Medium,To Do,wave-3 agents tools,Agent Services,8,PT-007,AB-002,,Extended tool capabilities
W3-F049,Human-in-the-Loop Gateway,Story,W3-PI5-E12,W3-PI5-E12,15,2026-01-08,2026-01-22,W3-F047,Agent Services,High,To Do,wave-3 agents hitl,Agent Services,8,PT-007,AB-008,,Human oversight workflows
W3-F050,Conversation Summarizer,Story,W3-PI5-E12,W3-PI5-E12,10,2026-01-15,2026-01-26,W3-F047,Agent Services,Medium,To Do,wave-3 agents summarizer,Agent Services,5,PT-013,AB-035,"UC-001, UC-007",Conversation summarization
W3-PI5-E13,EPIC: Advanced ML Capabilities,Epic,W3-PI5,,45,2025-12-22,2026-02-02,,Model Services,High,To Do,wave-3 ml-advanced,Model Services,,"PT-010, PT-004",,,Champion-challenger and bias detection
W3-F051,Champion-Challenger Framework,Story,W3-PI5-E13,W3-PI5-E13,25,2025-12-22,2026-01-15,W2-PI4-M5,Model Services,High,To Do,wave-3 ml-advanced champion,Model Services,13,PT-010,"AB-025, AB-026","UC-004, UC-006",A/B testing for models
W3-F052,Traffic Splitter,Story,W3-PI5-E13,W3-PI5-E13,15,2026-01-02,2026-01-16,W3-F051,Model Services,Medium,To Do,wave-3 ml-advanced traffic,Model Services,8,PT-010,AB-025,,A/B testing traffic routing
W3-F053,Bias Detection Framework,Story,W3-PI5-E13,W3-PI5-E13,20,2026-01-08,2026-01-27,W3-F051,Model Services,High,To Do,wave-3 ml-advanced bias,Model Services,13,PT-004,AB-069,"UC-004, UC-021",Model fairness monitoring
W3-F054,Automated Retraining Trigger,Story,W3-PI5-E13,W3-PI5-E13,15,2026-01-22,2026-02-02,W3-F053,Model Services,Medium,To Do,wave-3 ml-advanced retrain,Model Services,8,PT-002,AB-106,"UC-013, UC-023",Automated model retraining
W3-PI5-UC9,USE CASE: UC-013 Fraud Ops,Epic,W3-PI5,,40,2025-12-22,2026-01-30,W3-F054,Model Services,Highest,To Do,wave-3 use-case uc-013 risk,Model Services,,"PT-007, PT-008, PT-016",,UC-013,Risk reduction - 2x velocity through pattern reuse
