ID,AI Use Case ,Description (DO NOT CHANGE THIS),Improved Description,Ambiguous / Need More Information,Enterprise Architect,FTE ,,Category,Anticipated Benefits,Anticipated Value,AI Solution Assumption (See other columns for dependencies including interfaces and data needs),Likely other slate Initiatives impacted,Platforms impacted/required,Dependencies,Comments / Questions,AI Type (select),Infrastructure Needs (select),Data Inputs (select),Indicative Data Inputs (description),Data Outputs (select),Indicative Data Outputs (description),Integration Complexity (select),Deployment Pattern (select),Volume/Scale (select),Licensing Model (select),Maturity/Risk (select),Governance Requirements (select),Desirability? (select),"Viability? 
(Is this doable? Select)","Feasibility? (descriptive)
(How easily can we do it given what we know?)",,,,
11,Fincrime,"Name screening, OCDD, ECDD and TM narrative writing","AI-powered AML/KYC platform that automates name screening, generates due diligence narratives, and detects suspicious patterns using advanced ML—reducing investigation time, improving accuracy, and ensuring regulatory compliance.",No,Michael Lomas,,,Compliance & Financial Crime,Reduced investigation time; Improved detection accuracy reducing false positives; Enhanced regulatory compliance and audit readiness; Lower operational costs; Faster filing and response times.,High,"AI-powered Anti-Money Laundering (AML) / Know Your Customer (KYC) platform with: 1) Advanced name matching algorithms using fuzzy logic and ML, 2) NLP for adverse media screening and analysis, 3) GenAI for Ongoing Customer Due Diligence (OCDD) / Enhanced Customer Due Diligence (ECDD) narrative generation and Suspicious Activity Report (SAR) writing, 4) ML models for transaction monitoring and pattern detection, 5) Network analysis for beneficial ownership mapping, 6) Risk scoring models using ensemble learning, 7) Integration with sanctions databases and regulatory reporting systems.","FinCrime
Fraud & Scams","FinCrime & Fraud
Customer Master
Domestic Payments
International Payments
Transaction Switch",,,,,,"Customer names, transaction data, sanctions lists, PEP lists, adverse media sources, corporate registries, beneficial ownership data, transaction patterns, geographic risk data, customer due diligence questionnaires, relationship structures",,"Name screening matches, risk scores, OCDD/ECDD reports, transaction monitoring narratives, alert dispositions, SAR filings, customer risk ratings, investigation summaries, compliance documentation, red flag indicators, case recommendations",,,,,,,,,,,,,
12,QA/QC,"Automate data validation, detecting errors, and ensuring compliance with regulatory standards. Prioritizes high-risk cases, generates audit-ready reports, and provides real-time feedback to analysts, reducing manual effort and improving accuracy","Automated quality assurance platform that validates data, detects errors, and ensures regulatory compliance using ML—prioritizing high-risk cases, generating audit-ready reports, and providing real-time feedback to reduce manual effort.",Yes,"Brian Stapleton
Michael Lomas",,,Quality Assurance & Compliance,Reduced manual QA effort; Improved data quality and accuracy; Faster identification of high-risk issues; Enhanced regulatory compliance; Lower operational risk and audit findings.,Medium,"Automated QA platform with: 1) ML models for anomaly and error pattern detection, 2) Rule-based validation engine with AI-enhanced rule generation, 3) Risk scoring algorithms for case prioritization, 4) GenAI for audit report generation and recommendations, 5) Data quality profiling with statistical analysis, 6) Real-time monitoring and alerting system, 7) Integration with regulatory compliance frameworks and data lineage tools.",tbc,"Process, Worklfow and Workforce Automation
Governance, Operational Risk & Compliance
Regulatory Reporting",,"Need to clarify which QA/QC processes are in scope and across which areas in the organisation, e.g. frontline bankers, banking operations etc
BJS: I actually do not know what QA/QC this is referring to and what the Audit Ready Reports are in this context. Is this related to Internal Audit? Or is this related to Risk via GRACE? ",,,,"Data sets to validate, business rules, regulatory requirements, historical error patterns, data quality metrics, schema definitions, reference data, audit logs, quality thresholds, analyst work products",,"Validation results, error reports, data quality scores, compliance status indicators, prioritized issue lists, audit-ready reports, corrective action recommendations, real-time feedback alerts, quality trend analysis, exception handling guidance",,,,,,,,,,,,,
13,Fraud Ops,"AI can support case officers y Summarising customer history, Highlighting suspicious patterns, Automatically pulling evidence from multiple systems","AI-powered fraud investigation platform that assists case officers by automatically summarizing customer history, highlighting suspicious patterns, and gathering evidence from multiple systems—reducing investigation time and preventing fraud losses.",No,Michael Lomas,,,Fraud Detection & Prevention,Reduced fraud investigation time; Prevented fraud losses; Improved detection accuracy; Enhanced case officer productivit; Better customer experience with faster resolution.,High,"AI-powered fraud investigation platform with: 1) ML models for fraud detection and risk scoring, 2) GenAI for automated case summarization and evidence synthesis from multiple systems, 3) Graph analytics for relationship and pattern detection, 4) NLP for unstructured data analysis, 5) Real-time transaction monitoring, 6) Case management integration with automated evidence gathering, 7) Behavioral biometrics and device fingerprinting.","FinCrime
Fraud & Scams","FinCrime & Fraud
Customer Master
Domestic Payments
International Payments
Transaction Switch
Core Banking Ledger
C360",,"Need to confirm which sytems are in scope of the ""multiple systems"" statement",,,,"Transaction history, customer profiles, account activity, device fingerprints, IP addresses, merchant data, fraud rules, historical fraud cases, behavioral patterns, channel data, geolocation data, contact information",,"Customer history summaries, suspicious pattern highlights, fraud risk scores, evidence packages, case investigation briefs, pattern analysis, anomaly alerts, recommended actions, cross-system correlations, investigation timelines, fraud type classifications",,,,,,,,,,,,,
14,Onboarding,"AI streamlines onboarding by automating ID verification, KYC checks, and risk assessment for faster, safer customer activation","Automated KYC/onboarding platform that verifies identity, processes documents, and assesses risk using AI—reducing onboarding time from days to hours, improving conversion rates, and ensuring compliance.",No,Brett Allport,,,Customer Onboarding & KYC,Reduced onboarding time from days to hours; Improved customer experience and conversion rates; Enhanced compliance with automated checks; Lower operational costs; Reduced abandonment rates.,High,"Automated Know Your Customer (KYC) / onboarding platform with: 1) AI-powered ID verification using computer vision and liveness detection, 2) OCR and document classification for KYC document processing, 3) ML-based risk assessment models for customer profiling, 4) Integration with Fenergo/Fenx and Pega for workflow automation, 5) Sanctions and PEP screening using NLP, 6) Biometric authentication for identity verification, 7) Automated compliance validation and audit trail generation.","Digital Modernisation
Onboarding
Enterprise Document Management","Customer Digital
Customer & Party Lifecycle Management
Customer & Party Master
Enterprise Information Management","Fenergo/Fenx, Pega Workflow dependencies","Backoffice verification, not front office onboarding. Ops CDD/KYC",,,,"ID documents (passport/license), proof of address, customer application forms, biometric data, credit bureau reports, sanctions/PEP lists, corporate documents, beneficial ownership data, source of funds documentation, risk questionnaires",,"ID verification results, KYC compliance status, risk assessment scores, customer profiles, onboarding decisions (approve/reject/review), missing information alerts, verification reports, workflow task assignments, audit trails, regulatory reporting data",,,,,,,,,,,,,
15,"Risk functions- Risk Functions - Operational Risk, Market Risk, Liquidity Risk,Model Risk, Compliance Risk Assessment, Tech Risk, Risk Assurance, Enterprise Risk","AI reduces Operational Risk by identifying anomalies, streamlining investigations, and improving the accuracy of risk assessments","Enterprise risk management platform that predicts risk events, detects anomalies, and generates risk reports using AI—enabling faster assessment, improved compliance, better capital optimization, and comprehensive enterprise-wide risk visibility.",No,GAP,,,Risk Management,Improved risk detection reducing losses; Faster risk assessment and response times; Enhanced regulatory compliance and capital optimization; Reduced manual effort; Better enterprise-wide risk visibility and management.,High,"Enterprise risk management platform with: 1) ML models for operational risk event prediction and loss forecasting, 2) Simulation for market and liquidity risk stress testing, 3) Anomaly detection algorithms for control effectiveness monitoring, 4) GenAI for risk narrative generation and regulatory report writing, 5) Real-time risk dashboard with predictive KRIs, 6) Network analysis for interconnected risk identification, 7) Integration with Governance, Risk, and Compliance (GRC) platforms for unified risk view.",tbc,"Governance, Op Risk, Compliance
Treasury Risk
Group Credit Risk
Regulatory Reporting",,,,,,"Loss event data, control test results, market prices, trading positions, liquidity metrics, model performance data, compliance incidents, system vulnerabilities, audit findings, risk registers, exposure data, regulatory requirements",,"Risk metrics and KRIs, anomaly alerts, risk assessment reports, control effectiveness scores, scenario analysis results, risk heat maps, early warning indicators, mitigation recommendations, regulatory reports, model validation results, compliance scorecards",,,,,,,,,,,,,
16,IT Ops - IT Operations  - ,"Evolution of the Ticketing Process and Smart Routing - Incident / Service / Problem  Management, Security , Analytics, Identity and Access Management, Helpdesk, BCM","AIOps platform that transforms IT service management through intelligent ticket routing, automated classification, and AI-generated responses—reducing resolution time, improving SLA compliance, and lowering support costs.",No,John Marshall,,,IT Operations & Service Management,Reduced mean time to resolution (MTTR); Automated resolution of tickets; Improved SLA compliance and user satisfaction; Lower IT support costs; Better workload distribution and resource optimization.,High,"AIOps platform with: 1) NLP for automated ticket classification and intent detection, 2) ML-based intelligent routing using skill matching algorithms, 3) Similarity analysis for finding related incidents and solutions, 4) GenAI for automated response generation using knowledge base RAG, 5) Predictive analytics for SLA breach prevention, 6) RPA for automated resolution of common incidents, 7) Integration with ITSM (ServiceNow) and monitoring tools.",tbc,"IT Asset, Assurance 
& Service Management
Operational Observability",,,,,,"Incident tickets, service requests, system logs, monitoring alerts, CMDB data, historical resolution data, user feedback, SLA definitions, team availability, skill matrices, knowledge base articles, access requests, BCM scenarios",,"Ticket classification, priority assignments, routing decisions, automated resolutions, similar incident matches, root cause analysis, resolution suggestions, SLA predictions, workload distribution, knowledge article recommendations, access decisions, incident reports",,,,,,,,,,,,,
17,FrontLine - CIB,"GenAI-driven RM solutions provide banks with a competitive edge by deepening banker-customer relationships, thereby optimizing customer interactions, improving engagement, and streamlining service delivery.","Corporate and Investment Banking relationship platform that synthesizes corporate intelligence, identifies deal opportunities, and generates client briefings using AI—increasing wallet share, improving win rates, and enhancing relationship manager productivity.",No,"Shawn Cawood, Dan Barratt",,,Customer & Relationship Management,Increased wallet share with corporate clients; Enhanced deal win rates; Improved relationship manager productivity; Better market intelligence and competitive positioning; Reduced client attrition and increased loyalty.,High,"Corporate and Investment Banking (CIB) relationship platform with: 1) LLM-powered corporate intelligence synthesis from financial statements and market data, 2) ML models for deal opportunity identification and pipeline forecasting, 3) GenAI for client briefing and sector report generation, 4) Network analysis for relationship mapping across corporate hierarchies, 5) Competitive intelligence dashboard with sentiment analysis, 6) RAG-based knowledge retrieval for relationship history, 7) Integration with CRM and deal management systems.",tbc,"Colleague Digital
Conversational Banking
Customer Engagment
Enterprise Information Management 
Money Markets",,,,,,"Corporate client profiles, transaction volumes, product usage, financial statements, industry analysis, deal pipelines, market intelligence, relationship hierarchies, communication history, meeting notes, credit facilities",,"Corporate insights, deal opportunities, relationship strategies, market trend analysis, competitive intelligence, risk alerts, product recommendations, client briefing documents, sector reports, pipeline forecasts, engagement plans",,,,,,,,,,,,,
18,Procurement,"Multi-Agent System for the End-to-end Procurement process optimization, from 
planning to goods receipt and invoicing, enhancing operational efficiency and realtime decision-making","Multi-agent procurement platform that optimizes end-to-end procurement through AI workflow automation, spend analysis, contract intelligence, and automated invoice matching—reducing cycle time, cutting costs, and improving supplier management.",No,Brian Stapleton,,,Procurement & Supply Chain,Cost savings through optimized sourcing; Reduced procurement cycle time; Improved supplier performance and risk management; Enhanced spend visibility and control; Lower invoice processing costs.,Medium,"Multi-agent procurement platform with: 1) Agentic AI orchestration for end-to-end procurement workflow automation, 2) ML models for spend analysis and sourcing optimization, 3) NLP for contract analysis and clause extraction, 4) GenAI for RFP generation and supplier communications, 5) Supplier risk scoring using predictive models, 6) OCR and automated invoice matching (3-way match), 7) Real-time spend analytics dashboard, 8) Integration with ERP and P2P systems.","Finance Transformation 
Workday Phase 2","Procurement
Finance
People & Culture",,"BJS: This seems very nebulous. The procurement cycle time is not constrained by system (Coupa) but the processes around it. This will involve majority Coupa and P2P SAP. Supplier Lifecycle work is addressing a number of these processes and streamlining. We also have very limited Coupa support to create these new integrations for data whilst also replacing SAP this year, hence the ability to support this initiative would be very low.  DD&A would need to supply a DevOps team for Coupa to design and build the integrations.  ",,,,"Purchase requisitions, supplier catalogs, contracts, pricing data, spend history, supplier performance metrics, inventory levels, invoices, goods receipts, approval workflows, budget allocations, compliance requirements",,"Purchase recommendations, supplier selections, price optimization, contract analysis, spend analytics, invoice matching results, anomaly alerts, approval routing, budget impact analysis, supplier risk scores, process efficiency metrics, payment schedules",,,,,,,,,,,,,
19,Payment disputes,"Automate and orchestrate the end-to-end lifecycle of card payment disputes across 
two recurrent scenarios: Commercial Dispute and Fraud","Automated dispute resolution platform that manages card payment disputes end-to-end using AI classification, automated evidence gathering, and response generation—reducing resolution time, improving win rates, and enhancing customer satisfaction.",No,GAP - normally Paul Gallen,,,Payments & Dispute Resolution,Reduced dispute resolution time; Improved win rates on chargebacks; Enhanced customer satisfaction with faster resolutions; Lower operational costs; Better compliance with card scheme requirements.,Medium,"Automated dispute resolution platform with: 1) ML classifiers for dispute type identification (commercial vs fraud), 2) Rule-based decisioning engine for validity assessment aligned with card scheme rules, 3) RPA for automated evidence gathering and chargeback filing, 4) GenAI for dispute response generation and customer communication, 5) Predictive models for outcome forecasting, 6) Case management workflow automation, 7) Integration with card networks and core banking systems.","P&M New Transaction Switch
P&M Payments Refurb","Card Issuing
FinCrime & Fraud
Domestic Payments
International Payments
Transaction Switch
Collections & Hardship",,,,,,"Dispute claims, transaction records, cardholder communications, merchant data, card scheme rules, supporting documentation, chargeback reason codes, historical dispute outcomes, customer account history, fraud indicators",,"Dispute classifications, case routing, validity assessments, evidence gathering instructions, chargeback filings, resolution recommendations, customer communications, merchant notifications, outcome predictions, case status updates, reporting metrics",,,,,,,,,,,,,
20,Controls testing - IT and business,,"Continuous controls monitoring platform that automates IT and business control testing through AI-powered test execution, anomaly detection, and evidence collection—enabling continuous monitoring, earlier deficiency detection, and reduced audit costs.",No,tbc - not clear what the scope of this actually is,,,Audit & Controls Testing,Reduced testing effort; Continuous controls monitoring vs periodic testing; Improved control effectiveness and compliance; Earlier detection of control deficiencies; Lower audit costs and faster audit cycles.,Medium,"Continuous controls monitoring platform with: 1) RPA for automated test execution across IT and business controls, 2) ML models for anomaly detection in control performance and transaction patterns, 3) Risk-based sampling algorithms for test selection optimization, 4) GenAI for test script generation from control descriptions, 5) Automated evidence collection and documentation, 6) Dashboard for real-time control effectiveness monitoring, 7) Integration with GRC systems and audit management platforms.",tbc - not clear what the scope of this actually is,tbc - not clear what the scope of this actually is,tbc - not clear what the scope of this actually is,"Does ""controls"" in this context mean Risk Controls?  If not, then what exactly?  Needs more information",,,,"Control frameworks, test procedures, control documentation, system configurations, access logs, transaction samples, previous test results, audit requirements, control matrices, risk assessments, policy documents",,"Test execution results, control effectiveness ratings, deficiency reports, remediation plans, testing schedules, evidence packages, compliance attestations, trend analysis, risk exposure assessments, audit-ready documentation",,,,,,,,,,,,,
