Level,Domain_Type,Domain_Code,Domain_Name,Description,Parent_Domain
3,Service Domain,SD065,Insurance Administration,Managing insurance product operations,BC09
3,Service Domain,SD066,Financial Accounting,Managing financial accounting processes,BC20
3,Service Domain,SD067,Management Accounting,Managing management accounting and reporting,BC20
3,Service Domain,SD068,Corporate Tax Advisory,Managing corporate tax advisory services,BC16
3,Service Domain,SD069,Corporate Treasury,Managing corporate treasury operations,BC20
3,Service Domain,SD070,Corporate Current Account,Managing corporate current accounts,BC09
3,Service Domain,SD071,Corporate Deposits,Managing corporate deposit accounts,BC09
3,Service Domain,SD072,Cash Management and Account Services,Managing cash management services,BC09
3,Service Domain,SD073,Trade Finance,Managing trade finance operations,BC10
3,Service Domain,SD074,Letter of Credit,Managing letter of credit services,BC10
3,Service Domain,SD075,Bank Guarantee,Managing bank guarantee services,BC10
3,Service Domain,SD076,Documentary Credit,Managing documentary credit services,BC10
3,Service Domain,SD077,Factoring,Managing factoring services,BC10
3,Service Domain,SD078,Leasing,Managing leasing services,BC10
3,Service Domain,SD079,Project Finance,Managing project finance services,BC10
3,Service Domain,SD080,Syndicated Loan,Managing syndicated loan services,BC10
3,Service Domain,SD081,Correspondent Banking,Managing correspondent banking relationships,BC08
3,Service Domain,SD082,Correspondent Bank Data Management,Managing correspondent bank data,BC08
3,Service Domain,SD083,ACH Operations,Managing ACH payment operations,BC08
3,Service Domain,SD084,Wire Transfer Operations,Managing wire transfer operations,BC08
3,Service Domain,SD085,SWIFT Network,Managing SWIFT messaging operations,BC08
3,Service Domain,SD086,Card Authorization,Managing card authorization processes,BC08
3,Service Domain,SD087,Card Capture,Managing card capture and settlement,BC08
3,Service Domain,SD088,Card Settlement,Managing card settlement processes,BC08
3,Service Domain,SD089,Financial Market Research,Conducting financial market research,BC18
3,Service Domain,SD090,Economic Capital Management,Managing economic capital allocation,BC15
3,Service Domain,SD091,Market Risk Management,Managing market risk exposure,BC15
3,Service Domain,SD092,Operational Risk Management,Managing operational risk,BC15
3,Service Domain,SD093,Fraud Diagnosis,Detecting and analyzing fraudulent activities,BC15
3,Service Domain,SD094,Fraud Resolution,Resolving fraud cases and incidents,BC15
3,Service Domain,SD095,Financial Statement Assurance,Providing financial statement assurance,BC17
3,Service Domain,SD096,Audit Portfolio Management,Managing audit portfolio and planning,BC17
3,Service Domain,SD097,Internal Audit,Conducting internal audit activities,BC17
3,Service Domain,SD098,External Audit,Managing external audit processes,BC17
3,Service Domain,SD099,Business Development,Managing business development activities,BC18
3,Service Domain,SD100,Strategic Planning,Conducting strategic planning processes,BC18
